date,open,high,low,close,volume
2023-07-24,72.28,72.72,68.05,70.27,38123.004
2023-07-25,70.27,71.65,69.72,70.08,31273.089
2023-07-26,70.09,73.56,69.08,72,34550.378
2023-07-27,72.02,75.12,71.58,72.46,30648.439
2023-07-28,72.48,73.91,72.27,72.8,18923.671
2023-07-29,72.78,75,72.11,74.3,22257.275
2023-07-30,74.4,75.1,69.36,70.85,28739.443
2023-07-31,70.73,72.28,63.96,65.39,82734.83
2023-08-01,65.39,65.63,61.47,65.62,152184.866
2023-08-02,65.62,67.24,62.44,64.42,83884.786
2023-08-03,64.4,64.99,62.82,62.93,52925.737
2023-08-04,62.91,67.15,62.7,64.14,39413.385
2023-08-05,64.08,65.86,63.03,64.43,25519.381
2023-08-06,64.41,66.07,64.09,65.82,17587.602
2023-08-07,65.88,67.01,62.88,64.89,34943.667
2023-08-08,64.86,67.04,64.51,66.26,28105.752
2023-08-09,66.27,67.97,65.82,67.31,31511.247
2023-08-10,67.32,69.49,66.73,67.01,29648.215
2023-08-11,67.04,67.04,65.27,65.91,13269.864
2023-08-12,65.92,66.59,65.73,66.15,5719.877
2023-08-13,66.14,66.36,65.19,65.61,8753.8
2023-08-14,65.56,66.54,65.2,65.49,18657.654
2023-08-15,65.49,65.75,61.59,63.52,19059.017
2023-08-16,63.41,63.98,58.64,60.36,21407.819
2023-08-17,60.3,60.54,50,55.42,43328.561
2023-08-18,55.42,56.77,54.74,55.82,23776.032
2023-08-19,55.81,57.12,55.55,56.58,5049.018
2023-08-20,56.59,57.44,56.25,57.1,5668.541
2023-08-21,57.25,57.61,55.07,55.52,9159.202
2023-08-22,55.56,55.64,52.66,54.92,18529.447
2023-08-23,54.91,57.7,54.85,57.13,17690.479
2023-08-24,57.17,58.96,56.23,57.45,22546.222
2023-08-25,57.47,58.46,55.7,56.93,11683.39
2023-08-26,56.93,57.33,56.27,56.67,3281.366
2023-08-27,56.68,58.34,56.6,58.34,9132.082
2023-08-28,58.24,58.44,56.1,58.21,18524.661
2023-08-29,58.21,60.68,56.59,59.59,29289.676
2023-08-30,59.55,59.64,57.37,57.75,9423.969
2023-08-31,57.75,57.97,54.26,55.49,16014.555
2023-09-01,55.53,55.86,53.56,54.52,9475.292
2023-09-02,54.49,55.3,53.92,55.2,8567.462
2023-09-03,55.19,55.19,54.1,54.79,7350.233
2023-09-04,54.78,55.56,54.1,54.67,11840.725
2023-09-05,54.66,55.79,54.15,55.49,10533.917
2023-09-06,55.49,55.87,54.01,55.12,16084.224
2023-09-07,55.11,56.45,54.81,56.3,15296.135
2023-09-08,56.3,57.35,55.71,56.42,17776.247
2023-09-09,56.46,56.6,55.93,56.2,8064.42
2023-09-10,56.15,56.17,53.57,53.98,21280.279
2023-09-11,53.98,54.18,51.36,52.13,21532.604
2023-09-12,52.11,54.32,52.07,53.02,22457.596
2023-09-13,53.01,54.6,52.84,53.6,27654.858
2023-09-14,53.59,55.1,53.37,54.35,22934.825
2023-09-15,54.38,56.11,53.93,55.85,22886.982
2023-09-16,55.86,62.79,55.8,59.18,77999.525
2023-09-17,59.17,61.63,57.69,59.36,53231.416
2023-09-18,59.37,62.52,58.17,60.57,59285.059
2023-09-19,60.55,64.48,60.55,61.87,71511.154
2023-09-20,61.88,65.95,61.29,65.5,60803.866
2023-09-21,65.54,66.12,62.1,62.54,47281.921
2023-09-22,62.51,64.53,61.79,64.35,36121.999
2023-09-23,64.35,64.88,62.3,63,18358.004
2023-09-24,62.96,63.2,61.52,61.75,21788.189
2023-09-25,61.76,62.99,61.08,62.2,25916.138
2023-09-26,62.28,62.28,60.33,61.11,22294.671
2023-09-27,61.11,62.78,59.86,60.63,45568.581
2023-09-28,60.64,66.87,60.47,65.69,78920.02
2023-09-29,65.7,67.95,64.97,66.08,38804.302
2023-09-30,66.07,68.63,66,67.54,34837.301
2023-10-01,67.55,72.38,67.31,72.21,51294.019
2023-10-02,72.22,72.31,68.04,69.16,59238.837
2023-10-03,69.15,70.24,64.54,65.11,47375.461
2023-10-04,65.07,66.78,63.12,66.67,42646.893
2023-10-05,66.65,72.75,66.2,66.93,104585.742
2023-10-06,66.94,69.74,66.94,68.93,41527.963
2023-10-07,68.96,69.27,65.93,66.8,37829.722
2023-10-08,66.79,67.44,65.19,66.04,22081.195
2023-10-09,66.06,66.14,62.05,63.3,42900.833
2023-10-10,63.33,64.94,63.05,64.13,33765.48
2023-10-11,64.13,64.49,62.61,63.26,26377.297
2023-10-12,63.25,64.19,61.77,62.96,21714.42
2023-10-13,62.91,64.63,62.88,63.69,20105.55
2023-10-14,63.7,65,63.6,64.28,13089.247
2023-10-15,64.29,64.78,63.81,63.94,14244.638
2023-10-16,63.95,67.2,63.51,64.81,42274.162
2023-10-17,64.74,64.8,61.12,62.6,24183.015
2023-10-18,62.59,63.59,61.87,62.03,11243.62
2023-10-19,62.01,65.48,61.09,63.9,26529.58
2023-10-20,63.91,70.09,63.4,65.94,39647.672
2023-10-21,65.95,70.95,65.24,70.09,37891.057
2023-10-22,70.08,80.26,68.94,79.31,101880.641
2023-10-23,79.36,87.88,78.33,84.94,162804.055
2023-10-24,84.91,90.89,80.74,83.45,85536.782
2023-10-25,83.43,86.42,81.32,86.06,69155.377
2023-10-26,86.1,89.02,77.47,80.8,53104.712
2023-10-27,80.76,80.76,75.8,78.35,36735.287
2023-10-28,78.42,81.42,78.24,80.13,23591.494
2023-10-29,80.06,87.57,79.26,84.51,48326.842
2023-10-30,84.52,87.45,81.26,83.77,48642.548
2023-10-31,83.8,84.84,79.03,81.44,43307.909
2023-11-01,81.4,91.83,80.75,89.19,111061.972
2023-11-02,89.26,102.56,87.51,91.95,164031.149
2023-11-03,91.95,93.11,87.87,90.06,140448.074
2023-11-04,90.06,92.5,88.13,90.04,132906.148
2023-11-05,90.07,92.27,87.12,89.09,113400.213
2023-11-06,89.1,100.86,87.65,100.19,147593.549
2023-11-07,100.32,104.78,95.52,97.54,88965.155
2023-11-08,97.5,101.32,95.24,100.28,75625.111
2023-11-09,100.36,109.89,93.25,100.78,211618.748
2023-11-10,100.83,100.96,95.51,100.31,74207.695
2023-11-11,100.31,100.57,94.14,96.92,95762.941
2023-11-12,96.94,99.85,93.4,99.72,85172.354
2023-11-13,99.71,104.63,92.46,93.01,112580.012
2023-11-14,93,95.44,85.85,90.79,91611.41
2023-11-15,90.81,95.82,90.07,95.49,75567.607
2023-11-16,95.55,98.19,90.07,91.11,96942.622
2023-11-17,91.05,93.49,85,88.83,74083.553
2023-11-18,88.83,88.96,82.85,88.16,50489.272
2023-11-19,87.96,91.79,86.09,91.53,35678.747
2023-11-20,91.62,93.24,88.86,90.29,64589.194
2023-11-21,90.28,92.63,83.55,84.53,76199.173
2023-11-22,84.44,96.2,84.27,95.44,92362.476
2023-11-23,95.42,100.71,94.95,95.96,70468.232
2023-11-24,96.02,99.95,95.66,99.23,51903.618
2023-11-25,99.26,101.85,97.28,99.64,42506.769
2023-11-26,99.62,103.23,96.22,97.9,63611.783
2023-11-27,97.88,99.09,93.31,96.26,35101.985
2023-11-28,96.3,99.02,92.87,96.86,45943.749
2023-11-29,96.93,98.92,95.41,96.42,27984.836
2023-11-30,96.47,98.38,95,98.29,27494.772
2023-12-01,98.32,101.82,98.03,100.17,38031.576
2023-12-02,100.19,104.88,99.8,104.25,31826.625
2023-12-03,104.27,106.01,101.24,102.71,37287.537
2023-12-04,102.72,104.91,97.78,99.97,71695.984
2023-12-05,99.93,100.64,95.45,98.7,61665.601
2023-12-06,98.72,100.46,95.37,96.32,48917.929
2023-12-07,96.27,99.64,94.6,98.66,52641.967
2023-12-08,98.67,100.83,95.86,99.46,69051.702
2023-12-09,99.49,104.88,97.6,98.66,116166.248
2023-12-10,98.76,99.91,95.63,97.92,55695.831
2023-12-11,97.92,98.37,87.67,91.62,75079.999
2023-12-12,91.58,93.7,90.41,92.57,51802.678
2023-12-13,92.59,95.27,88.2,94.8,58232.96
2023-12-14,94.86,107.81,92.28,107.21,175527.308
2023-12-15,107.27,118.79,103.96,108.18,250669.945
2023-12-16,108.15,109.1,103.55,104.69,107082.94
2023-12-17,104.69,105.37,99.55,99.96,60753.307
2023-12-18,99.99,100.85,93.23,99.32,103398.612
2023-12-19,99.29,107.78,98.62,101.35,104399.704
2023-12-20,101.29,105.69,98.85,100.07,69625.903
2023-12-21,100.11,102.08,98.62,101.67,67263.479
2023-12-22,101.68,102.56,98.3,100.12,60814.881
2023-12-23,100.14,102.14,95.57,99.47,64405.589
2023-12-24,99.49,103.79,97.84,99.7,83723.07
2023-12-25,99.7,105.09,98.38,102.79,87807.224
2023-12-26,102.81,109.89,98.4,102.85,157661.699
2023-12-27,102.94,113.3,99.07,112.06,141827.021
2023-12-28,112.06,129.8,112.06,118.88,276070.238
2023-12-29,119,122.52,108.38,112.51,124132.298
2023-12-30,112.48,117.46,110.83,111.01,89471.506
2023-12-31,111.03,118.77,106.51,108.59,98917.158
2024-01-01,108.59,116.45,107.71,116.23,49963.54
2024-01-02,116.24,120,108.94,110.35,112579.776
2024-01-03,110.36,113.06,96.98,102.85,159344.637
2024-01-04,102.96,105.58,101.29,103.9,87233.881
2024-01-05,104.02,108.59,99.28,103.03,89904.934
2024-01-06,103,103.32,97.16,99.42,46475.608
2024-01-07,99.43,100.58,93.76,94.91,46272.676
2024-01-08,94.94,100.24,88.52,99.15,118936.57
2024-01-09,99.16,99.37,92.42,96.48,74184.75
2024-01-10,96.44,110.22,96.06,107.12,132642.919
2024-01-11,107.12,118.1,106.33,109.65,142576.77
2024-01-12,109.57,113.95,99.77,102.95,97491.409
2024-01-13,102.95,107.75,100.67,106.01,35346.532
2024-01-14,106.03,106.06,99.07,99.26,38438.686
2024-01-15,99.33,103.25,99.23,101.72,44451.253
2024-01-16,101.93,110.81,101.74,103.57,115765.161
2024-01-17,103.53,104.11,99.88,101.31,50857.762
2024-01-18,101.28,101.58,95.42,96.78,39678.433
2024-01-19,96.82,97.74,91.69,96.96,51594.844
2024-01-20,96.96,98.56,95.98,97.39,35894.511
2024-01-21,97.39,98.6,96.31,96.38,24739.682
2024-01-22,96.36,97.1,90.38,91.63,47568.624
2024-01-23,91.65,93.51,84.16,89.62,70463.293
2024-01-24,89.68,90.63,88.26,89.94,20197.549
2024-01-25,89.92,89.97,86.83,88.73,19017.112
2024-01-26,88.73,91.69,87.46,91.3,18908.797
2024-01-27,91.34,92.18,90.33,91.61,12478.182
2024-01-28,91.61,93.49,90.11,91.14,23081.044
2024-01-29,91.16,93.93,90.3,93.68,22266.38
2024-01-30,93.67,95.66,92.22,93.02,31700.209
2024-01-31,93.05,93.35,85.06,85.84,78806.78
2024-02-01,85.84,86.16,82.86,83.92,58108.321
2024-02-02,83.93,86.5,82.29,85.86,75623.6
2024-02-03,85.85,86.81,84.88,85.66,23883.622
2024-02-04,85.62,85.78,82.83,83.22,14562.514
2024-02-05,83.22,85.84,81.48,84.09,29590.46
2024-02-06,84.12,85.38,82.43,84.48,20240.704
