date,open,high,low,close,volume
2023-08-08,0.2906,0.3025,0.2892,0.2972,39262655.03
2023-08-09,0.2972,0.3022,0.2958,0.3011,12840104.09
2023-08-10,0.3012,0.3016,0.2955,0.296,13740130.57
2023-08-11,0.2961,0.2972,0.2917,0.2931,24292194.06
2023-08-12,0.2931,0.2944,0.2904,0.2919,16567489.02
2023-08-13,0.2918,0.2933,0.2867,0.2891,19218299.52
2023-08-14,0.2891,0.2923,0.2868,0.2904,18360700.58
2023-08-15,0.2904,0.2908,0.2756,0.2819,22579781.35
2023-08-16,0.2817,0.2826,0.2655,0.2745,44079965.58
2023-08-17,0.2745,0.2782,0.252,0.256,50048542.13
2023-08-18,0.2559,0.2674,0.2554,0.264,44021354.49
2023-08-19,0.2639,0.2699,0.2604,0.2688,13062556.86
2023-08-20,0.2689,0.2731,0.2648,0.2704,11864482.64
2023-08-21,0.2704,0.2724,0.2586,0.2628,16948235.32
2023-08-22,0.2628,0.2633,0.2502,0.2586,23194253.44
2023-08-23,0.2586,0.2698,0.2578,0.268,15117569.33
2023-08-24,0.2681,0.2713,0.2621,0.2657,13157130.37
2023-08-25,0.2657,0.2706,0.259,0.2611,19368396.41
2023-08-26,0.2611,0.2619,0.2578,0.261,9801249.11
2023-08-27,0.261,0.2653,0.26,0.2633,9405500.98
2023-08-28,0.2632,0.2677,0.2575,0.2674,12918492.32
2023-08-29,0.2675,0.2799,0.26,0.2727,28103260.69
2023-08-30,0.2728,0.2731,0.2605,0.2656,15293330.61
2023-08-31,0.2656,0.2668,0.25,0.2553,23563500.52
2023-09-01,0.2554,0.2588,0.2512,0.2551,18882903.81
2023-09-02,0.255,0.2574,0.2537,0.2562,9172082.27
2023-09-03,0.2562,0.2568,0.2531,0.2559,9453234.52
2023-09-04,0.2559,0.2599,0.2533,0.2561,10365631.64
2023-09-05,0.2561,0.2586,0.2538,0.2577,12126989.12
2023-09-06,0.2579,0.2608,0.2521,0.2575,13735002.63
2023-09-07,0.2577,0.2595,0.253,0.258,16182036.32
2023-09-08,0.2579,0.2595,0.2526,0.2542,14477524.05
2023-09-09,0.2543,0.2558,0.253,0.2532,8897729.75
2023-09-10,0.2532,0.2533,0.2442,0.2491,19787722.63
2023-09-11,0.2491,0.2497,0.2368,0.2421,24620523.64
2023-09-12,0.2419,0.2526,0.2408,0.2456,20059953.06
2023-09-13,0.2456,0.25,0.2434,0.2487,15674320.12
2023-09-14,0.2487,0.2527,0.2465,0.2514,21044468.98
2023-09-15,0.2515,0.2554,0.2452,0.2506,21315012.26
2023-09-16,0.2506,0.2539,0.2482,0.2504,12660550.8
2023-09-17,0.2504,0.2513,0.2447,0.2472,10928060.36
2023-09-18,0.2471,0.256,0.2444,0.2516,16915869.66
2023-09-19,0.2515,0.2579,0.2508,0.2549,16615086.62
