date,open,high,low,close,volume
2023-07-22,9.425,9.575,9.184,9.263,241500.65
2023-07-23,9.267,9.363,9.226,9.278,233870.62
2023-07-24,9.278,9.296,8.854,9.009,282479.52
2023-07-25,9.009,9.063,8.9,8.956,233406.6
2023-07-26,8.954,9.171,8.79,8.988,318305.09
2023-07-27,8.985,9.102,8.849,8.913,271736.09
2023-07-28,8.913,9.066,8.854,9.026,164658.57
2023-07-29,9.024,9.095,8.984,9.076,123779.76
2023-07-30,9.08,9.102,8.85,9.006,159386.83
2023-07-31,9.005,9.114,8.75,8.859,227681.96
2023-08-01,8.861,8.998,8.6,8.991,471314.47
2023-08-02,8.991,9.031,8.595,8.707,430079.62
2023-08-03,8.707,8.773,8.589,8.613,196461.17
2023-08-04,8.61,8.679,8.284,8.469,525925.7
2023-08-05,8.467,8.534,8.355,8.501,146316.44
2023-08-06,8.504,8.573,8.439,8.475,109044.7
2023-08-07,8.475,8.58,8.26,8.494,181893.73
2023-08-08,8.494,8.667,8.435,8.518,397111.28
2023-08-09,8.519,8.67,8.426,8.538,263795.22
2023-08-10,8.538,8.561,8.393,8.406,263660.71
2023-08-11,8.411,8.456,8.267,8.338,291779.81
2023-08-12,8.34,8.436,8.329,8.418,83536.54
2023-08-13,8.418,8.504,8.338,8.368,117397.5
2023-08-14,8.368,8.566,8.321,8.508,175799.95
2023-08-15,8.511,8.54,7.816,8.101,281517.5
2023-08-16,8.101,8.362,7.588,7.798,358676.19
2023-08-17,7.798,8.208,7.151,7.394,617772.31
2023-08-18,7.397,7.693,7.364,7.571,304850
2023-08-19,7.573,7.734,7.5,7.703,113714.36
2023-08-20,7.704,7.902,7.69,7.867,149073.11
2023-08-21,7.865,7.883,7.41,7.544,254275.9
2023-08-22,7.544,7.57,7.101,7.399,377742.97
2023-08-23,7.4,7.524,7.3,7.427,190534.01
2023-08-24,7.428,7.453,7.09,7.202,191887.43
2023-08-25,7.203,7.269,7.027,7.245,176210.97
2023-08-26,7.243,7.258,7.132,7.153,108164.68
2023-08-27,7.152,7.209,7.09,7.179,106889.87
2023-08-28,7.176,7.279,7.05,7.261,163264.9
2023-08-29,7.263,7.52,7.109,7.447,254424.01
2023-08-30,7.449,7.459,7.179,7.223,162996.95
2023-08-31,7.22,7.268,6.8,6.922,211898.41
2023-09-01,6.919,6.975,6.64,6.662,290923.39
2023-09-02,6.661,6.834,6.629,6.829,113579.67
2023-09-03,6.83,6.879,6.757,6.805,159613.96
2023-09-04,6.812,6.92,6.666,6.723,200313.2
2023-09-05,6.728,6.849,6.665,6.811,116658.06
2023-09-06,6.812,6.92,6.691,6.89,206151.11
2023-09-07,6.889,6.988,6.802,6.95,181526.72
2023-09-08,6.949,7.057,6.772,6.834,231971.71
2023-09-09,6.834,6.927,6.806,6.85,119276.12
2023-09-10,6.851,6.854,6.503,6.659,239662.41
2023-09-11,6.655,6.683,6.281,6.371,437853.23
2023-09-12,6.365,6.555,6.338,6.381,291308.51
2023-09-13,6.376,6.58,6.36,6.539,325986.54
2023-09-14,6.539,6.916,6.501,6.837,247829.23
2023-09-15,6.837,7.053,6.758,6.932,277065.23
2023-09-16,6.936,7.174,6.936,7.146,161363.68
2023-09-17,7.148,7.173,6.9,6.945,208874.51
2023-09-18,6.946,7.492,6.844,7.385,303553.45
2023-09-19,7.385,7.88,7.2,7.504,338852.96
2023-09-20,7.505,7.516,7.183,7.293,169166.63
2023-09-21,7.293,7.509,7.15,7.15,237417.99
2023-09-22,7.15,7.238,7.024,7.133,222965.93
2023-09-23,7.129,7.199,7.051,7.085,91380.31
2023-09-24,7.083,7.14,6.96,6.981,79845.64
2023-09-25,6.982,7.076,6.901,7.036,175365.64
2023-09-26,7.035,7.092,6.867,6.952,167776.89
2023-09-27,6.953,7.125,6.887,6.967,163336.3
2023-09-28,6.965,7.194,6.931,7.104,153134.38
2023-09-29,7.107,7.194,7.071,7.101,138778.2
2023-09-30,7.1,7.299,7.089,7.238,135909.88
2023-10-01,7.235,7.661,7.177,7.565,276027.46
2023-10-02,7.572,7.587,7.099,7.147,303472.19
2023-10-03,7.146,7.278,7.032,7.065,175549.43
2023-10-04,7.062,7.069,6.859,6.962,172156.65
2023-10-05,6.96,6.996,6.772,6.834,153295.72
2023-10-06,6.835,6.966,6.812,6.911,161761.92
2023-10-07,6.913,6.999,6.872,6.97,97570.99
2023-10-08,6.967,6.995,6.854,6.948,105617.3
2023-10-09,6.944,6.962,6.57,6.831,189928.71
2023-10-10,6.833,7.331,6.6,6.683,459879.55
2023-10-11,6.674,7.134,6.483,6.703,291685.29
2023-10-12,6.697,6.731,6.371,6.584,677334.58
2023-10-13,6.584,6.643,6.502,6.565,187675.11
2023-10-14,6.564,6.659,6.557,6.582,95564.57
2023-10-15,6.58,6.685,6.525,6.601,234701.99
2023-10-16,6.599,6.806,6.562,6.628,271235.5
2023-10-17,6.628,6.632,6.381,6.446,247910.75
2023-10-18,6.444,6.482,6.244,6.291,451544.86
2023-10-19,6.289,6.289,6.163,6.267,269717.14
2023-10-20,6.265,6.485,6.249,6.412,260614.01
2023-10-21,6.408,6.699,6.364,6.634,207874.56
2023-10-22,6.634,6.765,6.509,6.756,233946.03
2023-10-23,6.761,7.06,6.616,7.033,451610.63
