date,open,high,low,close,volume
2023-08-19,10.81,10.89,10.55,10.81,127743.795
2023-08-20,10.82,10.92,10.74,10.88,94133.919
2023-08-21,10.87,10.88,10.16,10.36,218099.945
2023-08-22,10.36,10.38,9.71,10.14,309425.131
2023-08-23,10.14,10.47,10.06,10.33,172522.538
2023-08-24,10.34,10.36,9.97,10.12,138885.189
2023-08-25,10.11,10.14,9.88,10.04,159762.792
2023-08-26,10.04,10.13,10,10.09,132881.456
2023-08-27,10.09,10.28,10.07,10.21,64788.749
2023-08-28,10.2,10.44,9.92,10.37,192743.642
2023-08-29,10.37,11.2,10.32,10.81,373842.904
2023-08-30,10.82,10.82,10.32,10.4,287260.771
2023-08-31,10.4,10.54,9.82,9.98,364284.213
2023-09-01,9.97,10.05,9.75,9.93,215759.249
2023-09-02,9.92,9.96,9.76,9.91,84039.608
2023-09-03,9.91,9.99,9.83,9.88,49812.861
2023-09-04,9.88,10.04,9.68,9.8,133740.19
2023-09-05,9.81,9.97,9.65,9.92,84092.567
2023-09-06,9.91,10.04,9.75,9.95,120440.643
2023-09-07,9.94,10.14,9.83,10.09,127493.818
2023-09-08,10.09,10.14,9.84,9.92,127389.928
2023-09-09,9.92,9.92,9.83,9.84,31413.574
2023-09-10,9.83,9.83,9.2,9.46,212579.662
2023-09-11,9.46,9.51,9.05,9.23,263810.469
2023-09-12,9.22,9.59,9.19,9.22,306426.569
2023-09-13,9.21,9.45,9.1,9.29,138271.883
2023-09-14,9.29,9.47,9.25,9.41,127926.312
2023-09-15,9.41,9.52,9.19,9.43,206984.375
2023-09-16,9.45,9.61,9.33,9.38,286537.276
2023-09-17,9.37,9.37,9.02,9.1,170600.304
2023-09-18,9.1,9.32,8.81,9.11,341917.122
2023-09-19,9.1,9.31,9.04,9.2,190773.178
2023-09-20,9.21,9.24,8.86,9.05,248943.954
2023-09-21,9.03,9.11,8.77,8.83,211616.497
2023-09-22,8.82,8.92,8.72,8.86,126679.858
2023-09-23,8.87,8.99,8.82,8.9,109047.288
2023-09-24,8.9,9.04,8.75,8.79,152573.445
2023-09-25,8.78,8.95,8.62,8.94,120242.687
2023-09-26,8.95,9.06,8.86,9.04,227180.612
2023-09-27,9.03,9.18,8.81,8.92,176707.649
2023-09-28,8.92,9.36,8.91,9.27,214795.169
2023-09-29,9.28,9.36,9.08,9.18,217023.299
2023-09-30,9.18,9.3,9.12,9.24,160552.76
2023-10-01,9.24,9.83,9.22,9.75,246244.527
2023-10-02,9.76,9.83,9.17,9.33,247005.176
2023-10-03,9.32,9.48,9.22,9.42,151691.662
2023-10-04,9.42,10.29,9.11,10.11,594459.991
2023-10-05,10.11,10.33,9.83,10.14,791410.594
2023-10-06,10.14,10.84,10.14,10.66,671400.794
2023-10-07,10.66,11.86,10.25,10.36,1087081.786
2023-10-08,10.34,10.54,9.96,10.08,305704.73
2023-10-09,10.09,10.09,9.28,9.54,433428.446
2023-10-10,9.54,9.85,9.42,9.53,622772.133
2023-10-11,9.52,9.57,9.2,9.3,282262.969
2023-10-12,9.3,9.31,8.89,9.12,362391.754
2023-10-13,9.11,9.34,9.02,9.16,307198.452
2023-10-14,9.16,9.25,9.11,9.14,88797.877
2023-10-15,9.14,9.27,9.08,9.18,177022.917
2023-10-16,9.17,9.82,9.17,9.4,384465.376
2023-10-17,9.4,9.41,9.02,9.11,256578.388
2023-10-18,9.1,9.21,8.84,8.91,173314.245
2023-10-19,8.91,9.12,8.66,9.07,252477.807
2023-10-20,9.07,9.39,9.03,9.22,302981.988
2023-10-21,9.24,9.82,9.17,9.64,357458.742
2023-10-22,9.64,10.1,9.53,10.08,431185.477
2023-10-23,10.1,10.67,9.87,10.59,1014379.968
2023-10-24,10.6,10.81,10.07,10.33,1333334.48
2023-10-25,10.32,10.64,10.17,10.53,680997.127
2023-10-26,10.52,11.56,10.37,11.05,1863361.856
2023-10-27,11.05,11.06,10.4,10.6,697235.05
2023-10-28,10.6,11.09,10.55,10.99,394679.254
2023-10-29,10.97,11.45,10.79,11.38,587675.883
2023-10-30,11.39,11.69,11.07,11.46,781208.437
2023-10-31,11.46,11.76,11.01,11.34,912947.875
2023-11-01,11.33,12.34,10.87,12.23,1278251.847
2023-11-02,12.24,12.54,11.44,11.88,1123317.902
2023-11-03,11.88,12.19,11.43,12.11,811858.032
2023-11-04,12.12,12.34,11.93,12.22,423630.564
2023-11-05,12.23,12.68,12.11,12.34,743583.329
2023-11-06,12.38,13.17,12.25,13.08,910493.382
2023-11-07,13.08,13.1,12.29,12.82,751003.672
2023-11-08,12.82,13.15,12.67,12.99,566970.994
2023-11-09,13,13.97,12.03,12.96,1500077.513
2023-11-10,12.98,14.86,12.89,14.75,1810838.639
2023-11-11,14.76,17.02,14.01,16.81,2810532.221
2023-11-12,16.8,20.39,15.89,19.18,3295411.235
2023-11-13,19.18,19.76,16.11,16.12,2631725.814
2023-11-14,16.12,18.11,15.57,17.05,2727156.284
