date,open,high,low,close,volume
2023-07-14,274.18,278.27,254.19,264.5,88610.77827666
2023-07-15,264.11,264.12,245.78,253.48,45383.79546942
2023-07-16,253.43,261.31,247.52,250.03,53705.64981387
2023-07-17,249.96,254.67,235.61,242.14,61312.04208107
2023-07-18,242.05,248.08,231.61,243.7,61793.4581231
2023-07-19,243.75,252.12,241.16,243.98,36664.7069788
2023-07-20,243.93,255.25,240.26,244.23,43050.16943806
2023-07-21,244.2,248.22,241.49,246.14,26389.85140138
2023-07-22,246.1,247.85,237.36,239.6,21093.77081582
2023-07-23,239.55,255.6,238.61,249.51,35789.99346361
2023-07-24,249.51,253.89,235.78,238.49,41462.26835352
2023-07-25,238.46,239.64,231.94,237.04,28306.32097237
2023-07-26,237.05,244.77,233.6,242.06,49722.09377014
2023-07-27,242.11,249.52,240.67,245.24,51554.77353863
2023-07-28,245.22,245.48,240.75,240.96,27491.77910415
2023-07-29,240.97,242.52,238.34,241.94,23545.40062089
2023-07-30,242,266.29,241.1,253.02,59551.04462156
2023-07-31,253,259.49,242.42,247.92,73540.47977843
2023-08-01,247.92,248.84,238.56,244.92,41151.26579423
2023-08-02,244.87,246.8,220.91,229.06,43563.96902245
2023-08-03,229.03,231.59,222.63,225.07,28568.95199869
2023-08-04,225.08,229.79,220.56,227.32,32490.12470756
2023-08-05,227.39,228.68,222.99,226.57,25615.43721872
2023-08-06,226.59,228.33,221.23,222.71,17685.30554215
2023-08-07,222.7,245.04,217.45,237.48,84517.69829167
2023-08-08,237.47,249.3,234.46,238.6,63853.95919468
2023-08-09,238.63,239.8,233.62,238.61,28255.84573057
2023-08-10,238.64,240.3,230.25,231.75,27063.94459014
2023-08-11,231.74,232.77,227.05,228.79,18616.70774387
2023-08-12,228.85,230.85,227.29,228.49,9722.17342151
2023-08-13,228.52,230.89,224.85,228.26,18362.93522427
2023-08-14,228.17,230.96,225.28,229.87,20741.78613545
2023-08-15,229.82,236.99,225.25,228.52,41020.20407826
2023-08-16,228.52,231.03,200.43,207.85,46550.15031902
2023-08-17,207.96,211.14,164.16,183.95,71581.49184159
