date,open,high,low,close,volume
2023-07-14,5.554,5.745,5.298,5.455,1662133.266
2023-07-15,5.452,5.566,5.385,5.434,429010.244
2023-07-16,5.432,5.451,5.266,5.313,340232.062
2023-07-17,5.313,5.42,5.172,5.305,524279.193
2023-07-18,5.303,5.393,5.098,5.184,519525.209
2023-07-19,5.183,5.261,5.131,5.193,384879.737
2023-07-20,5.194,5.488,5.186,5.358,532305.65
2023-07-21,5.352,5.705,5.336,5.488,801342.374
2023-07-22,5.488,5.52,5.266,5.317,317882.635
2023-07-23,5.315,5.491,5.278,5.389,239512.831
2023-07-24,5.389,5.415,5.1,5.21,458248.057
2023-07-25,5.211,5.255,5.128,5.176,338422.332
2023-07-26,5.176,5.296,5.117,5.234,292152.745
2023-07-27,5.236,5.336,5.18,5.235,322266.767
2023-07-28,5.236,5.272,5.16,5.219,259289.972
2023-07-29,5.219,5.259,5.204,5.248,168754.018
2023-07-30,5.246,5.278,5.09,5.185,289644.661
2023-07-31,5.178,5.26,5.048,5.108,357402.628
2023-08-01,5.105,5.21,4.952,5.207,430873.519
2023-08-02,5.206,5.219,5.006,5.057,335652.168
2023-08-03,5.056,5.072,4.936,4.975,261293.823
2023-08-04,4.977,5.042,4.935,4.985,348413.871
2023-08-05,4.987,4.988,4.924,4.97,188936.862
2023-08-06,4.97,5.038,4.952,4.999,250411.053
2023-08-07,4.999,5.04,4.832,4.965,407211.501
2023-08-08,4.961,5.1,4.927,5.056,360537.878
2023-08-09,5.059,5.104,4.992,5.056,312355.226
2023-08-10,5.06,5.064,4.972,5.001,207629.181
2023-08-11,5,5.015,4.949,5.004,245244.36
2023-08-12,5.004,5.043,4.992,5.038,125560.572
2023-08-13,5.039,5.043,4.966,4.983,137496.611
2023-08-14,4.984,5.048,4.947,4.983,234559.785
2023-08-15,4.984,4.99,4.629,4.813,459885.333
2023-08-16,4.813,4.837,4.528,4.668,1066350.027
2023-08-17,4.668,4.819,4.337,4.431,1047945.45
2023-08-18,4.43,4.559,4.365,4.51,784993.147
2023-08-19,4.51,4.552,4.452,4.52,245834.44
2023-08-20,4.519,4.533,4.466,4.522,232968.125
2023-08-21,4.522,4.538,4.359,4.425,537558.434
2023-08-22,4.424,4.448,4.24,4.42,591049.368
2023-08-23,4.422,4.533,4.377,4.488,527922.921
2023-08-24,4.488,4.517,4.363,4.421,326176.185
