date,open,high,low,close,volume
2023-07-05,39.83,39.845,39.69,39.76,15853840
2023-07-06,39.17,39.23,38.805,38.95,36352500
2023-07-07,39.08,39.6,39.07,39.39,21518570
2023-07-10,39.15,39.44,39.14,39.42,22273410
2023-07-11,39.66,39.84,39.495,39.82,19618980
2023-07-12,40.43,40.735,40.41,40.71,61015900
2023-07-13,40.93,41.32,40.91,41.24,44062420
2023-07-14,41.14,41.155,40.98,41.01,26724530
2023-07-17,40.84,41.07,40.67,41.06,25782910
2023-07-18,40.83,40.92,40.64,40.76,29378020
2023-07-19,40.82,40.985,40.63,40.68,26941220
2023-07-20,40.5,40.595,40.315,40.38,31226710
2023-07-21,40.49,40.535,40.29,40.32,21620460
2023-07-24,40.455,41.02,40.42,40.87,47123640
2023-07-25,41.37,41.4,41.185,41.21,32437350
2023-07-26,41.03,41.57,41.01,41.45,34963060
2023-07-27,41.48,41.51,40.9,40.94,37548530
2023-07-28,41.74,41.96,41.67,41.93,34528980
2023-07-31,41.79,42,41.72,41.95,28034730
2023-08-01,41.61,41.65,41.37,41.42,34641580
2023-08-02,40.75,40.75,40.34,40.43,35589290
2023-08-03,40.48,40.7351,40.44,40.59,20896310
2023-08-04,40.7,40.92,40.49,40.54,29249530
2023-08-07,40.65,40.65,40.31,40.48,19419140
2023-08-08,39.87,40,39.675,39.99,22600720
2023-08-09,40.25,40.275,39.93,40.09,27936930
2023-08-10,40.38,40.695,40.0801,40.15,26321360
2023-08-11,39.7,39.73,39.455,39.56,32303550
2023-08-14,39.18,39.4451,39.04,39.37,25510070
2023-08-15,39.18,39.18,38.87,38.92,31837460
2023-08-16,38.7,38.89,38.56,38.57,37596640
2023-08-17,39.05,39.07,38.63,38.66,35544170
2023-08-18,38.26,38.4751,38.205,38.4,33913060
2023-08-21,38.34,38.52,38.27,38.49,24331900
2023-08-22,38.64,38.68,38.355,38.41,26689770
2023-08-23,38.7,39.07,38.68,39.02,27643270
2023-08-24,39.16,39.235,38.86,38.87,25776710
2023-08-25,38.88,38.995,38.58,38.91,20154880
2023-08-28,39.19,39.325,39.115,39.29,21426870
2023-08-29,39.4,39.82,39.29,39.79,30243420
2023-08-30,39.57,39.7655,39.55,39.66,16164200
2023-08-31,39.37,39.39,39.11,39.17,35424740
2023-09-01,39.71,39.83,39.54,39.63,26152330
2023-09-05,39.42,39.455,39.27,39.31,23571590
2023-09-06,39.22,39.425,39.03,39.09,29118540
2023-09-07,38.7,38.73,38.55,38.63,23907520
2023-09-08,38.74,38.825,38.65,38.71,15128900
2023-09-11,39.14,39.21,38.995,39.19,20748140
2023-09-12,38.9,39.19,38.89,39.07,26259610
2023-09-13,39.03,39.155,38.95,39.02,20708050
2023-09-14,39.25,39.38,39.13,39.28,22611200
2023-09-15,39.29,39.355,39.09,39.13,32981740
2023-09-18,39.01,39.105,38.9,39.08,22967010
2023-09-19,38.91,38.98,38.77,38.85,17404020
2023-09-20,38.96,39.11,38.69,38.69,24528500
2023-09-21,38.1,38.2,38.01,38.02,33916700
2023-09-22,38.64,38.71,38.44,38.47,40006630
2023-09-25,38.15,38.34,38.145,38.3,29050080
2023-09-26,37.92,38.035,37.73,37.76,39426120
2023-09-27,37.95,37.975,37.6348,37.82,27715840
