date,open,high,low,close,volume
2023-08-03,71.59,72.16,71.525,71.96,12745680
2023-08-04,72.33,72.9075,72.1,72.16,14079590
2023-08-07,72.63,72.79,72.3,72.77,12940640
2023-08-08,71.97,72.385,71.79,72.33,14144440
2023-08-09,72.43,72.62,72.1929,72.31,12188680
2023-08-10,73.09,73.51,72.55,72.62,16788860
2023-08-11,72.11,72.37,71.965,72.13,14863670
2023-08-14,71.4,71.8803,71.21,71.81,9959351
2023-08-15,71.39,71.405,70.79,70.92,13863640
2023-08-16,70.69,70.965,70.32,70.34,10940140
2023-08-17,70.56,70.635,69.745,69.84,14730510
2023-08-18,69.32,69.96,69.31,69.84,13617540
2023-08-21,70.02,70.175,69.71,70.1,15838420
2023-08-22,70.43,70.45,69.91,69.97,10568020
2023-08-23,70.25,70.835,70.24,70.73,12669970
2023-08-24,70.38,70.595,69.73,69.76,14879030
2023-08-25,70.2,70.47,69.595,70.23,11617660
2023-08-28,70.71,71.02,70.69,70.97,12320380
2023-08-29,70.83,71.895,70.76,71.85,12224400
2023-08-30,71.91,72.15,71.705,71.81,12235770
2023-08-31,71.84,71.9,71.31,71.53,13375220
2023-09-01,72.15,72.18,71.3,71.49,17069810
2023-09-05,71.31,71.33,70.865,70.87,12085030
2023-09-06,70.85,71,70.465,70.72,11294630
2023-09-07,70.5,70.64,70.275,70.49,13542990
2023-09-08,70.39,70.62,70.3,70.39,11813890
2023-09-11,70.98,71.18,70.785,71.12,11650950
2023-09-12,70.76,71.085,70.72,70.83,7947084
2023-09-13,70.68,70.88,70.465,70.61,10047890
2023-09-14,71.15,71.61,71.13,71.54,13519790
2023-09-15,71.69,71.93,71.35,71.38,13678460
2023-09-18,71.08,71.21,70.83,71.13,9121327
2023-09-19,71.25,71.38,71.005,71.19,10339950
2023-09-20,71.53,71.88,70.98,71.02,14523370
2023-09-21,70.35,70.49,69.84,69.84,17619910
2023-09-22,70.22,70.46,69.84,69.9,14715760
2023-09-25,69.32,69.63,69.155,69.59,16853120
2023-09-26,69.043,69.245,68.63,68.69,17756850
2023-09-27,68.95,69,68.085,68.56,16390390
2023-09-28,68.62,69.325,68.53,69.12,19507380
2023-09-29,69.75,69.76,68.75,68.92,20292940
2023-10-02,68.47,68.53,67.68,67.91,23671360
2023-10-03,67.3,67.49,66.83,67.06,19913410
2023-10-04,67.23,67.27,66.62,67.18,19586200
2023-10-05,67.57,67.87,67.34,67.77,18327240
2023-10-06,67.64,68.68,67.23,68.52,17758930
2023-10-09,67.88,68.495,67.81,68.42,11015700
2023-10-10,69.19,69.6433,69.1,69.36,23682820
2023-10-11,69.76,69.855,69.2617,69.65,15393630
2023-10-12,69.74,69.755,68.81,69.07,16764590
2023-10-13,68.87,69.03,68.26,68.43,19900300
2023-10-16,68.55,69,68.46,68.93,20119560
2023-10-17,68.36,69.285,68.35,68.97,12155130
2023-10-18,68.36,68.425,67.685,67.77,16945880
2023-10-19,67.55,67.91,67.05,67.17,27204110
2023-10-20,66.93,67.09,66.54,66.57,28251820
2023-10-23,66.32,67.04,66.07,66.62,18574700
2023-10-24,66.74,67.06,66.645,67,22138660
2023-10-25,66.82,67.08,66.44,66.52,17400880
2023-10-26,66.35,66.49,65.83,66.04,22914710
2023-10-27,66.5,66.53,65.68,65.84,24116450
2023-10-30,66.56,66.71,66.265,66.68,23954540
2023-10-31,66.76,66.97,66.525,66.92,18291340
2023-11-01,67.08,67.57,66.885,67.55,21115190
2023-11-02,68.68,68.94,68.48,68.93,19669390
2023-11-03,69.51,70,69.405,69.66,20752900
2023-11-06,69.56,69.63,69.17,69.31,15938140
2023-11-07,68.77,69.02,68.635,68.89,15747050
2023-11-08,68.86,69.095,68.595,68.8,10916450
2023-11-09,69.41,69.58,68.755,68.79,14557580
2023-11-10,68.74,69.15,68.26,69.1,12518820
2023-11-13,68.82,69.3847,68.7147,69.28,11354700
2023-11-14,70.46,71.14,70.45,71.05,21166990
2023-11-15,71.08,71.2884,70.9,70.94,12980080
2023-11-16,70.82,71.1101,70.64,70.89,13769700
2023-11-17,71.55,71.865,71.41,71.85,14315650
2023-11-20,71.74,72.199,71.735,72.12,10334940
2023-11-21,72.08,72.145,71.75,71.84,12300160
2023-11-22,71.95,72.035,71.625,72.01,12162880
2023-11-24,72.24,72.58,72.23,72.56,8083468
2023-11-27,72.34,72.4256,72.16,72.31,10365180
2023-11-28,72.11,72.55,72.02,72.33,11130140
2023-11-29,72.54,72.755,72.295,72.48,10462200
2023-11-30,72.49,72.61,72.17,72.42,19444240
2023-12-01,72.375,73.24,72.3497,73.18,21091940
2023-12-04,72.46,72.77,72.335,72.61,14778700
2023-12-05,72.38,72.82,72.23,72.35,17529500
2023-12-06,73.07,73.22,72.55,72.57,16547360
2023-12-07,72.72,73.13,72.43,72.92,14513200
2023-12-08,72.74,73.245,72.72,73.14,13323620
2023-12-11,73.03,73.36,73.015,73.32,12372000
2023-12-12,73.2,73.45,72.96,73.45,13209960
2023-12-13,73.51,74.59,73.16,74.52,16760660
2023-12-14,74.89,75.335,74.72,75.07,21959570
2023-12-15,74.71,74.85,74.29,74.34,22420680
2023-12-18,74.65,74.71,74.3,74.52,14409990
2023-12-19,74.93,75.2,74.93,75.15,15551790
2023-12-20,74.24,74.42,73.42,73.47,23019210
2023-12-21,74.26,74.66,74.1007,74.66,15837430
2023-12-22,74.82,74.97,74.53,74.73,12184500
2023-12-26,74.81,75.1854,74.81,75.07,8915396
2023-12-27,75.12,75.53,75.11,75.47,13103800
2023-12-28,75.45,75.66,75.255,75.27,16832010
2023-12-29,75.38,75.59,75.15,75.35,21346350
2024-01-02,74.54,74.87,74.405,74.51,18177550
2024-01-03,73.78,74.16,73.5756,73.95,18637680
2024-01-04,73.94,74.4903,73.94,74.12,11977050
2024-01-05,74.03,74.82,73.955,74.17,20636710
2024-01-08,74.33,74.98,74.265,74.96,16250150
2024-01-09,74.29,74.47,74.18,74.29,10218300
2024-01-10,74.61,74.88,74.53,74.77,12191310
2024-01-11,74.97,75.065,74.1,74.76,16434280
2024-01-12,75.26,75.495,74.93,75.07,11329290
2024-01-16,74.16,74.255,73.655,73.81,19802710
2024-01-17,72.83,73.14,72.585,73.11,16381460
2024-01-18,73.42,73.78,73.26,73.76,16391370
2024-01-19,73.56,73.94,73.295,73.93,15792190
2024-01-22,74.11,74.38,74.035,74.16,15424830
2024-01-23,73.78,74,73.62,73.95,13575390
2024-01-24,74.93,75,74.5,74.51,16314560
2024-01-25,74.69,74.73,74.33,74.72,15268800
2024-01-26,75.11,75.235,74.985,75.05,16478620
2024-01-29,75.02,75.57,74.925,75.49,13341500
2024-01-30,75.38,75.48,75.1,75.39,11708420
2024-01-31,75.73,75.97,74.9,75.01,23907270
2024-02-01,75.19,75.77,75.03,75.75,17189450
2024-02-02,75.13,75.2,74.81,75.15,15579850
2024-02-05,74.7,74.915,74.335,74.75,15617890
2024-02-06,74.72,75.23,74.68,75.21,13886590
2024-02-07,75.17,75.285,75,75.17,10485100
2024-02-08,75.05,75.1,74.82,75.04,9578469
2024-02-09,75.05,75.35,74.875,75.3,11001150
2024-02-12,75.27,75.66,75.245,75.43,6911456
2024-02-13,74.62,74.715,74.015,74.27,14942550
2024-02-14,74.76,75.12,74.699,75.1,13248020
2024-02-15,75.46,75.97,75.45,75.95,14128630
2024-02-16,75.98,76.385,75.8,76.07,13381560
2024-02-20,76.55,76.63,76.18,76.38,15285820
2024-02-21,76.22,76.47,76.0851,76.44,11433760
2024-02-22,77.07,77.32,76.93,77.3,15475950
2024-02-23,77.38,77.525,77.27,77.4,11399960
2024-02-26,77.46,77.46,77.1499,77.29,15015190
2024-02-27,77.34,77.555,77.285,77.5,11110980
2024-02-28,76.98,77.145,76.92,77.05,12196750
2024-02-29,77.42,77.55,76.855,77.25,17221870
2024-03-01,77.57,78.025,77.25,78,18930510
2024-03-04,77.76,77.96,77.675,77.8,13960990
2024-03-05,77.85,78.13,77.445,77.66,12874370
2024-03-06,78.51,78.809,78.365,78.58,24098120
2024-03-07,79.17,79.61,79.095,79.51,18279140
2024-03-08,79.78,79.8599,79.13,79.25,14926860
2024-03-11,78.72,78.825,78.41,78.8,10496030
2024-03-12,78.91,79.44,78.61,79.43,15296000
2024-03-13,79.35,79.6175,79.315,79.44,14150360
2024-03-14,79.42,79.475,78.57,78.86,25572050
2024-03-15,79.04,79.115,78.63,78.89,17529110
2024-03-18,79.09,79.1177,78.805,78.87,13472210
2024-03-19,78.82,79.22,78.705,79.01,13222150
2024-03-20,78.96,79.9,78.895,79.85,18834850
2024-03-21,79.9,80.03,79.785,79.81,13020950
2024-03-22,79.78,79.83,79.55,79.64,12832840
2024-03-25,79.39,79.76,79.39,79.47,9418239
2024-03-26,79.85,79.875,79.56,79.56,12343150
2024-03-27,79.74,80.06,79.64,80.04,12337190
2024-03-28,79.73,79.97,79.72,79.86,17180350
2024-04-01,79.72,79.87,79.325,79.52,15419520
2024-04-02,78.89,78.96,78.69,78.96,17414960
2024-04-03,78.82,79.52,78.81,79.4,15898400
2024-04-04,79.92,79.95,78.645,78.72,19950360
2024-04-05,78.61,79.13,78.46,78.97,21091870
2024-04-08,79.42,79.53,79.22,79.36,12350990
2024-04-09,79.73,79.8,79,79.35,12469130
2024-04-10,78.21,78.64,78,78.3,21567340
2024-04-11,78.57,78.61,77.65,78.51,11967000
2024-04-12,77.86,78.0875,77.14,77.24,17934610
2024-04-15,78.14,78.24,76.885,77.01,21610120
2024-04-16,76.39,76.62,75.995,76.25,24161810
2024-04-17,76.68,76.72,75.96,76.3,15748040
2024-04-18,76.27,76.61,75.9746,76.09,12884170
2024-04-19,76.18,76.4075,75.885,76.12,16924970
2024-04-22,76.54,77.27,76.465,77.01,17314230
2024-04-23,77.27,77.95,77.21,77.85,13466020
2024-04-24,77.97,77.97,77.385,77.7,8530070
2024-04-25,76.61,77.45,76.42,77.34,11479650
2024-04-26,77.68,78.06,77.65,77.96,12676410
2024-04-29,78.16,78.4,78.04,78.26,10560040
2024-04-30,78,78.215,77.21,77.27,18994250
2024-05-01,77.25,78.015,76.905,77.1,17900350
2024-05-02,77.93,78.28,77.495,78.14,14993400
2024-05-03,78.98,79.22,78.445,78.92,15055610
2024-05-06,79.31,79.52,79.245,79.46,9411398
2024-05-07,79.72,79.85,79.545,79.67,9065799
2024-05-08,79.32,79.6,79.3,79.58,6667504
2024-05-09,79.57,80.2,79.565,80.19,13255990
2024-05-10,80.46,80.52,80.235,80.34,8021993
2024-05-13,80.41,80.55,80.23,80.34,6990493
2024-05-14,80.65,80.95,80.57,80.94,15228300
2024-05-15,81.32,81.8,81.16,81.8,10823680
2024-05-16,81.64,81.71,81.33,81.36,13042070
2024-05-17,81.38,81.68,81.26,81.64,10219550
2024-05-20,81.72,81.93,81.66,81.7,5836787
2024-05-21,81.4,81.625,81.36,81.57,6221985
2024-05-22,81.02,81.1,80.58,80.8,10721210
2024-05-23,81.5,81.505,80.24,80.39,8805831
2024-05-24,80.8,81.165,80.755,81.05,9289525
2024-05-28,81.35,81.37,80.78,81.02,13036640
2024-05-29,79.98,80.115,79.71,79.74,13662060
2024-05-30,80.24,80.6073,80.21,80.41,7456128
2024-05-31,80.96,81.22,80.56,81.18,19932480
2024-06-03,81.44,81.65,81.08,81.41,17127670
2024-06-04,81.23,81.44,80.965,81.31,12565480
2024-06-05,81.71,81.91,81.27,81.88,8661543
2024-06-06,81.91,82.16,81.865,82.16,13195570
2024-06-07,81.44,81.705,81.185,81.27,21589680
2024-06-10,80.72,81.295,80.6,81.21,8996296
2024-06-11,78.89,79.07,78.47,78.91,17004620
2024-06-12,80.18,80.385,79.7,79.84,15188860
2024-06-13,79.18,79.18,78.375,78.7,12784230
2024-06-14,77.655,77.91,77.3601,77.83,17500050
2024-06-17,77.63,78.16,77.37,78.14,13582730
2024-06-18,78.14,78.48,78.12,78.45,16057060
2024-06-20,78.29,78.62,78.21,78.5,10942850
2024-06-21,77.89,78.05,77.665,77.95,14477750
2024-06-24,78.59,78.96,78.52,78.57,12193740
2024-06-25,78.56,78.875,78.47,78.76,8753370
2024-06-26,78.06,78.34,77.945,78.18,10509730
2024-06-27,78.32,78.515,78.08,78.24,14156050
2024-06-28,78.23,78.5651,78,78.33,17425010
2024-07-01,78.76,79.03,78.27,78.47,19845720
2024-07-02,78.22,78.69,78.145,78.66,10331750
2024-07-03,79.25,79.6189,79.25,79.56,8107900
2024-07-05,80.219,80.23,79.52,80.09,8408776
2024-07-08,80.14,80.22,79.645,79.69,6031687
2024-07-09,79.52,79.58,79.165,79.37,8069772
2024-07-10,80.01,80.535,79.97,80.49,8189449
2024-07-11,81.04,81.1799,80.67,80.72,8930036
2024-07-12,81.36,81.87,81.315,81.58,9289703
2024-07-15,81.39,81.4,80.79,80.86,7418664
2024-07-16,80.65,81.275,80.55,81.25,10902890
2024-07-17,80.85,81.14,80.73,80.82,11634180
2024-07-18,80.96,81.04,79.84,80.02,16481520
2024-07-19,79.78,79.82,79.45,79.53,15570280
2024-07-22,80.24,80.395,80.025,80.37,13762750
2024-07-23,79.95,80.0836,79.855,79.92,12043010
2024-07-24,79.67,79.78,78.87,78.91,10698030
2024-07-25,78.24,79.105,77.98,78.41,17719810
2024-07-26,79.02,79.55,78.945,79.41,10574880
2024-07-29,79.23,79.26,78.815,79.06,9305599
2024-07-30,79.37,79.45,78.9201,79.24,8551634
2024-07-31,80.4,80.705,80.12,80.36,20969460
2024-08-01,79.34,79.54,77.85,78.23,18129780
2024-08-02,77.17,77.355,76.375,77,25136220
2024-08-05,74.23,75.835,73.91,75.32,28088800
2024-08-06,74.71,75.9,74.605,75.45,22307550
2024-08-07,76.845,77.09,75.77,75.81,24592620
2024-08-08,76.55,77.155,76.205,77.08,14824680
2024-08-09,76.87,77.39,76.715,77.38,11022680
2024-08-12,77.33,77.53,77.06,77.31,7988718
2024-08-13,77.89,78.6958,77.85,78.64,11927450
2024-08-14,78.79,78.995,78.635,78.93,7127626
2024-08-15,79.64,80.05,79.56,79.89,10364200
2024-08-16,79.98,80.4,79.96,80.33,10287850
2024-08-19,80.81,81.4,80.8,81.31,6740976
2024-08-20,81.17,81.36,80.91,81.06,5177868
2024-08-21,81.58,81.965,81.4,81.81,10653470
2024-08-22,82.11,82.14,81.28,81.33,7290684
2024-08-23,81.99,82.87,81.89,82.82,10779000
2024-08-26,82.56,82.72,82.36,82.45,6719906
2024-08-27,82.65,82.97,82.54,82.83,9597134
2024-08-28,82.74,82.905,82.2,82.54,7883869
2024-08-29,82.93,83.2842,82.71,82.85,9112065
2024-08-30,83.115,83.25,82.59,82.98,15627550
2024-09-03,82.56,82.655,81.465,81.67,9886682
2024-09-04,81.07,81.69,80.98,81.31,10324400
2024-09-05,81.41,81.555,80.975,81.33,12147440
2024-09-06,81.12,81.335,79.67,79.8,12344380
2024-09-09,80.41,80.9,80.395,80.6,10634960
2024-09-10,80.31,80.315,79.575,80.2,9742931
2024-09-11,80.27,80.71,79.375,80.68,12999130
2024-09-12,80.61,81.37,80.39,81.34,11686010
2024-09-13,81.45,81.835,81.3915,81.53,7340468
2024-09-16,81.88,82.2299,81.695,82.19,9869506
2024-09-17,82.09,82.14,81.455,81.73,7307315
2024-09-18,81.81,82.46,81.29,81.47,8454227
2024-09-19,82.96,83.235,82.47,83.08,9974104
2024-09-20,82.59,82.61,81.97,82.26,7892376
2024-09-23,82.39,82.66,82.345,82.57,6997708
2024-09-24,82.82,83.1199,82.61,83.06,6855760
2024-09-25,83.21,83.23,82.585,82.61,11869020
2024-09-26,84.19,84.525,83.85,84.43,12874980
2024-09-27,84.27,84.5563,83.795,83.92,10690660
2024-09-30,83.96,83.97,83.18,83.63,13425370
2024-10-01,83.66,83.69,82.57,83.01,18430910
2024-10-02,82.86,83.025,82.45,82.84,8335155
2024-10-03,82.12,82.28,81.77,82.07,9890515
2024-10-04,82.13,82.565,82.045,82.55,8536274
2024-10-07,82.3,82.41,81.7879,82.09,7365112
2024-10-08,81.9,81.97,81.685,81.96,6339144
2024-10-09,81.52,82.05,81.46,81.98,5370828
2024-10-10,81.77,81.91,81.43,81.88,5794427
2024-10-11,81.84,82.38,81.83,82.3,6915027
2024-10-14,82.11,82.575,82.01,82.54,6646193
2024-10-15,82.24,82.26,81.095,81.17,17667290
2024-10-16,81.38,81.4569,81.225,81.38,5931766
2024-10-17,81.68,81.71,81.31,81.39,8904646
2024-10-18,81.81,81.965,81.62,81.94,5863087
2024-10-21,81.49,81.55,80.83,80.97,8009105
2024-10-22,80.44,80.625,80.37,80.51,5844195
2024-10-23,79.79,79.965,79.345,79.7,7555992
2024-10-24,80.33,80.35,79.8,80.15,6522380
2024-10-25,80.34,80.46,79.745,79.88,9288134
2024-10-28,80.24,80.625,80.18,80.52,6985008
2024-10-29,80.25,80.42,80.045,80.23,8778380
2024-10-30,79.57,80.06,79.505,79.71,8828077
2024-10-31,79.32,79.32,78.47,79.22,19247650
2024-11-01,79.65,79.8557,79.305,79.38,9951294
2024-11-04,79.82,80.03,79.39,79.44,10280050
2024-11-05,79.65,80.295,79.59,80.23,9596383
2024-11-06,79.05,79.155,78.42,79.07,11746260
2024-11-07,79.98,80.34,79.84,80.27,11634130
2024-11-08,79.38,79.38,78.78,79.16,11540290
2024-11-11,79.41,79.45,79.1,79.18,5839576
2024-11-12,78.42,78.42,77.32,77.71,16613900
2024-11-13,77.4,77.46,76.8,77.25,14828860
2024-11-14,77.81,77.975,77.33,77.41,19039010
2024-11-15,77.31,77.33,76.96,77.13,15433600
2024-11-18,77.07,77.695,77.02,77.55,7774078
2024-11-19,76.9,77.595,76.79,77.45,13402290
2024-11-20,77.13,77.24,76.7017,77.24,12441970
2024-11-21,77.12,77.3801,76.8518,77.26,9161202
2024-11-22,77.17,77.7,77.16,77.56,16809830
2024-11-25,78.16,78.27,77.72,77.96,24934100
2024-11-26,77.83,77.845,77.27,77.51,9360799
2024-11-27,77.84,78.075,77.695,77.93,7477916
2024-11-29,78.24,79.01,78.21,78.97,11643860
2024-12-02,79.08,79.33,78.57,79.19,15721140
2024-12-03,79.71,79.87,79.4,79.64,13289940
2024-12-04,79.74,79.875,79.58,79.7,10434380
2024-12-05,80.1,80.22,79.945,80.09,11910870
2024-12-06,80.39,80.39,79.9,80.08,7072545
2024-12-09,80.53,80.625,80,80.03,7801060
2024-12-10,79.83,79.85,79.29,79.31,10662790
2024-12-11,79.73,79.87,79.49,79.81,11859040
2024-12-12,79.39,79.71,79.05,79.11,8623811
2024-12-13,79.21,79.21,78.68,78.89,10116570
2024-12-16,78.58,78.895,78.5001,78.63,25547910
2024-12-17,77.43,77.71,77.37,77.45,13934860
2024-12-18,77.375,77.535,75.405,75.55,16470400
2024-12-19,75.8,75.87,75.255,75.31,17486580
2024-12-20,74.38,75.7299,74.37,75.1,20878320
2024-12-23,75.24,75.64,74.94,75.59,10491240
2024-12-24,75.62,75.92,75.43,75.86,5585232
2024-12-26,75.99,76.345,75.9301,76.22,10787370
2024-12-27,76.08,76.275,75.83,76.11,15819740
2024-12-30,75.64,75.8799,75.275,75.61,16427610
2024-12-31,75.86,75.98,75.44,75.61,21393480
2025-01-02,75.7,75.87,75.14,75.35,12756560
2025-01-03,75.53,75.74,75.235,75.68,12548780
2025-01-06,76.33,76.89,76.25,76.4,16201780
2025-01-07,77.06,77.06,76.23,76.34,9393247
2025-01-08,75.9,76.33,75.675,76.22,7894852
2025-01-10,75.65,75.67,74.9038,75.06,12022280
2025-01-13,74.25,74.89,74.24,74.85,12019750
2025-01-14,75.02,75.256,74.76,75.12,9963181
2025-01-15,76.2,76.26,75.755,76.08,12144780
2025-01-16,76.25,76.69,76.09,76.47,17925790
2025-01-17,76.86,77.195,76.68,76.78,10667120
2025-01-21,77.8,78.35,77.6838,78.33,13169110
2025-01-22,78.49,78.5,78.12,78.15,8666664
2025-01-23,78.34,78.79,78.19,78.79,10977640
2025-01-24,79.15,79.46,79.075,79.23,7578399
2025-01-27,78.84,79.27,78.82,79.23,13559150
2025-01-28,79.11,79.18,78.655,79.13,9458406
2025-01-29,79.14,79.355,78.85,79.12,7875350
2025-01-30,79.88,80.32,79.64,79.99,13792060
2025-01-31,79.86,80.17,79.17,79.24,14935710
2025-02-03,77.91,78.8,77.6476,78.31,14997650
2025-02-04,78.785,79.3,78.71,79.22,10608270
2025-02-05,79.71,80.085,79.55,79.99,7857042
2025-02-06,80.25,80.54,80.1901,80.37,7806531
2025-02-07,80.42,80.48,79.48,79.61,13110840
2025-02-10,79.98,80.175,79.92,80.15,7287254
2025-02-11,80.06,80.615,80.025,80.53,7583803
2025-02-12,80.01,80.99,79.89,80.83,17271430
2025-02-13,81.2,81.85,81.12,81.81,17212340
2025-02-14,82.27,82.35,81.905,81.93,8051820
2025-02-18,82.47,82.63,82.32,82.52,9485857
2025-02-19,81.65,81.8,81.375,81.67,11042160
2025-02-20,81.91,82.1,81.585,82.05,9177372
2025-02-21,82.12,82.135,81.3801,81.54,11630000
2025-02-24,81.87,81.99,81.3399,81.49,11135810
2025-02-25,82.51,82.51,81.875,82.23,10091350
2025-02-26,82.47,82.985,82.17,82.34,11254630
2025-02-27,82.11,82.11,81.36,81.41,19003210
2025-02-28,81.33,81.65,80.81,81.58,20717810
2025-03-03,83.17,83.385,82.025,82.48,16234750
2025-03-04,81.89,83.33,81.21,82.46,18408470
2025-03-05,83.58,84.57,83.58,84.43,17092510
2025-03-06,83.81,84.4899,83.5,83.56,18421020
2025-03-07,83.71,84.54,83.5365,84.43,13184270
2025-03-10,83.04,83.335,81.875,82.44,19368430
2025-03-11,82.53,82.65,81.605,82.16,18088830
2025-03-12,82.71,82.93,82.175,82.75,15886270
2025-03-13,82.27,82.495,81.9399,82.2,18561450
2025-03-14,83,83.73,82.85,83.71,13971270
2025-03-17,83.93,84.78,83.87,84.65,12966760
2025-03-18,84.58,84.7701,84.1499,84.64,10513400
2025-03-19,84.34,85.185,84.2773,84.89,16362390
2025-03-20,83.67,84.25,83.645,84.18,11820550
2025-03-21,83.55,83.82,83.37,83.66,18771240
2025-03-24,83.585,83.83,83.345,83.65,12201770
2025-03-25,84.22,84.32,83.91,84.11,10478190
2025-03-26,83.55,83.775,82.875,83.02,17011160
2025-03-27,82.89,83.39,82.845,83.2,10331860
2025-03-28,82.79,82.885,82.29,82.46,14242400
2025-03-31,81.27,81.875,80.915,81.73,25560630
2025-04-01,81.78,82.11,81.345,81.85,15153980
2025-04-02,81.25,82.13,81.19,82.04,14451650
2025-04-03,81.24,81.445,80.215,80.32,18718350
2025-04-04,77.25,77.515,74.97,75.02,40904310
2025-04-07,72.69,76.25,72.145,73.21,63057500
2025-04-08,75.83,75.92,72.22,72.96,36425020
2025-04-09,73.16,78.86,72.76,78.59,60645130
2025-04-10,77.2,77.485,75.285,77.04,36697620
2025-04-11,77.34,79.145,77.225,78.97,28909930
2025-04-14,79.45,80.24,79.17,79.82,15749900
2025-04-15,80.45,80.905,80.36,80.54,13679840
2025-04-16,80.55,81.06,79.94,80.23,16542600
2025-04-17,80.96,81.59,80.805,81.1,14072530
2025-04-21,81.47,81.56,80.09,80.66,15883910
2025-04-22,81.77,82.7,81.75,82.33,14923220
2025-04-23,83.12,83.63,82.43,82.66,15223540
2025-04-24,83.03,83.79,82.885,83.76,11194210
2025-04-25,83.6,84.15,83.48,84.12,10485380
2025-04-28,84.23,84.765,84.1547,84.68,10085400
2025-04-29,84.59,85.03,84.5627,84.85,8303750
2025-04-30,84.28,85.01,83.8601,84.75,24147910
2025-05-01,84.98,84.99,84.365,84.48,10070870
2025-05-02,85.96,86.295,85.81,86.1,14798550
2025-05-05,86.37,86.475,86.23,86.25,8119851
2025-05-06,86.21,86.44,86.05,86.14,8661737
2025-05-07,85.93,86.185,85.59,85.85,8536595
2025-05-08,86.085,86.09,85.5,85.55,12228340
2025-05-09,86.21,86.21,85.74,85.97,9148988
2025-05-12,86.09,86.42,85.65,86.41,12602560
2025-05-13,86.295,86.73,86.2,86.52,13242910
2025-05-14,86.805,86.83,86.035,86.1,10173350
2025-05-15,86.72,87.1,86.495,87.04,11283160
2025-05-16,86.94,87.275,86.77,87.24,8372141
2025-05-19,87.24,88.08,87.22,88.07,9062923
2025-05-20,88.26,88.53,88.21,88.49,23335470
2025-05-21,88.6,88.89,87.925,87.97,15278900
2025-05-22,87.625,88.15,87.485,87.92,12787320
2025-05-23,87.2,88.2,87.15,88.04,16959590
2025-05-27,89.3,89.46,89.12,89.32,12435730
