date,open,high,low,close,volume
2023-07-31,132.73,133.525,131.775,132.72,28055530
2023-08-01,130.775,132.63,130.68,131.55,23276440
2023-08-02,129.45,130.09,127.56,128.38,26273260
2023-08-03,127.97,129.385,127.42,128.45,20159530
2023-08-04,129.28,131.51,127.91,128.11,26147160
2023-08-07,129.16,131.61,129.02,131.53,22746290
2023-08-08,130.62,131.51,129.545,131.4,23535180
2023-08-09,131.66,132.04,129,129.66,24912920
2023-08-10,131.32,132.05,129.45,129.69,20857750
2023-08-11,128.66,129.93,128.17,129.56,19591080
2023-08-14,129.39,131.37,128.96,131.33,24695610
2023-08-15,131.1,131.42,129.28,129.78,19770730
2023-08-16,128.7,130.2809,127.865,128.7,25216070
2023-08-17,129.8,131.99,129.29,129.92,33446280
2023-08-18,128.51,129.25,126.3824,127.46,30504770
2023-08-21,127.175,128.725,126.56,128.37,25248730
2023-08-22,128.51,130.278,128.32,129.08,22067520
2023-08-23,130.18,133.41,129.87,132.37,27819710
2023-08-24,133.95,134.25,129.57,129.78,28500690
2023-08-25,129.54,130.76,127.25,129.88,26762890
2023-08-28,131.31,132.54,130.14,131.01,20543270
2023-08-29,132.24,136.57,132.24,134.57,43075560
2023-08-30,134.78,136.275,134.07,135.88,28315770
2023-08-31,136.01,138,135.79,136.17,30053800
2023-09-01,137.455,137.455,134.85,135.66,21543690
2023-09-05,135.44,136.42,134.5801,135.77,19403110
2023-09-06,136.02,136.5299,133.665,134.46,18684530
2023-09-07,133.59,135.58,132.95,135.26,18844340
2023-09-08,134.91,136.66,134.85,136.38,23584190
2023-09-11,136.54,137.48,135.785,136.92,20763350
2023-09-12,136.26,136.8701,135.19,135.34,18405510
2023-09-13,135.09,136.9,134.15,136.71,20749500
2023-09-14,137.6,138.695,136.24,138.1,24750970
2023-09-15,137.98,138.52,136.48,137.4,38919610
2023-09-18,136.61,139.16,136.61,138.21,21861350
2023-09-19,137.42,138.41,136.62,138.04,20353650
2023-09-20,138.08,138.08,133.62,133.74,29927480
2023-09-21,131.44,132.23,130.07,130.44,31503910
2023-09-22,130.76,132.025,129.6,130.25,26397340
2023-09-25,129.83,131.17,128.96,131.11,20094640
2023-09-26,129.77,130.3645,127.22,128.565,25718700
2023-09-27,128.57,130.895,128.57,130.54,22746450
2023-09-28,129.84,133.3,129.79,132.31,22513130
2023-09-29,133.28,134.05,130.36,130.86,30859790
2023-10-02,131.21,134.42,131.17,134.17,22288040
2023-10-03,133.94,134.26,131.84,132.43,22989400
2023-10-04,132.79,135.57,132.53,135.24,26752300
2023-10-05,135.07,135.49,133.45,135.07,19832620
2023-10-06,134.01,138.155,134.01,137.58,27597600
2023-10-09,136.94,138.94,135.61,138.42,19278070
2023-10-10,138.5,139.72,137.33,138.06,27786610
2023-10-11,138.58,141.11,138.58,140.55,25884300
2023-10-12,141.05,141.22,138.26,138.97,24765540
2023-10-13,139.38,140,136.615,137.36,23435600
2023-10-16,138.17,139.63,137.99,139.095,28501870
2023-10-17,138.63,139.9,137.18,139.72,23515780
2023-10-18,139.445,140.72,137.38,137.96,23375000
2023-10-19,138.5,139.66,137.38,137.75,26066010
2023-10-20,137.33,137.87,135.08,135.6,26335670
2023-10-23,135.04,137.6599,133.95,136.5,26317930
2023-10-24,137.83,139.3599,137.42,138.81,44814320
2023-10-25,128.16,128.31,125.07,125.61,84366210
2023-10-26,123.27,124.3297,121.27,122.28,57061140
2023-10-27,122.88,123.31,120.2057,122.17,44566510
2023-10-30,123.21,125.4,122.75,124.46,28940080
2023-10-31,125.06,125.37,122.685,124.08,26292340
2023-11-01,124.07,126.49,123.715,126.45,30082440
2023-11-02,128.42,128.98,126.93,127.49,27124650
2023-11-03,128.02,129.525,127.86,129.1,26393110
2023-11-06,129.05,130.34,128.67,130.25,19052740
2023-11-07,130.71,131.91,129.88,130.97,29757280
2023-11-08,130.97,132.21,130.78,131.84,26425850
2023-11-09,131.96,132.55,130.065,130.24,23747770
2023-11-10,130.105,132.8,129.41,132.59,26927830
2023-11-13,131.78,132.59,131.25,132.09,18324750
2023-11-14,134.19,135.7,133.32,133.62,32395180
2023-11-15,134.87,135.03,133.57,134.62,23861520
2023-11-16,135.19,137.2199,134.32,136.93,28013180
2023-11-17,136,136.06,133.65,135.31,37287690
2023-11-20,133.69,136.66,133.62,136.25,27850760
2023-11-21,136.29,137.18,135.96,136.97,22635270
2023-11-22,137.47,139.42,137.47,138.49,17820460
2023-11-24,138.03,138.13,135.99,136.69,12514320
2023-11-27,136.03,138.42,136,136.41,23436530
2023-11-28,136.08,137.25,135.4222,137.2,18730030
2023-11-29,137.57,138.288,134.84,134.99,23967220
2023-11-30,135.05,135.55,131.28,132.53,38988260
2023-12-01,131.86,132.11,130.665,131.86,31442260
2023-12-04,129.88,130.03,127.9,129.27,36669880
2023-12-05,128.95,132.14,128.25,130.99,27384780
2023-12-06,131.44,131.84,129.875,130.02,23576180
2023-12-07,135.04,138.56,134.7,136.93,56767100
2023-12-08,134.2,136.4,134.025,134.99,32260110
2023-12-11,132.38,133.335,131.36,133.29,31138010
2023-12-12,131.81,133,131.26,132.52,29032830
2023-12-13,133.38,133.5,131.57,132.57,30104780
2023-12-14,133.38,133.72,129.685,131.94,38722410
2023-12-15,131.62,133.51,131.18,132.6,50847110
2023-12-18,132.63,137.1478,132.43,135.8,32257970
2023-12-19,136.84,137.47,136.08,136.65,25476750
2023-12-20,138.97,141.695,138.065,138.34,49107180
2023-12-21,139.49,140.685,139.18,140.42,27488280
2023-12-22,140.77,141.99,140.71,141.49,26532200
2023-12-26,141.59,142.68,141.19,141.52,16780330
2023-12-27,141.59,142.08,139.886,140.37,19628620
2023-12-28,140.78,141.14,139.75,140.23,16045710
2023-12-29,139.63,140.36,138.78,139.69,18733020
2024-01-02,138.55,139.45,136.48,138.17,23711220
2024-01-03,137.25,139.63,137.08,138.92,24212150
2024-01-04,138.42,139.16,136.35,136.39,27137740
2024-01-05,136.745,137.1558,135.15,135.73,22513850
2024-01-08,136.29,139.01,136.26,138.84,21403980
2024-01-09,138.5,141.485,138.15,140.95,24759600
2024-01-10,141,143,140.91,142.28,21320200
2024-01-11,143.49,145.22,140.635,142.08,24008720
2024-01-12,142.67,143.195,141.82,142.65,18785510
2024-01-16,142,144.35,141.45,142.49,22670470
2024-01-17,141.345,141.84,138.9,141.47,20968650
2024-01-18,142.05,144.21,141.99,143.48,25746420
2024-01-19,144.74,146.45,144.38,146.38,34271870
2024-01-22,147.1,148.39,145.84,145.99,32200370
2024-01-23,145.89,147.182,145.5,147.04,21636130
2024-01-24,148.54,149.855,148.1,148.7,25233450
2024-01-25,150.065,153.05,149.54,151.87,29149070
2024-01-26,151.1,152.535,151.01,152.185,26115490
2024-01-29,152.06,153.78,151.43,153.51,27784260
2024-01-30,152.8,153.62,151.185,151.46,36331830
2024-01-31,143.62,144,139.87,140.1,71910040
2024-02-01,142.12,143.06,140.79,141.16,40466550
2024-02-02,139.26,142.62,136.5,142.38,62499570
2024-02-05,142.82,145.47,142.78,143.68,38505410
2024-02-06,144.65,145.36,143.19,144.1,29128200
2024-02-07,144.76,145.615,143.925,145.54,25208860
2024-02-08,145.83,146.33,145.105,145.91,22563760
2024-02-09,146.68,149.44,146.18,149,26829500
2024-02-12,148.42,149.335,147.37,147.53,21564090
2024-02-13,144.92,146.67,143.69,145.14,27837730
2024-02-14,146.08,146.52,144.094,145.94,22704170
2024-02-15,143.14,143.52,140.46,142.77,37590700
2024-02-16,142.99,143.19,140.14,140.52,31468930
2024-02-20,139.655,142.08,139.49,141.12,24935710
2024-02-21,141.45,142.69,140.675,142.55,23315690
2024-02-22,144.93,145,142.8,144.09,27191890
2024-02-23,143.67,144.68,143.43,143.96,19493750
2024-02-26,142.14,142.44,137.39,137.57,53641800
2024-02-27,138.02,139.25,137.09,138.88,33099190
2024-02-28,137.9,138.01,135.41,136.38,37328560
2024-02-29,137.28,138.86,136.4,138.46,42132950
2024-03-01,138.43,138.87,136.92,137.14,31151120
2024-03-04,135.66,135.66,131.91,133.35,55999420
2024-03-05,131.88,133.24,130.665,132.67,40194760
2024-03-06,133.12,133.58,130.85,131.4,35318610
2024-03-07,132.795,134.94,131.61,134.38,37738210
2024-03-08,134.21,138.085,134,135.41,39370390
2024-03-11,136.13,139.095,136.13,137.67,32437770
2024-03-12,137.03,139.375,137.03,138.5,27563350
2024-03-13,139,141.09,138.99,139.79,23347210
2024-03-14,141.19,143.585,140.455,143.1,42753390
2024-03-15,142.5,143.18,140.03,141.18,49475420
2024-03-18,148.61,152.15,147.17,147.68,69273700
2024-03-19,148.16,148.7913,146.08,147.03,24070440
2024-03-20,148,148.86,146.735,148.74,21311500
2024-03-21,149.47,150.37,146.9001,147.6,24755600
2024-03-22,149.12,151.58,148.98,150.77,29211770
2024-03-25,149.94,150.375,147.82,150.07,19229290
2024-03-26,150.22,152.256,149.98,150.67,22149140
2024-03-27,151.18,151.635,148.9,150.87,22879180
2024-03-28,150.85,151.43,150.17,150.93,24485390
2024-04-01,150.69,155.74,150.61,155.49,31730850
2024-04-02,153.5,154.7,152.15,154.56,24585990
2024-04-03,153.6,155.08,152.73,154.92,24704990
2024-04-04,153.5,154.77,150.45,150.53,34724740
2024-04-05,150.03,153.42,149.6,152.5,23459250
2024-04-08,152.78,155.27,152.61,154.85,20701970
2024-04-09,156.085,158.56,155.19,156.6,31113010
2024-04-10,156.21,156.61,154.68,156.14,22838630
2024-04-11,156.91,159.68,156.46,159.41,27166430
2024-04-12,157.96,160.2225,157.14,157.73,25353750
2024-04-15,158.86,159.24,154.59,154.86,27136470
2024-04-16,154.19,155.65,153.43,154.4,20779500
2024-04-17,155.62,157.08,154.58,155.47,21763130
2024-04-18,155.34,156.94,154.62,156.01,19883040
2024-04-19,156.2,156.36,152.3,154.09,32615640
2024-04-22,154.31,157.64,154.06,156.28,26446210
2024-04-23,156.96,158.97,156.28,158.26,21151570
2024-04-24,157.49,159.565,157.165,159.13,22779110
2024-04-25,151.33,156.49,150.87,156,57109730
2024-04-26,174.37,174.71,169.65,171.95,64665300
2024-04-29,169.058,169.55,165.21,166.15,45610020
2024-04-30,165.612,168.1,162.6,162.78,33562860
2024-05-01,164.3,167.12,163.09,163.86,33493150
2024-05-02,164.785,166.73,163.89,166.62,24294550
2024-05-03,167.56,167.96,163.05,167.24,34662430
2024-05-06,167.46,168.14,166.03,168.1,21871280
2024-05-07,168.5,171.76,168.39,171.25,28039700
2024-05-08,169,170.15,168.735,169.38,19569150
2024-05-09,169.39,170.69,168.18,169.96,15346700
2024-05-10,168.025,169.85,166.19,168.65,29799930
2024-05-13,164.26,169.28,164,169.14,31327600
2024-05-14,169.77,171.25,168.8,170.34,25127140
2024-05-15,170.63,172.65,170.51,172.51,26948370
2024-05-16,173.29,175.115,172.69,174.18,27867950
2024-05-17,174.18,176.265,173.69,176.06,24479260
2024-05-20,176.192,178.77,176.08,176.92,22554400
2024-05-21,176.9,178.15,175.81,177.85,16989370
