date,open,high,low,close,volume
2023-07-06,183.63,183.71,180.72,182.78,39080780
2023-07-07,182.98,186.49,182.93,184.71,31706670
2023-07-10,184.58,188.05,184.16,187.87,29272700
2023-07-11,188.48,190.08,187.69,189.8,26738830
2023-07-12,192.76,193.05,191.365,191.87,40127300
2023-07-13,192.51,193.685,191.8,193.42,23523020
2023-07-14,193.34,193.4887,190.29,191.53,32198600
2023-07-17,191.34,194.36,191.14,193.58,23283690
2023-07-18,193.7,196.39,193.49,195.97,28551480
2023-07-19,196.7,197.66,195.9301,196.8,23678950
2023-07-20,196.94,196.94,194.265,195.08,27278060
2023-07-21,196.39,196.62,194.0901,194.46,28982430
2023-07-24,194.56,196.255,193.99,194.94,16929830
2023-07-25,194.58,196.21,194.42,194.92,18961100
2023-07-26,194.77,197.16,194.71,196.46,20377890
2023-07-27,197.63,197.9,193.18,193.92,31159260
2023-07-28,196.02,196.95,195.5,196.43,21612220
2023-07-31,196.93,198.75,196.915,198.71,24203900
2023-08-01,197.43,197.935,195.78,197.8,27552000
2023-08-02,195.59,196.09,194.09,195.11,28079650
2023-08-03,194.3,195.64,193.06,194.56,24323070
2023-08-04,194.82,196.31,193.71,194.17,24950430
2023-08-07,194.66,195.06,192.68,194.3,20184970
2023-08-08,192.14,193.29,190.52,193.08,25578160
2023-08-09,192.87,192.88,190.75,191.57,22293210
2023-08-10,192.24,194.12,189.89,190.72,29378810
2023-08-11,189.92,191.69,189.74,190.99,21428590
2023-08-14,189.94,190.7,188.64,190.66,20354930
2023-08-15,189.52,189.64,188.035,188.14,25491280
2023-08-16,187.99,189.06,185.81,185.84,27018360
2023-08-17,186.34,186.74,183.63,183.65,26715090
2023-08-18,182.21,185.25,181.94,184.65,33375220
2023-08-21,184.7,185.275,183.0704,184.38,22678100
2023-08-22,185.04,185.545,183.22,183.83,21335820
2023-08-23,184,186.11,183.425,185.79,21231070
2023-08-24,185.25,186.335,183.2,183.22,26582350
2023-08-25,184.06,185,181.61,184,29340440
2023-08-28,184.84,186.75,184.82,185.64,23002020
2023-08-29,185.54,188.365,184.57,188.23,22986020
2023-08-30,187.73,189.61,187.33,188.94,19869940
2023-08-31,189.2,190.255,188.53,188.61,17953390
2023-09-01,190.07,191.86,189.85,190.85,25094640
2023-09-05,189.65,189.9,186.77,186.83,27160090
2023-09-06,187.06,188.09,185.09,186.13,26406220
2023-09-07,185.14,185.38,183.59,184.33,23894850
2023-09-08,184.56,184.83,183.45,183.92,19413290
2023-09-11,185.26,185.72,184.2,184.36,17424650
2023-09-12,184.04,185.335,183.74,184.18,16826280
2023-09-13,184.5,184.88,182.39,182.97,24415720
2023-09-14,184.53,186.07,184.24,185.55,27952530
2023-09-15,184.79,185.07,182.79,183.61,39695480
2023-09-18,183.7,183.76,182.37,182.39,19287850
2023-09-19,182.49,183.3,181.07,181.68,24085940
2023-09-20,182.4,183.509,179.82,179.86,27642930
2023-09-21,178.5,178.755,177.07,177.07,31625620
2023-09-22,177.56,178.37,176.56,176.67,23171080
2023-09-25,175.69,177.8599,175.54,177.46,22416150
2023-09-26,175.5,177.02,174.29,174.36,30476040
2023-09-27,175.45,176.93,174.4619,175.99,37292970
2023-09-28,176.09,178.57,175.97,177.58,31372440
2023-09-29,178.97,179.16,176.15,176.74,36689030
2023-10-02,176.33,176.73,173.15,174.07,42139310
2023-10-03,172.95,173.5,170.37,171.14,42733590
2023-10-04,171.01,171.61,169.09,171.22,42491890
2023-10-05,170.8,171.9,169.94,171.35,33273470
2023-10-06,170.37,173.89,169.51,173,42160890
2023-10-09,171.84,174.545,171.77,174,26658370
2023-10-10,174.31,177.04,174.28,175.97,31584990
2023-10-11,176.12,177.23,174.375,175.67,27427200
2023-10-12,175.88,175.88,170.79,171.7,38693780
