date,open,high,low,close,volume
2023-07-30,7.845,7.862,7.371,7.555,1028780.02
2023-07-31,7.553,7.736,7.434,7.55,1328355.77
2023-08-01,7.549,7.644,7.31,7.637,1581990.46
2023-08-02,7.642,7.717,7.328,7.345,1338650.54
2023-08-03,7.343,7.405,7.07,7.122,1236198.96
2023-08-04,7.119,7.26,7.004,7.133,938999.45
2023-08-05,7.133,7.237,7.087,7.223,516054.11
2023-08-06,7.222,7.264,7.067,7.092,499365.33
2023-08-07,7.091,7.39,6.936,7.32,1254999.47
2023-08-08,7.318,7.547,7.282,7.462,1929905.01
2023-08-09,7.465,7.911,7.379,7.674,1939521.31
2023-08-10,7.673,7.732,7.552,7.611,1053334.79
2023-08-11,7.612,7.635,7.401,7.483,615124.86
2023-08-12,7.482,7.537,7.382,7.441,516089.63
2023-08-13,7.44,7.553,7.31,7.368,670913.08
2023-08-14,7.362,7.621,7.304,7.407,1362184.24
2023-08-15,7.406,7.426,6.85,7.034,1583217.28
2023-08-16,7.033,7.064,6.595,6.756,1481269.36
2023-08-17,6.758,6.86,5.93,6.197,2659383.51
2023-08-18,6.199,6.287,6.064,6.173,1652682.79
2023-08-19,6.17,6.259,6.113,6.178,1384149.69
2023-08-20,6.178,6.234,6.115,6.221,434409.84
2023-08-21,6.222,6.254,6.01,6.175,1112076
2023-08-22,6.175,6.254,5.876,6.113,1237217.14
2023-08-23,6.115,6.431,6.102,6.349,1553704.52
2023-08-24,6.348,6.368,5.987,6.084,906210.82
2023-08-25,6.083,6.083,5.911,6.013,1206743.02
2023-08-26,6.012,6.04,5.955,6.003,405661.7
2023-08-27,6.002,6.045,5.952,6.029,454880.04
2023-08-28,6.02,6.045,5.85,5.975,827520.58
2023-08-29,5.975,6.317,5.841,6.193,1795144.19
2023-08-30,6.194,6.199,5.886,5.924,1207328.95
2023-08-31,5.924,6.063,5.74,5.878,1360370.25
2023-09-01,5.878,6.03,5.811,5.939,1698785.07
2023-09-02,5.939,5.997,5.889,5.972,508124.59
2023-09-03,5.973,6.063,5.948,6.03,573914.52
2023-09-04,6.03,6.161,5.945,6.014,848202.29
2023-09-05,6.011,6.15,5.905,6.137,860988.79
2023-09-06,6.137,6.349,6.093,6.298,1486822.01
2023-09-07,6.299,6.469,6.194,6.387,1504403.67
2023-09-08,6.384,6.402,6.144,6.281,819714.94
2023-09-09,6.28,6.292,6.157,6.165,392070.8
2023-09-10,6.164,6.164,5.955,6.014,1003867.48
2023-09-11,6.013,6.034,5.737,5.828,1493662.04
2023-09-12,5.828,6.074,5.809,5.96,1104548.26
2023-09-13,5.96,6.091,5.925,6.022,1360718.09
2023-09-14,6.025,6.215,6.006,6.154,871180.36
2023-09-15,6.155,6.381,6.1,6.367,979272.25
2023-09-16,6.367,6.421,6.187,6.282,1079293.36
2023-09-17,6.281,6.281,6.054,6.152,570060.59
2023-09-18,6.151,6.84,6.102,6.568,3415474.51
2023-09-19,6.567,6.969,6.5,6.846,2390326.81
2023-09-20,6.851,7.051,6.743,6.904,2044187.95
2023-09-21,6.907,6.949,6.598,6.664,1761763.02
2023-09-22,6.663,6.975,6.599,6.957,1885968.24
2023-09-23,6.958,7.231,6.92,7.191,2415390.18
2023-09-24,7.189,7.25,6.956,6.972,1702315.57
2023-09-25,6.971,7.51,6.909,7.496,3190986.76
2023-09-26,7.497,7.57,7.246,7.352,2355732.87
2023-09-27,7.352,7.89,7.266,7.638,4100037.73
2023-09-28,7.638,8.04,7.569,7.81,3391071.41
2023-09-29,7.81,8.079,7.681,7.95,2160674.8
2023-09-30,7.951,8.264,7.95,8.19,2410474.11
2023-10-01,8.191,8.259,7.781,8.048,2618806.72
2023-10-02,8.05,8.104,7.353,7.464,2878541.4
2023-10-03,7.478,7.74,7.368,7.409,2004295
2023-10-04,7.406,7.784,7.197,7.671,2305962.74
2023-10-05,7.667,7.791,7.452,7.465,1112732.92
2023-10-06,7.471,7.758,7.435,7.646,1099339.65
2023-10-07,7.645,7.684,7.48,7.531,526734.21
2023-10-08,7.53,7.944,7.507,7.68,1096659.91
2023-10-09,7.68,7.702,7.138,7.279,2006466.88
2023-10-10,7.277,7.392,7.177,7.263,1201418.4
