date,open,high,low,close,volume
2023-07-25,295.19,298.3,291.86,294.47,19585580
2023-07-26,301.19,301.77,291.9,298.57,47256930
2023-07-27,325.12,325.35,309.84,311.71,64229170
2023-07-28,316.875,326.2,314.2481,325.48,39220270
2023-07-31,323.69,325.6599,317.59,318.6,25799600
2023-08-01,317.535,324.14,314.66,322.71,22889870
2023-08-02,318,318.39,310.65,314.31,20461090
2023-08-03,309.93,315.9499,309.93,313.19,15215420
2023-08-04,314.96,318.41,310.2,310.73,17612760
2023-08-07,313.23,317.07,310.46,316.56,16236500
2023-08-08,314.4,317.89,310.11,312.64,15183530
2023-08-09,312.88,313.63,302.85,305.21,19955780
2023-08-10,307.94,312.339,303.87,305.74,14358900
2023-08-11,302.57,304.72,300.36,301.64,14046250
2023-08-14,300.98,306.21,298.25,306.19,15641920
2023-08-15,306.14,307.23,300.03,301.95,11623610
2023-08-16,300.195,301.08,294.28,294.29,18547740
2023-08-17,293.05,296.05,284.95,285.09,23950090
2023-08-18,279.03,285.69,274.38,283.25,35347930
2023-08-21,283.45,290.5,281.85,289.9,20181480
2023-08-22,292.55,292.9,286.75,287.6,12999910
2023-08-23,288.5,297.4,287.67,294.24,18287000
2023-08-24,298.5,299.46,286.64,286.75,18360880
2023-08-25,286.13,288.386,276.03,285.5,23701440
2023-08-28,288,291.45,285.8,290.26,14239290
2023-08-29,288.585,299.15,288.18,297.99,20844520
2023-08-30,297.17,298.29,293.43,295.1,17717020
2023-08-31,295.8,301.1,295.66,295.89,17229870
2023-09-01,299.37,301.74,294.47,296.38,12842260
2023-09-05,297.02,301.39,295.51,300.15,14955990
2023-09-06,301.71,303.3,295.66,299.17,15418090
2023-09-07,298,307.0499,292.22,298.67,33748740
2023-09-08,299.22,305.25,296.78,297.89,17572200
2023-09-11,301.41,309.04,301.28,307.56,19489330
2023-09-12,306.33,308.6599,300.23,301.66,13480400
2023-09-13,302.36,307.18,301.3206,305.06,13210920
2023-09-14,306.74,312.87,305.03,311.72,19343100
2023-09-15,311.61,312,298.75,300.31,28131140
2023-09-18,298.19,303.6,297.8,302.55,14234160
2023-09-19,302.48,306.17,299.81,305.07,15931620
2023-09-20,305.05,308.06,299.43,299.67,19379520
2023-09-21,295.7,300.2566,293.27,295.73,21319580
2023-09-22,299.3,305.38,298.27,299.08,25369590
2023-09-25,295.64,300.95,293.7,300.83,18987010
2023-09-26,297.66,300.2999,296.0101,298.96,19417160
2023-09-27,300.45,301.2997,286.79,297.74,36429840
2023-09-28,298.935,306.3299,296.7,303.96,22167080
2023-09-29,307.38,310.64,299.36,300.21,25373700
2023-10-02,302.74,307.18,301.63,306.82,16265570
2023-10-03,304.26,306.77,299.64,300.94,17362250
2023-10-04,298.725,306.9,298.5,305.58,16880480
2023-10-05,304.625,306.208,299.5,304.79,19129960
2023-10-06,301.44,316.31,300.9148,315.43,21803860
2023-10-09,312.5,320.33,311.82,318.36,22503660
2023-10-10,319.12,324.66,318.16,321.84,19037970
2023-10-11,323.005,328.835,322.95,327.82,22036300
2023-10-12,328,330.54,322.69,324.16,20530520
2023-10-13,323.53,325.0502,312.37,314.69,21360790
2023-10-16,318.64,321.82,315.52,321.15,16536110
2023-10-17,318.18,324.4,317.3,324,16387800
2023-10-18,321.39,325.94,315.56,316.97,16851000
2023-10-19,319.875,321.89,311.7504,312.81,18709160
2023-10-20,314.14,315.3,306.47,308.65,22312280
2023-10-23,309.5,317.36,307.26,314.01,17796790
2023-10-24,316.78,318.35,310.63,312.55,19525490
2023-10-25,310,310.88,298.84,299.53,42192470
2023-10-26,295,295,279.403,288.35,66684140
2023-10-27,294.48,299.31,292.97,296.73,29596260
2023-10-30,299.09,309.3967,299.05,302.66,28435050
2023-10-31,303.31,303.68,296.86,301.27,19434170
2023-11-01,301.85,312.74,301.85,311.85,20434580
2023-11-02,317.3,318.82,308.33,310.87,21631820
2023-11-03,312.55,315.55,311.0167,314.6,16764320
2023-11-06,315.98,318.33,314.45,315.8,12887700
2023-11-07,317.06,321,315.12,318.82,14055610
2023-11-08,318.14,321.33,314.88,319.78,13609700
2023-11-09,319.418,324.1799,318.8,320.55,16103070
2023-11-10,319.94,329.1,319.46,328.77,19116920
2023-11-13,326.2,332.33,325.7,329.19,16908950
2023-11-14,334.54,338.1,333.33,336.31,17179400
2023-11-15,337.93,338.4,330.02,332.71,14531180
2023-11-16,329.37,334.58,326.38,334.19,18932570
2023-11-17,330.26,335.5,329.35,335.04,14519210
2023-11-20,334.89,341.87,334.19,339.97,16976130
2023-11-21,338.33,339.9015,335.9,336.98,12027860
2023-11-22,339.21,342.92,338.58,341.49,10715180
2023-11-24,340.13,341.8556,336.77,338.23,5467488
2023-11-27,336.18,339.9,334.2,334.7,15684450
2023-11-28,333.4,339.375,333.4,338.99,12637250
2023-11-29,339.69,339.9,330.78,332.2,16024500
2023-11-30,331.89,333.5,322.4037,327.15,23146390
2023-12-01,325.48,326.86,320.76,324.82,15276380
2023-12-04,317.29,320.86,313.66,320.02,19037080
2023-12-05,318.98,321.88,315.39,318.29,16952130
2023-12-06,321.93,322.25,317.04,317.45,11294340
2023-12-07,317.77,328.24,317.77,326.59,15905080
2023-12-08,323.09,333.17,323,332.75,14087350
2023-12-11,329.4,329.89,319.995,325.28,25802460
2023-12-12,324.6,334.47,324.56,334.22,18485460
2023-12-13,333.93,338.37,332.64,334.74,16353320
2023-12-14,333.85,334.7,328.6371,333.17,19607340
2023-12-15,331.99,338.66,331.22,334.92,31776850
2023-12-18,337.48,347.56,337.02,344.62,18993850
2023-12-19,345.58,353.6,345.12,350.36,17729360
2023-12-20,348.65,354.96,347.79,349.28,16369850
2023-12-21,352.98,356.405,349.21,354.09,15289560
2023-12-22,355.58,357.1999,351.22,353.39,11772780
2023-12-26,354.99,356.98,353.45,354.83,9898614
2023-12-27,356.07,359,355.31,357.83,13207930
2023-12-28,359.7,361.9,357.81,358.32,11798810
2023-12-29,358.99,360,351.82,353.96,14987090
2024-01-02,351.32,353.16,340.01,346.29,19042150
2024-01-03,344.98,347.95,343.175,344.47,15451130
2024-01-04,344.5,348.1499,343.3987,347.12,12099900
2024-01-05,346.99,353.5,346.2601,351.95,13750910
2024-01-08,354.7,358.98,352.05,358.66,13890220
2024-01-09,356.4,360.64,355.36,357.43,13463870
2024-01-10,360.17,372.94,359.08,370.47,22117210
2024-01-11,372.13,372.78,362.93,369.67,17205390
