date,open,high,low,close,volume
2023-07-31,1.392,1.417,1.351,1.369,307186.145
2023-08-01,1.369,1.416,1.323,1.414,250947.969
2023-08-02,1.413,1.423,1.381,1.396,551885.373
2023-08-03,1.395,1.417,1.35,1.358,151860.888
2023-08-04,1.36,1.365,1.326,1.338,165247.107
2023-08-05,1.338,1.358,1.329,1.353,104646.236
2023-08-06,1.35,1.369,1.332,1.337,356833.085
2023-08-07,1.337,1.361,1.301,1.338,148053.329
2023-08-08,1.336,1.375,1.329,1.359,196438.137
2023-08-09,1.36,1.371,1.333,1.349,213552.262
2023-08-10,1.349,1.352,1.326,1.334,205226.069
2023-08-11,1.334,1.339,1.319,1.331,96053.163
2023-08-12,1.331,1.357,1.329,1.343,73729.616
2023-08-13,1.342,1.355,1.333,1.341,135164.357
2023-08-14,1.337,1.353,1.327,1.334,94767.502
2023-08-15,1.334,1.341,1.221,1.28,290126.146
2023-08-16,1.278,1.29,1.177,1.208,1200066.897
2023-08-17,1.209,1.226,1.01,1.119,924728.996
2023-08-18,1.12,1.154,1.111,1.143,535797.72
2023-08-19,1.14,1.189,1.129,1.165,163117.399
2023-08-20,1.166,1.176,1.149,1.168,126926.72
2023-08-21,1.168,1.174,1.111,1.132,342026.722
2023-08-22,1.13,1.17,1.093,1.17,195370.553
2023-08-23,1.169,1.231,1.144,1.209,162754.819
2023-08-24,1.211,1.217,1.17,1.195,168357.506
2023-08-25,1.193,1.213,1.158,1.189,142391.95
2023-08-26,1.19,1.206,1.174,1.191,314398.554
2023-08-27,1.191,1.228,1.17,1.177,163176.265
2023-08-28,1.176,1.2,1.147,1.193,204343.849
2023-08-29,1.193,1.256,1.161,1.227,162447.417
2023-08-30,1.227,1.231,1.187,1.202,117565.235
2023-08-31,1.202,1.205,1.132,1.152,148144.2
2023-09-01,1.152,1.163,1.115,1.126,127445.669
2023-09-02,1.126,1.133,1.106,1.121,130055.002
2023-09-03,1.119,1.134,1.114,1.126,126495.947
2023-09-04,1.127,1.149,1.108,1.127,188540.002
2023-09-05,1.127,1.151,1.111,1.127,151903.049
2023-09-06,1.128,1.144,1.106,1.13,168033.229
2023-09-07,1.13,1.155,1.123,1.152,239774.808
2023-09-08,1.153,1.164,1.13,1.15,135640.798
2023-09-09,1.151,1.187,1.148,1.165,126705.631
2023-09-10,1.164,1.166,1.104,1.152,152862.059
2023-09-11,1.151,1.155,1.084,1.101,167563.495
2023-09-12,1.101,1.13,1.066,1.07,189514.311
2023-09-13,1.07,1.104,1.067,1.089,117327.508
2023-09-14,1.09,1.118,1.084,1.109,112897.438
2023-09-15,1.108,1.133,1.098,1.129,193537.414
2023-09-16,1.132,1.142,1.116,1.127,108918.019
2023-09-17,1.128,1.128,1.076,1.094,72232.866
2023-09-18,1.095,1.128,1.08,1.099,210499.048
2023-09-19,1.099,1.132,1.09,1.123,98005.537
2023-09-20,1.123,1.131,1.098,1.121,100521.688
2023-09-21,1.12,1.153,1.101,1.125,216177.662
2023-09-22,1.126,1.134,1.102,1.122,254287.547
2023-09-23,1.124,1.126,1.107,1.116,79040.348
2023-09-24,1.117,1.117,1.089,1.095,216763.521
2023-09-25,1.095,1.116,1.085,1.101,76818.015
2023-09-26,1.101,1.107,1.073,1.081,83297.093
2023-09-27,1.081,1.098,1.058,1.077,86423.727
2023-09-28,1.077,1.11,1.073,1.108,89906.037
2023-09-29,1.11,1.128,1.095,1.121,138004.176
2023-09-30,1.121,1.15,1.12,1.135,412442.948
2023-10-01,1.135,1.171,1.128,1.16,215426.09
2023-10-02,1.164,1.171,1.105,1.114,301095.603
2023-10-03,1.114,1.123,1.093,1.098,665065.756
2023-10-04,1.098,1.105,1.06,1.097,300648.268
2023-10-05,1.097,1.111,1.072,1.073,182563.238
2023-10-06,1.074,1.102,1.073,1.093,147301.287
2023-10-07,1.095,1.109,1.083,1.092,81097.794
2023-10-08,1.091,1.102,1.077,1.094,61114.44
2023-10-09,1.094,1.097,1.012,1.039,261991.764
2023-10-10,1.039,1.057,1.032,1.043,95230.04
2023-10-11,1.044,1.045,1.008,1.027,348544.486
2023-10-12,1.026,1.027,0.998,1.011,207940.179
2023-10-13,1.012,1.022,0.985,1.007,683333.582
2023-10-14,1.008,1.017,1.004,1.012,88462.801
2023-10-15,1.01,1.036,1.008,1.025,101465.914
2023-10-16,1.028,1.069,1.021,1.033,264132.035
2023-10-17,1.034,1.04,0.997,1.01,232701.577
2023-10-18,1.008,1.017,0.987,0.997,142103.368
2023-10-19,0.999,1.002,0.97,0.986,628032.242
2023-10-20,0.986,1.02,0.982,1.005,998223.251
2023-10-21,1.004,1.061,0.998,1.039,691578.048
2023-10-22,1.04,1.058,1.02,1.058,328234.484
2023-10-23,1.056,1.112,1.045,1.1,552471.395
2023-10-24,1.1,1.169,1.087,1.136,1086541.454
2023-10-25,1.138,1.165,1.108,1.143,412389.862
2023-10-26,1.144,1.217,1.136,1.191,740065.283
2023-10-27,1.193,1.257,1.158,1.221,586083.123
2023-10-28,1.22,1.264,1.209,1.22,351046.293
2023-10-29,1.22,1.277,1.197,1.276,654440.703
2023-10-30,1.278,1.324,1.248,1.323,583085.079
2023-10-31,1.322,1.337,1.248,1.333,604356.265
2023-11-01,1.333,1.58,1.323,1.526,2715595.415
2023-11-02,1.529,1.567,1.449,1.524,1540010.769
2023-11-03,1.524,1.56,1.45,1.475,654280.473
2023-11-04,1.474,1.535,1.457,1.513,684531.848
2023-11-05,1.512,1.677,1.498,1.637,1079156.329
2023-11-06,1.638,1.677,1.557,1.583,1185822.129
2023-11-07,1.583,1.583,1.408,1.448,1392938.778
2023-11-08,1.443,1.492,1.417,1.466,1437052.376
2023-11-09,1.468,1.569,1.263,1.437,3837012.155
2023-11-10,1.436,1.586,1.4,1.554,1938301.941
2023-11-11,1.554,1.635,1.47,1.597,994911.056
2023-11-12,1.601,1.8,1.523,1.703,977086.631
2023-11-13,1.706,1.748,1.587,1.587,1467895.975
2023-11-14,1.588,1.626,1.45,1.536,1246392.83
2023-11-15,1.535,1.743,1.535,1.699,1662870.418
2023-11-16,1.702,1.859,1.651,1.724,2370798.515
2023-11-17,1.721,1.95,1.713,1.872,2209265.788
2023-11-18,1.872,1.895,1.679,1.771,1219746.757
2023-11-19,1.766,2.055,1.714,1.99,1911487.344
2023-11-20,1.987,2.187,1.965,1.997,2092593.434
2023-11-21,1.998,2.05,1.733,1.753,1997640.151
2023-11-22,1.75,1.871,1.745,1.826,1013272.302
2023-11-23,1.826,1.854,1.767,1.806,689905.703
2023-11-24,1.806,1.923,1.774,1.836,878096.355
2023-11-25,1.835,1.913,1.82,1.887,654733.68
2023-11-26,1.889,1.92,1.787,1.821,1330785.396
2023-11-27,1.822,1.829,1.731,1.78,738691.821
2023-11-28,1.779,1.826,1.728,1.819,587556.996
2023-11-29,1.821,1.893,1.79,1.798,762573.462
2023-11-30,1.798,1.892,1.786,1.879,1243394.019
2023-12-01,1.881,1.909,1.855,1.892,739879.355
2023-12-02,1.892,2.035,1.891,2.008,899180.726
2023-12-03,2.011,2.026,1.955,1.982,1057150.929
2023-12-04,1.98,2.202,1.976,2.148,1383222.329
2023-12-05,2.149,2.324,2.132,2.255,1228027.501
2023-12-06,2.256,2.397,2.24,2.287,708488.756
2023-12-07,2.287,2.372,2.212,2.266,601046.883
2023-12-08,2.266,2.395,2.189,2.377,751890.21
2023-12-09,2.38,2.613,2.38,2.42,924733.251
2023-12-10,2.426,2.598,2.38,2.519,720748.356
2023-12-11,2.525,2.542,2.155,2.239,1705388.24
2023-12-12,2.236,2.465,2.224,2.301,2302025.239
2023-12-13,2.305,2.343,2.101,2.326,1297237.699
2023-12-14,2.333,2.357,2.144,2.321,1266378.81
2023-12-15,2.321,2.325,2.181,2.188,1405465.182
2023-12-16,2.198,2.5,2.161,2.387,1169332.735
2023-12-17,2.39,2.48,2.26,2.265,949884.482
2023-12-18,2.269,2.314,2.067,2.288,994240.374
2023-12-19,2.288,2.494,2.261,2.432,1544058.269
2023-12-20,2.43,3.2,2.422,2.846,5971570.247
2023-12-21,2.849,3.628,2.776,3.545,5657484.201
2023-12-22,3.545,3.83,3.272,3.36,3980814.381
2023-12-23,3.363,3.985,3.203,3.9,3404440.563
2023-12-24,3.9,4.165,3.606,3.797,3478982.827
2023-12-25,3.799,4.384,3.724,4.25,2674912.554
2023-12-26,4.25,4.62,3.943,4.307,3344326.548
2023-12-27,4.302,4.431,3.994,4.085,2110532.743
2023-12-28,4.086,4.316,3.729,3.76,2691337.371
2023-12-29,3.762,3.978,3.523,3.622,1568631.781
2023-12-30,3.623,3.778,3.542,3.672,1747387.756
2023-12-31,3.672,3.911,3.525,3.646,2335937.224
2024-01-01,3.65,3.836,3.56,3.797,1505411.227
2024-01-02,3.797,4.33,3.741,3.924,2629426.306
2024-01-03,3.931,4.096,2.9,3.771,3615197.765
2024-01-04,3.775,4.296,3.573,3.91,2179976.328
2024-01-05,3.913,3.955,3.454,3.549,2787647.999
2024-01-06,3.549,3.707,3.168,3.481,2282058.885
2024-01-07,3.477,3.54,3.153,3.216,804360.35
