date,open,high,low,close,volume
2023-08-14,365.43,370.47,364.7,370.35,42130800
2023-08-15,369.36,370.169,365.74,366.42,45539890
2023-08-16,365.87,367.43,362.44,362.54,53190530
2023-08-17,363.96,364.31,358.16,358.58,62604340
2023-08-18,355.26,359.41,354.71,358.13,61191390
2023-08-21,359.62,364.59,359.15,363.9,50696520
2023-08-22,366.55,366.56,362.68,363.38,44613510
2023-08-23,364.58,370.22,364.36,369.11,51770600
2023-08-24,372.64,372.74,361.01,361.22,66842490
2023-08-25,362.07,365.74,358.58,364.02,69960470
2023-08-28,366.99,367.71,364.25,366.76,40910020
2023-08-29,366.56,375.13,366.231,374.77,58492370
2023-08-30,374.88,377.4467,373.86,376.86,41731510
2023-08-31,376.94,379.719,376.87,377.99,35730700
2023-09-01,380.4,380.83,376.0801,377.59,39801180
2023-09-05,376.77,379.3093,375.83,378.07,32344220
2023-09-06,377.28,377.63,372.7,374.74,42998740
2023-09-07,370.21,372.85,369.15,372.06,52060720
2023-09-08,372.01,374.85,371.6,372.58,35847360
2023-09-11,375.66,377.49,373.66,376.97,39936630
2023-09-12,375.27,376.9517,372.5,372.79,41391020
2023-09-13,373.03,375.84,371.88,374.21,46300680
2023-09-14,375.99,378.27,373.89,377.27,48039390
2023-09-15,375.91,376.32,369.86,370.81,69811210
2023-09-18,369.32,371.79,369.03,370.66,36903550
2023-09-19,369.32,370.6826,366.8,369.87,37621730
2023-09-20,370.95,371.31,364.46,364.54,45514190
2023-09-21,360.8,361.6,357.69,357.86,69734850
2023-09-22,359.63,361.8,357.59,357.91,51589690
2023-09-25,356.93,359.7,355.93,359.61,39167990
2023-09-26,356.99,357.54,353.2101,354.21,53657750
2023-09-27,355.38,356.98,351.36,355.04,56065970
2023-09-28,354.11,360.17,353.24,358.01,56453310
2023-09-29,361.54,362.95,357.02,358.27,64829620
2023-10-02,358.54,362.68,357.92,361.26,51625050
2023-10-03,358.78,361.01,353.275,354.92,60478490
2023-10-04,355.77,360.61,355.3,359.75,54786690
2023-10-05,359.74,360.15,355.14,358.69,45897390
2023-10-06,355.65,365.91,354.85,364.7,75049120
2023-10-09,362.3,367.11,360.78,366.56,45304770
2023-10-10,366.9,371.28,366.39,368.59,46968810
2023-10-11,369.94,371.412,368.19,371.22,38215090
2023-10-12,371.73,373.74,367.5,369.93,49587940
2023-10-13,370.57,371.16,363.86,365.28,52519880
2023-10-16,366.62,370.48,366.47,369.41,44201060
2023-10-17,365.81,369.92,363.66,368.2,50999100
2023-10-18,365.67,367.91,362.02,363.37,54280490
2023-10-19,364.81,366.02,359.16,359.97,72274240
2023-10-20,359.46,360.04,354.37,354.6,72559720
2023-10-23,353.26,359.26,351.1199,355.67,60665190
2023-10-24,357.51,359.91,355.79,359.13,47082080
2023-10-25,356.7,356.88,349.75,350.34,71190540
2023-10-26,349.12,350.07,342.35,343.66,78621430
2023-10-27,346.43,348.84,344.08,345.31,63476710
2023-10-30,347.83,350.54,346.45,349.2,55298540
2023-10-31,349.23,351.25,346.62,350.87,47671910
2023-11-01,351.72,357.5298,351.62,356.96,58992670
2023-11-02,361.54,363.68,360.3,363.44,58162440
2023-11-03,364.75,369.02,364.52,367.71,53280460
2023-11-06,368.49,369.78,366.91,369.21,38848740
2023-11-07,370.27,373.58,369.045,372.7,50777400
2023-11-08,373.08,373.79,370.62,372.94,35663370
2023-11-09,373.64,374.8,369.57,370.07,53859420
2023-11-10,371.82,378.54,371.28,378.39,58368440
2023-11-13,376.79,378.28,375.24,377.21,40733510
2023-11-14,383.71,386.26,383.18,385.33,67792630
2023-11-15,387.25,387.75,384.235,385.62,54141390
2023-11-16,384.84,386.19,383.56,385.95,45343540
2023-11-17,385.21,387.07,384.29,386.04,46622750
2023-11-20,386.05,391.41,386.05,390.74,44536670
2023-11-21,389.01,389.23,386.7,388.47,43336990
2023-11-22,390.57,393.07,389.04,390.06,44178570
2023-11-24,389.65,390.25,388.5,389.51,15718830
2023-11-27,389.01,391.1499,388.28,389.17,34139660
2023-11-28,388.41,390.78,388.05,390.19,35491120
2023-11-29,392.69,394.14,389.46,389.81,38811750
2023-11-30,390.08,390.55,385.82,388.83,52834380
2023-12-01,387.75,390.54,386.0726,389.94,40490070
2023-12-04,386.09,386.595,382.66,386.32,51186940
2023-12-05,384.39,388.5,384.21,387.29,42932960
2023-12-06,390.27,390.37,384.7,385.05,41994070
2023-12-07,388.07,391.27,386.96,390.43,49593550
2023-12-08,388.67,392.62,388.4801,392.17,46687530
2023-12-11,391.74,395.79,391.53,395.52,41198020
2023-12-12,395.56,398.79,394.41,398.67,39221150
2023-12-13,399.62,404.36,398.8399,403.74,55408130
2023-12-14,404.98,406.3,400.34,403.39,55447810
2023-12-15,404.18,406.5399,403.57,405.34,62896650
2023-12-18,404.93,407.99,404.6,407.08,46609990
2023-12-19,407.54,409.28,407.345,409.16,35711860
2023-12-20,408.35,410.4699,402.9,403.08,54042440
2023-12-21,407.06,408.14,404.47,407.77,45568910
2023-12-22,409,409.97,406.4787,408.38,34314000
2023-12-26,409.25,411.56,409.15,410.88,22722550
2023-12-27,410.95,411.7875,410.08,411.5,31980480
2023-12-28,412.67,412.92,410.94,411.3,27029150
2023-12-29,411.28,411.64,407.58,409.52,42662120
2024-01-02,405.84,406.09,400.24,402.59,58026950
2024-01-03,399.93,401,397.89,398.33,47002800
2024-01-04,396.44,399.59,396.06,396.28,39432800
2024-01-05,396.45,399.56,395.34,396.75,44922810
2024-01-08,397.99,405.24,397.8399,404.95,42473800
2024-01-09,401.91,406.69,401.71,405.75,39132860
2024-01-10,406.07,409.515,405.17,408.5,33962770
2024-01-11,409.79,411.2004,404.242,409.35,54536200
2024-01-12,410.4,411.25,408.15,409.56,39594950
2024-01-16,408.31,411.12,406.83,409.52,43903030
2024-01-17,406.17,407.585,402.92,407.21,54385970
2024-01-18,410.52,413.575,409.1601,412.99,59562510
2024-01-19,415.22,421.34,414.625,421.18,70325120
2024-01-22,423.41,424.7275,421.12,421.73,44880640
2024-01-23,422.43,423.7,420.57,423.48,33003810
2024-01-24,427.44,429.85,425.33,425.83,46948020
2024-01-25,428.36,429.04,423.98,426.35,44367210
2024-01-26,424.44,426.21,423.15,423.81,37137030
2024-01-29,424.27,428.35,423.61,428.15,38694720
2024-01-30,427.1,427.68,424.38,425.3,36738960
2024-01-31,420.85,422.8699,416.79,416.97,64010650
2024-02-01,418.79,422.375,417.81,421.88,51008620
2024-02-02,423.8,430.24,422.79,429.01,59602440
2024-02-05,429.07,429.61,425,428.45,39889210
2024-02-06,429.61,430.22,425.22,427.59,35846130
2024-02-07,430.41,432.83,429.09,431.99,37712660
2024-02-08,432.11,433.56,431.42,432.79,29889890
2024-02-09,433.94,437.845,433.1401,437.05,36943910
2024-02-12,436.94,439.14,434.65,435.34,33203310
2024-02-13,427.28,431.27,425.3305,428.55,64491670
2024-02-14,431.26,433.65,428.8799,433.22,45092720
2024-02-15,433.92,434.98,431.33,434.51,38796140
2024-02-16,434.89,434.99,429.85,430.57,53716480
2024-02-20,428.55,430.08,423.5,427.32,53999450
2024-02-21,424.55,425.7,421.63,425.61,50179700
2024-02-22,434.49,439.12,433.71,438.07,53887750
2024-02-23,439.65,440.59,435.79,436.78,39853860
2024-02-26,437.6,438.6,436.355,436.55,33043240
2024-02-27,437.67,437.99,435.025,437.6,33713220
2024-02-28,435.43,436.67,434.3,435.27,32938820
2024-02-29,438.23,440.09,435.02,439,42495150
2024-03-01,439.9,446.58,439.84,445.61,43853030
2024-03-04,445.61,446.04,443.77,444.02,34325690
2024-03-05,440.94,440.95,433.65,436.05,57917140
2024-03-06,440.32,441.99,436.89,438.79,46234460
2024-03-07,442.42,446.72,440.86,445.45,44526670
2024-03-08,445.81,448.64,438.34,439.02,72095960
2024-03-11,437.51,438.66,435.44,437.39,45859990
2024-03-12,439.73,444.02,436.46,443.66,55300910
2024-03-13,442.65,442.67,439.12,440.25,37928690
2024-03-14,441.5,442.03,436.39,439.14,52195210
2024-03-15,436.07,438.8733,432.7417,433.92,73069820
2024-03-18,438.73,441.04,437.24,437.48,47323800
2024-03-19,435.45,438.98,433.33,438.57,43004110
2024-03-20,439.78,444.11,438.06,443.77,43653490
2024-03-21,448.88,449.34,445.67,445.87,39345650
2024-03-22,445.35,447.49,444.49,446.38,28253900
2024-03-25,443.55,446.26,442.54,444.76,27789150
2024-03-26,446.3,447.225,443.09,443.32,34142040
2024-03-27,446.44,446.54,441.93,444.83,41359240
2024-03-28,444.78,445.64,443.65,444.01,36839640
2024-04-01,444.97,447.53,443.02,444.95,38728950
2024-04-02,440.08,441.43,438.03,441.11,44259670
2024-04-03,438.96,444,438.95,442.1,39949750
2024-04-04,446.33,446.95,435.11,435.34,57267660
2024-04-05,436.78,443.17,435.96,440.47,54744630
2024-04-08,441.41,442.5,439.2,440.6,28144940
2024-04-09,442.96,443.24,437.44,442.23,39521570
2024-04-10,437,439.24,436.28,438.37,61502190
2024-04-11,440.26,446.33,437.96,445.37,45474550
2024-04-12,441.1,442.24,436.88,438.27,53665000
2024-04-15,442.06,442.15,430.21,431.06,63453620
2024-04-16,430.9,433.76,429.7,431.1,47618960
2024-04-17,433.1,433.12,424.9,425.84,56880540
2024-04-18,426.49,428.24,422.83,423.41,46549360
2024-04-19,422.22,422.75,413.07,414.65,75230990
2024-04-22,417.31,421.18,413.94,418.82,47807660
2024-04-23,420.77,426.28,418.8715,425.07,44384740
2024-04-24,428.2,429.73,424.2,426.51,48440310
2024-04-25,419.24,425.32,418.14,424.45,57392170
2024-04-26,427.62,432.55,426.92,431,41874910
2024-04-29,433.13,433.76,429.98,432.75,30022160
2024-04-30,431.15,432.56,424.51,424.59,43665930
2024-05-01,423.15,430.14,420.66,421.52,52251710
2024-05-02,425.3,427.81,420.63,426.9,36559010
2024-05-03,434.44,436.48,432.62,435.48,48515250
2024-05-06,437.3,440.34,436.52,440.25,30227200
2024-05-07,440.7,441.97,439.58,440.32,30996090
2024-05-08,437.67,441.48,437.55,440.06,24896720
2024-05-09,440.33,441.6,438.46,441.02,24580120
2024-05-10,442.54,444.31,440.499,442.06,27116570
2024-05-13,443.99,444.09,441.65,443.08,22994190
2024-05-14,442.65,446.465,442.46,445.93,34478320
2024-05-15,448.43,453.15,446.9,452.9,41464650
2024-05-16,452.71,454.69,451.81,451.98,34780410
2024-05-17,452.11,452.72,449.5399,451.76,35803720
2024-05-20,451.98,455.58,451.785,454.91,24474230
2024-05-21,453.04,455.99,452.84,455.8,23167720
2024-05-22,456.06,456.82,453.08,455.71,25120040
2024-05-23,460.55,460.58,451.8503,453.66,40899230
2024-05-24,455.29,459.23,453.5674,457.95,29669460
2024-05-28,459.18,459.74,456.69,459.68,26216820
2024-05-29,455.48,458.24,455.34,456.44,29739240
2024-05-30,455.5,455.64,450.21,451.55,30714120
2024-05-31,451.78,452.48,443.055,450.71,55941300
2024-06-03,454.57,455.58,447.9,453.13,32997470
2024-06-04,452.87,455.575,451.1311,454.37,23767440
2024-06-05,457.98,463.61,454.408,463.53,33817410
2024-06-06,464.22,464.54,462.19,463.37,21966820
2024-06-07,463,465.74,461.84,462.96,25829720
2024-06-10,461.82,465.19,461.53,464.83,20719770
2024-06-11,463.54,468.14,462.03,468.02,22053280
2024-06-12,471.99,476.5,471.29,474.15,34532590
2024-06-13,477.72,478.39,474.42,476.72,25859010
2024-06-14,476.52,479.26,476.05,479.19,23372620
2024-06-17,479.46,486.86,478.14,485.06,37054500
2024-06-18,485.01,485.9,483.43,485.21,24438570
2024-06-20,486.42,486.8387,479.62,481.47,33918680
2024-06-21,481.19,482.535,478.67,480.18,39432910
2024-06-24,478.18,479.93,473.82,473.96,37750970
2024-06-25,476.07,479.68,475.12,479.38,29250210
2024-06-26,478.55,480.92,478.13,480.37,22737110
2024-06-27,480.12,483.1,479.3,481.61,26222140
2024-06-28,482.41,487.2,478.46,479.11,34881580
2024-07-01,480.04,482.49,476.255,481.92,24898340
2024-07-02,480.41,487.04,480.28,486.98,26723560
2024-07-03,486.22,491.17,486.22,491.04,18064880
2024-07-05,491.89,496.6,491.59,496.16,28495940
2024-07-08,496.53,497.895,495.5,497.34,22109420
2024-07-09,498.87,500,496.24,497.77,25701250
2024-07-10,499.71,503.52,498.39,502.96,28046900
2024-07-11,503.07,503.28,490.725,491.93,49966590
2024-07-12,492.51,499.62,492.04,494.82,37109400
2024-07-15,496.61,501.01,494.09,496.15,31151390
2024-07-16,497.62,498.44,493.15,496.34,25950620
2024-07-17,488.28,488.7984,481.7,481.77,56268770
2024-07-18,485.53,485.71,476.27,479.49,49347360
2024-07-19,479.15,481.69,473.94,475.24,42042860
2024-07-22,481.16,483.35,477.7068,482.32,40300000
2024-07-23,481.41,484.43,480.14,480.62,23282450
2024-07-24,473.82,474.19,462.51,463.38,58818630
2024-07-25,463.72,467.94,455.63,458.27,59256760
2024-07-26,462.65,465.93,459.77,462.97,39992130
2024-07-29,465.71,467.91,461.615,463.9,28218480
2024-07-30,465.85,466.561,454.15,457.53,41317210
2024-07-31,467.87,472.79,466.41,471.07,44552130
2024-08-01,471.76,475.55,455.98,459.66,56653900
2024-08-02,450.89,453.57,444.47,448.75,66323240
2024-08-05,424.71,442.29,423.45,435.37,87483450
2024-08-06,437.23,447.07,434.56,439.53,63164430
2024-08-07,446.49,449,434.37,434.77,54929160
2024-08-08,441.06,448.99,437.15,448.07,47890070
2024-08-09,446.74,452.06,445.61,450.41,33573980
2024-08-12,451.39,454.37,448.5546,451.38,27795010
