date,open,high,low,close,volume
2023-07-16,27.48,28.6,26.5,27.43,1400913.493
2023-07-17,27.42,28.48,25.63,26.81,1923546.072
2023-07-18,26.81,27.1,24.75,25.56,1791192.085
2023-07-19,25.56,26.99,25.36,26.3,1514112.499
2023-07-20,26.3,27.35,25.03,25.37,1392153.477
2023-07-21,25.36,26.03,25.07,25.52,941287.53
2023-07-22,25.52,25.97,24.06,24.54,608476.4
2023-07-23,24.53,25.26,24.16,24.77,795036.539
2023-07-24,24.76,24.84,22.83,23.37,1182167.639
2023-07-25,23.37,23.59,22.74,23.28,831929.121
2023-07-26,23.28,25.67,23.17,25.18,1465001.299
2023-07-27,25.18,25.66,24.67,25.1,1064191.493
2023-07-28,25.09,25.54,24.48,24.81,869157.057
2023-07-29,24.82,25.39,24.74,25.17,486868.391
2023-07-30,25.16,25.21,23.53,24.25,752086.146
2023-07-31,24.25,24.81,23.51,23.73,821230.224
2023-08-01,23.72,24.06,22.8,24.05,936683.538
2023-08-02,24.05,24.27,22.86,23.14,904723.904
2023-08-03,23.13,23.38,22.5,22.62,652527.321
2023-08-04,22.63,23.55,22.5,22.77,838185.486
2023-08-05,22.77,22.91,22.21,22.63,376179.337
2023-08-06,22.63,23.44,22.56,23.17,406526.285
2023-08-07,23.16,23.63,22.3,23.11,477688.498
2023-08-08,23.1,24.78,23,24.21,1269927.015
2023-08-09,24.2,25.01,24.09,24.37,842230.301
2023-08-10,24.37,25.02,24.11,24.6,526466.521
2023-08-11,24.6,24.9,24.31,24.61,515295.549
2023-08-12,24.61,25.19,24.38,24.91,436246.653
2023-08-13,24.92,24.95,24.18,24.21,323388.634
2023-08-14,24.21,25.29,24.05,25.18,728090.949
2023-08-15,25.18,25.39,23.71,23.87,996267.76
2023-08-16,23.87,24.01,22.37,22.79,1134478.793
2023-08-17,22.79,23.41,20.5,21.68,1401187.606
2023-08-18,21.67,22.2,20.9,21.33,948328.881
2023-08-19,21.33,22.17,21.29,21.89,414682.428
2023-08-20,21.9,22.03,21.57,21.78,283792.488
2023-08-21,21.78,21.78,20.31,21.2,719009.996
2023-08-22,21.2,21.27,19.29,20.58,865632.008
2023-08-23,20.57,21.81,20.34,21.73,890731.577
2023-08-24,21.74,22.03,20.67,21.05,643508.617
2023-08-25,21.04,21.05,20.08,20.42,626071.78
2023-08-26,20.41,20.43,20.17,20.27,194852.137
2023-08-27,20.27,20.91,20.23,20.79,267602.451
2023-08-28,20.78,20.78,20.03,20.55,482266.362
2023-08-29,20.55,22.02,20.11,21.79,1341435.965
2023-08-30,21.79,21.99,20.6,20.82,704349.676
2023-08-31,20.81,21.07,19.42,19.73,1477783.025
2023-09-01,19.72,19.93,19.02,19.33,807746.788
2023-09-02,19.32,19.69,19.13,19.49,309302.132
2023-09-03,19.49,19.67,19.23,19.57,312031.568
2023-09-04,19.57,20.03,19.16,19.52,411141.739
2023-09-05,19.51,20.6,19.03,20.26,877221.105
2023-09-06,20.26,20.37,19.14,19.64,670393.35
2023-09-07,19.63,20,19.32,19.91,540304.612
2023-09-08,19.92,20.28,19.37,19.61,460389.639
2023-09-09,19.61,19.61,19.37,19.44,201743.804
2023-09-10,19.44,19.44,17.8,18.23,1225347.476
2023-09-11,18.23,18.46,17.34,17.72,1263148.599
2023-09-12,17.72,18.8,17.56,17.92,1123051.34
2023-09-13,17.92,18.57,17.69,18.4,1060226.746
2023-09-14,18.4,19.32,18.39,18.86,978025.881
2023-09-15,18.86,19.49,18.56,19.14,820155.637
2023-09-16,19.15,19.46,18.88,19.13,409682.883
2023-09-17,19.13,19.14,18.65,18.81,241358.324
2023-09-18,18.82,20.16,18.6,19.66,1137968.796
2023-09-19,19.64,20.4,19.58,20.04,650593.597
2023-09-20,20.03,20.5,19.81,20.29,843651.523
2023-09-21,20.3,20.3,19.27,19.46,1065796.88
2023-09-22,19.45,19.79,19.16,19.42,499825.247
2023-09-23,19.42,19.58,19.28,19.48,273614.035
2023-09-24,19.48,19.67,19.21,19.36,237377.083
2023-09-25,19.36,19.74,19.09,19.39,536868.777
2023-09-26,19.39,19.52,18.83,19.01,522180.351
2023-09-27,19.01,19.46,18.73,19.12,943861.842
2023-09-28,19.12,20.05,19.08,19.98,1170433.793
2023-09-29,19.98,20.5,19.86,20.27,565041.2
2023-09-30,20.28,21.8,20.08,21.36,847857.117
2023-10-01,21.36,24.49,21.13,23.87,1350196.382
2023-10-02,23.88,24.8,22.9,23.36,1679273.949
2023-10-03,23.39,24.76,23.22,23.62,1137984.041
2023-10-04,23.62,23.85,22.58,23.14,883545.838
2023-10-05,23.14,23.97,22.55,22.7,757622.529
2023-10-06,22.7,23.79,22.67,23.43,747467.234
2023-10-07,23.42,24.2,23.1,23.31,482011.028
2023-10-08,23.3,23.64,23.09,23.24,273249.75
2023-10-09,23.23,23.38,21.61,22.1,685047.892
2023-10-10,22.11,22.48,21.71,22.11,470735.057
2023-10-11,22.11,22.42,21.61,22.01,815386.376
2023-10-12,22.01,22.04,20.93,21.28,474036.407
2023-10-13,21.28,22.22,21.11,21.84,570363.14
2023-10-14,21.85,22.25,21.8,22,243456.115
2023-10-15,22,22.18,21.67,21.94,359412.866
2023-10-16,21.93,24.78,21.9,23.97,1699423.358
2023-10-17,23.97,24.57,23.46,23.95,1062243.881
2023-10-18,23.94,24.44,23.36,23.42,1007584.54
2023-10-19,23.41,25.79,23.13,24.94,1708510.464
2023-10-20,24.94,27.4,24.74,27.05,2445877.547
