date,open,high,low,close,volume
2023-08-04,450.72,452.895,446.27,446.81,100128900
2023-08-07,448.71,450.865,447.99,450.71,58357460
2023-08-08,448.08,450.6952,445.2705,448.75,71361320
2023-08-09,449.03,449.1999,444.96,445.75,78789580
2023-08-10,448.19,451.7,444.7,445.91,93005500
2023-08-11,443.97,446.7007,443.345,445.65,68690900
2023-08-14,444.7,448.11,444.38,448.11,47867440
2023-08-15,446.27,446.64,442.3,442.89,75707530
2023-08-16,442.46,444.18,439.53,439.64,80107210
2023-08-17,441.16,441.43,435.75,436.29,95711320
2023-08-18,433.37,437.57,433.01,436.5,98851960
2023-08-21,437.55,440.11,435.32,439.34,68718960
2023-08-22,441.18,441.18,437.57,438.15,65062860
2023-08-23,439.25,443.67,439.1,443.03,68441020
2023-08-24,444.69,445.22,436.855,436.89,88517270
2023-08-25,438.68,441.3,435,439.97,102325100
2023-08-28,442.24,443.4,439.9728,442.76,61595390
2023-08-29,442.65,449.45,442.46,449.16,83081920
2023-08-30,449.51,451.67,448.78,451.01,69053910
2023-08-31,451.65,452.83,450.16,450.35,66084560
2023-09-01,453.17,453.67,449.68,451.19,58944100
2023-09-05,450.73,451.06,449.17,449.24,55166210
2023-09-06,448.4,448.51,443.81,446.22,70758510
2023-09-07,443.11,445.55,442.75,444.85,70355430
2023-09-08,444.9,447.11,444.53,445.52,62068440
2023-09-11,448.24,448.77,446.4699,448.45,60180120
2023-09-12,446.95,448.53,445.39,445.99,67565420
2023-09-13,446.22,447.71,445.0793,446.51,60199270
2023-09-14,449.07,451.08,447.715,450.36,83430810
2023-09-15,447.14,447.48,442.92,443.37,111848900
2023-09-18,443.05,444.97,442.56,443.63,55752210
2023-09-19,442.68,443.29,439.94,442.71,66514650
2023-09-20,444.01,444.435,438.43,438.64,82562600
2023-09-21,435.7,435.97,431.23,431.39,104095800
2023-09-22,432.45,434.1,429.99,430.42,100829700
2023-09-25,429.17,432.27,428.72,432.23,70874530
2023-09-26,429.09,429.82,425.02,425.88,96168440
2023-09-27,427.09,427.67,422.29,426.05,104705800
2023-09-28,425.48,430.2499,424.87,428.52,92258310
2023-09-29,431.67,431.85,425.91,427.48,115111300
2023-10-02,426.62,428.6,424.46,427.31,83798600
2023-10-03,425.06,427.3729,420.18,421.59,103760600
2023-10-04,422.07,425.4299,420.56,424.66,87452970
2023-10-05,424.36,425.37,421.1701,424.5,70142740
2023-10-06,421.97,431.125,420.6,429.54,113273300
2023-10-09,427.58,432.88,427.0101,432.29,80374360
2023-10-10,432.94,437.22,432.53,434.54,78607270
2023-10-11,435.64,436.58,433.18,436.32,62451740
2023-10-12,436.95,437.335,431.23,433.66,81154230
2023-10-13,435.21,436.45,429.88,431.5,95201130
2023-10-16,433.82,437.14,433.57,436.04,75433190
2023-10-17,432.81,438.14,432.45,436.02,75324710
2023-10-18,434.19,435.18,429.09,430.21,93559800
2023-10-19,430.95,432.82,425.725,426.43,121323000
2023-10-20,425.98,426.54,421.08,421.19,123919900
2023-10-23,419.61,424.45,417.8,420.46,92035100
2023-10-24,422.65,424.82,420.74,423.63,78564240
2023-10-25,421.89,421.92,417.015,417.55,94223200
2023-10-26,416.45,417.325,411.6,412.55,115156800
2023-10-27,414.19,414.6,409.21,410.68,107367700
2023-10-30,413.56,416.68,412.22,415.59,86562680
2023-10-31,416.18,418.53,414.21,418.2,79665150
2023-11-01,419.2,423.5,418.6499,422.66,98068120
2023-11-02,426.58,430.915,426.56,430.76,94938910
2023-11-03,433.14,436.29,433.01,434.69,100167800
2023-11-06,435.47,436.1498,433.68,435.69,67831660
2023-11-07,435.69,437.585,434.51,436.93,64256110
2023-11-08,437.55,438.09,434.87,437.25,61746030
2023-11-09,438.43,438.47,433.4,433.84,83174420
2023-11-10,435.98,440.93,433.8335,440.61,89558050
2023-11-13,439.23,441.33,438.42,440.19,52236070
2023-11-14,446.32,450.06,446.09,448.73,97176940
2023-11-15,450.11,451.38,448.8,449.68,77327570
2023-11-16,449.22,450.56,448.12,450.23,66665800
2023-11-17,450.24,451.42,449.29,450.79,83193900
2023-11-20,450.53,455.125,450.52,454.26,70055630
2023-11-21,453.1842,454.131,451.9599,453.27,49244640
2023-11-22,454.98,456.38,453.8895,455.02,59446570
2023-11-24,455.07,455.5,454.73,455.3,29737380
2023-11-27,454.65,455.4901,454.0799,454.48,50505990
2023-11-28,454.08,456.27,453.5,454.93,62115010
2023-11-29,457.15,458.32,454.2,454.61,63145990
2023-11-30,455.48,456.76,453.34,456.4,79752700
2023-12-01,455.77,459.65,455.16,459.1,89183400
2023-12-04,455.6,459.1206,454.34,456.69,72430890
2023-12-05,455.26,457.59,454.87,456.6,69793470
2023-12-06,458.81,458.84,454.31,454.76,69124690
2023-12-07,456.91,458.9,456.29,458.23,66995450
2023-12-08,457.46,460.745,457.21,460.2,83194400
2023-12-11,459.69,462.17,459.47,461.99,65002250
2023-12-12,461.63,464.2,460.6,464.1,68327620
2023-12-13,464.49,470.7599,464.12,470.5,93277960
2023-12-14,472.5,473.73,469.25,472.01,119026000
2023-12-15,469.49,470.7,467.4263,469.33,141553700
2023-12-18,470.98,472.98,469.8929,471.97,70375290
2023-12-19,472.53,474.92,472.45,474.84,55761810
2023-12-20,473.96,475.895,467.82,468.26,102921000
2023-12-21,471.33,472.975,468.84,472.7,86667470
2023-12-22,473.86,475.38,471.7,473.65,67160420
2023-12-26,474.07,476.58,473.99,475.65,55386950
2023-12-27,475.44,476.66,474.89,476.51,68000310
2023-12-28,476.88,477.55,476.26,476.69,77158120
2023-12-29,476.49,477.03,473.3,475.31,122283100
2024-01-02,472.16,473.67,470.49,472.65,123007800
2024-01-03,470.43,471.19,468.17,468.79,103585900
2024-01-04,468.3,470.96,467.05,467.28,84232170
2024-01-05,467.49,470.44,466.43,467.92,86118910
2024-01-08,468.43,474.75,468.3,474.6,74879070
2024-01-09,471.87,474.93,471.35,473.88,65931440
2024-01-10,474.16,477.4481,473.87,476.56,67310640
2024-01-11,477.59,478.12,472.26,476.35,77940720
2024-01-12,477.84,478.6,475.23,476.68,58026420
2024-01-16,475.26,476.6098,473.06,474.93,85014870
2024-01-17,471.82,472.79,469.87,472.29,68843870
2024-01-18,474.01,477.06,472.42,476.49,91856250
2024-01-19,477.65,482.72,476.5374,482.43,110834500
2024-01-22,484.01,485.22,482.78,483.45,75844930
2024-01-23,484.01,485.105,482.89,484.86,49945300
2024-01-24,487.81,488.77,484.8819,485.39,81765040
2024-01-25,487.575,488.305,485.39,488.03,72524990
2024-01-26,487.59,489.12,486.54,487.41,76641610
2024-01-29,487.73,491.415,487.17,491.27,61322750
2024-01-30,490.56,491.62,490.11,490.89,58618390
2024-01-31,488.62,489.0813,482.86,482.88,126011100
2024-02-01,484.63,489.23,483.8,489.2,91891640
2024-02-02,489.65,496.05,489.3,494.35,99228190
2024-02-05,493.695,494.3778,490.23,492.55,75757100
2024-02-06,493.52,494.32,492.05,493.98,55918600
2024-02-07,496.29,498.53,495.36,498.1,70556510
2024-02-08,498.1,498.71,497.26,498.32,52343640
2024-02-09,498.84,501.65,498.49,501.2,63979380
2024-02-12,501.17,503.5,500.24,500.98,56502280
2024-02-13,494.53,497.09,490.715,494.08,113099200
2024-02-14,496.79,499.07,494.4,498.57,68387830
2024-02-15,499.29,502.2,498.795,502.01,61682960
2024-02-16,501.7,502.87,498.75,499.51,75532930
2024-02-20,497.72,498.41,494.45,496.76,71736740
2024-02-21,495.42,497.37,493.56,497.21,59603770
2024-02-22,504.01,508.49,503.02,507.5,76402540
2024-02-23,509.27,510.13,507.1,507.85,61321820
2024-02-26,508.3,508.75,505.86,505.99,50386740
2024-02-27,506.7,507.16,504.75,506.93,48854530
2024-02-28,505.33,506.855,504.96,506.26,56506630
2024-02-29,508.07,509.74,505.35,508.08,83924800
2024-03-01,508.98,513.29,508.56,512.85,76844840
2024-03-04,512.03,514.2,512,512.3,49799260
2024-03-05,510.24,510.7,504.91,507.18,72855620
2024-03-06,510.55,512.069,508.42,509.75,68382370
2024-03-07,513.14,515.89,509.8053,514.81,58652090
2024-03-08,515.46,518.2201,511.13,511.72,86532540
2024-03-11,510.48,511.88,508.5,511.28,62557180
2024-03-12,513.45,517.38,510.86,516.78,73114440
2024-03-13,517.11,517.29,514.49,515.97,55104090
2024-03-14,516.97,517.125,511.82,514.95,110171800
2024-03-15,510.21,511.7,508.122,509.83,107646300
2024-03-18,514,515.48,512.44,512.86,88893330
2024-03-19,512.15,515.995,511.12,515.71,60755260
2024-03-20,515.77,520.62,515.08,520.48,69594570
2024-03-21,523.39,524.11,521.91,522.2,60256110
2024-03-22,522.11,522.605,520.97,521.21,79070840
2024-03-25,519.8,520.95,519.61,519.77,48512110
2024-03-26,521.23,521.58,518.4,518.81,65463740
