date,open,high,low,close,volume
2023-08-07,5.946,6.004,5.725,5.866,284205.436289
2023-08-08,5.863,6.151,5.811,6.081,450891.600406
2023-08-09,6.081,6.293,6.035,6.252,303070.411659
2023-08-10,6.249,6.341,6.145,6.186,420508.437189
2023-08-11,6.186,6.209,6.095,6.196,199932.343679
2023-08-12,6.197,6.247,6.115,6.22,116474.724695
2023-08-13,6.221,6.227,6.05,6.085,222812.350913
2023-08-14,6.081,6.36,6.073,6.255,209691.541498
2023-08-15,6.268,6.292,5.933,5.948,326186.529325
2023-08-16,5.945,5.945,5.293,5.454,617846.331849
2023-08-17,5.454,5.5,4.574,4.994,491002.481562
2023-08-18,4.993,5.05,4.837,4.904,900921.765539
2023-08-19,4.902,4.998,4.857,4.906,674929.253563
2023-08-20,4.906,4.934,4.86,4.9,379482.586496
2023-08-21,4.9,4.915,4.719,4.76,758217.284632
2023-08-22,4.76,4.777,4.499,4.664,1930040.027511
2023-08-23,4.665,4.854,4.646,4.762,1240168.775272
2023-08-24,4.76,4.816,4.595,4.656,700188.582265
2023-08-25,4.656,4.668,4.515,4.546,783170.136251
2023-08-26,4.549,4.642,4.531,4.598,216774.596345
2023-08-27,4.596,4.705,4.596,4.683,213536.194116
2023-08-28,4.681,4.731,4.563,4.667,358867.571227
2023-08-29,4.666,4.887,4.564,4.799,731762.005701
2023-08-30,4.798,4.807,4.635,4.64,691779.761111
2023-08-31,4.638,4.681,4.316,4.368,1064329.471682
2023-09-01,4.368,4.421,4.231,4.264,936295.594555
2023-09-02,4.264,4.4,4.248,4.398,186936.655161
2023-09-03,4.4,4.468,4.362,4.409,372515.923594
2023-09-04,4.409,4.499,4.362,4.439,495988.637708
2023-09-05,4.441,4.451,4.273,4.375,262462.511657
2023-09-06,4.377,4.495,4.345,4.46,234809.069325
2023-09-07,4.461,4.525,4.405,4.475,185903.885161
2023-09-08,4.475,4.488,4.3,4.363,228667.566247
2023-09-09,4.362,4.372,4.302,4.32,289593.791762
2023-09-10,4.322,4.322,4.112,4.219,289782.597405
2023-09-11,4.218,4.249,4.032,4.11,544133.635787
2023-09-12,4.107,4.315,4.08,4.195,438471.588419
2023-09-13,4.195,4.31,4.181,4.256,255587.82617
2023-09-14,4.255,4.357,4.25,4.274,236525.248094
2023-09-15,4.273,4.377,4.227,4.349,174287.15345
2023-09-16,4.353,4.418,4.302,4.341,177553.025256
2023-09-17,4.339,4.395,4.237,4.284,197638.689884
2023-09-18,4.286,4.461,4.246,4.363,321852.650599
2023-09-19,4.364,4.483,4.339,4.406,188610.114948
2023-09-20,4.409,4.428,4.313,4.364,158907.559091
2023-09-21,4.364,4.49,4.211,4.244,247272.406878
2023-09-22,4.241,4.276,4.199,4.261,144118.84221
2023-09-23,4.267,4.302,4.238,4.279,81719.746507
2023-09-24,4.28,4.306,4.21,4.235,103734.453342
2023-09-25,4.234,4.301,4.202,4.269,160542.345304
2023-09-26,4.277,4.315,4.2,4.259,96448.412328
2023-09-27,4.258,4.419,4.2,4.246,366699.281088
2023-09-28,4.246,4.477,4.239,4.413,132934.962242
2023-09-29,4.418,4.5,4.323,4.403,160404.828315
2023-09-30,4.4,4.487,4.388,4.457,105369.60739
2023-10-01,4.456,4.68,4.445,4.656,255593.592623
2023-10-02,4.662,4.689,4.425,4.458,370834.300606
2023-10-03,4.459,4.519,4.34,4.365,187965.943567
2023-10-04,4.365,4.365,4.24,4.304,225784.170297
2023-10-05,4.309,4.34,4.258,4.304,123790.998409
2023-10-06,4.305,4.428,4.289,4.397,126765.093664
2023-10-07,4.4,4.422,4.345,4.368,67086.501628
2023-10-08,4.377,4.385,4.285,4.341,87623.85327
2023-10-09,4.338,4.368,4.049,4.145,346278.845616
2023-10-10,4.142,4.171,4.057,4.12,131529.867484
2023-10-11,4.121,4.153,4.05,4.127,130011.461913
2023-10-12,4.126,4.146,3.967,4.002,178652.572886
2023-10-13,4,4.091,3.977,4.025,114270.480831
2023-10-14,4.028,4.1,4.025,4.087,59973.403526
2023-10-15,4.088,4.149,4.066,4.104,71110.325867
2023-10-16,4.102,4.281,4.102,4.119,229391.604572
2023-10-17,4.121,4.129,3.833,3.889,709380.433081
2023-10-18,3.889,3.965,3.849,3.932,184078.065434
2023-10-19,3.933,3.944,3.872,3.931,196033.184164
2023-10-20,3.933,4.114,3.921,4.001,162228.500975
2023-10-21,4.007,4.161,3.962,4.142,173094.956917
2023-10-22,4.145,4.251,4.073,4.215,164462.764656
2023-10-23,4.216,4.431,4.187,4.378,599500.531002
2023-10-24,4.381,4.497,4.115,4.221,1203592.570445
2023-10-25,4.222,4.385,4.128,4.168,613809.694601
2023-10-26,4.17,4.378,4.001,4.114,654011.117025
2023-10-27,4.11,4.144,3.959,4.026,397919.821922
2023-10-28,4.024,4.141,4.021,4.084,291251.187492
2023-10-29,4.084,4.215,4.026,4.154,415360.616359
2023-10-30,4.161,4.235,4.077,4.182,426407.165018
2023-10-31,4.181,4.252,3.997,4.152,711978.540224
2023-11-01,4.15,4.863,4.011,4.799,1807172.548952
2023-11-02,4.798,4.925,4.477,4.689,1462868.988563
2023-11-03,4.689,4.78,4.47,4.662,1076307.68377
2023-11-04,4.651,4.786,4.61,4.713,375734.406885
2023-11-05,4.727,4.91,4.627,4.773,586252.293898
2023-11-06,4.779,5.156,4.667,5.11,1135202.634933
2023-11-07,5.109,5.11,4.772,4.929,638158.022668
2023-11-08,4.932,5.274,4.892,5.179,800757.379874
2023-11-09,5.184,5.398,4.68,5.117,1282856.699408
2023-11-10,5.122,5.379,5.059,5.281,953507.720606
2023-11-11,5.282,5.535,5.158,5.401,746386.884028
2023-11-12,5.394,5.524,5.205,5.422,631311.833477
2023-11-13,5.42,5.629,5.201,5.223,1019897.798738
2023-11-14,5.226,5.308,4.851,5.055,766683.339899
2023-11-15,5.063,5.391,5.056,5.384,657957.674736
2023-11-16,5.392,5.586,5.11,5.196,989147.217753
2023-11-17,5.195,5.398,4.851,5.112,914075.952558
2023-11-18,5.112,5.169,4.814,5.065,288413.093779
2023-11-19,5.066,5.249,4.932,5.238,245809.969056
2023-11-20,5.238,5.363,5.104,5.187,474165.662957
2023-11-21,5.189,5.269,4.826,4.853,719888.044933
2023-11-22,4.846,6.304,4.838,6.103,2167324.147209
2023-11-23,6.114,6.445,6.058,6.333,1310060.197711
2023-11-24,6.333,6.849,6.081,6.172,1552430.135211
2023-11-25,6.17,6.334,6.071,6.17,408106.567196
2023-11-26,6.166,6.217,5.832,6.181,677409.408924
2023-11-27,6.186,6.364,5.916,6.29,1077949.201203
2023-11-28,6.293,6.57,6.076,6.175,1126626.209561
2023-11-29,6.172,6.387,5.987,6.011,816098.555156
2023-11-30,6.014,6.035,5.847,5.955,819346.454067
2023-12-01,5.96,6.102,5.869,6.017,680446.581819
2023-12-02,6.015,6.201,6.008,6.172,449558.823981
2023-12-03,6.173,6.251,5.936,6.057,473604.366131
2023-12-04,6.056,6.304,5.886,6.105,879855.5545
2023-12-05,6.11,6.347,5.974,6.253,845321.986429
2023-12-06,6.266,6.292,5.945,5.999,802421.651247
2023-12-07,6.006,6.35,5.984,6.294,722498.870118
2023-12-08,6.298,6.553,6.264,6.511,735229.459399
2023-12-09,6.515,7.1,6.511,6.844,1593818.444041
2023-12-10,6.846,6.884,6.42,6.603,766242.382204
2023-12-11,6.606,6.616,5.891,6.101,883039.467892
2023-12-12,6.096,6.409,6.081,6.226,619113.369496
2023-12-13,6.239,6.329,5.94,6.297,613954.531331
2023-12-14,6.299,6.471,6.096,6.363,970034.609681
2023-12-15,6.365,6.366,5.984,6.038,484630.778325
2023-12-16,6.036,6.243,5.938,6.159,334535.595602
2023-12-17,6.162,6.274,6.04,6.061,408226.57528
2023-12-18,6.059,6.11,5.592,5.942,702377.21556
2023-12-19,5.944,6.037,5.747,5.83,444817.292954
2023-12-20,5.833,6.109,5.793,5.93,558718.757045
2023-12-21,5.931,6.212,5.862,6.183,620931.639937
2023-12-22,6.186,6.487,6.124,6.397,817969.976245
2023-12-23,6.399,6.43,6.104,6.344,699031.741712
2023-12-24,6.346,7.181,6.33,6.847,1932431.294246
2023-12-25,6.845,7.159,6.669,6.97,1017169.972915
2023-12-26,6.974,7.801,6.635,7.348,1790115.840869
2023-12-27,7.353,7.5,6.983,7.241,1509411.696812
2023-12-28,7.243,8.256,7.232,7.82,3271015.541207
2023-12-29,7.814,7.882,7.366,7.566,2153312.117198
2023-12-30,7.564,7.811,7.293,7.36,911139.766696
2023-12-31,7.361,7.7,7.145,7.226,761653.462107
2024-01-01,7.214,7.648,7.14,7.603,385777.047896
2024-01-02,7.605,7.926,7.154,7.18,731586.846829
2024-01-03,7.18,7.379,6.05,6.436,1290609.608245
2024-01-04,6.436,6.736,6.375,6.537,649241.405739
2024-01-05,6.541,6.645,6.168,6.434,787806.87163
2024-01-06,6.438,6.444,6.02,6.306,308093.018074
2024-01-07,6.314,6.449,5.927,6.008,281937.781981
2024-01-08,5.997,6.248,5.667,6.246,640983.326982
2024-01-09,6.248,6.284,5.705,6.014,731791.545591
2024-01-10,6.009,6.76,5.939,6.563,1348259.180919
2024-01-11,6.568,6.981,6.513,6.821,691832.649877
2024-01-12,6.822,7,6.303,6.576,763270.669074
2024-01-13,6.579,6.703,6.393,6.634,376400.353208
2024-01-14,6.633,6.667,6.299,6.315,463501.913676
2024-01-15,6.32,6.727,6.3,6.662,737412.159219
2024-01-16,6.67,6.923,6.65,6.819,736644.104094
2024-01-17,6.826,6.891,6.655,6.764,437013.02984
2024-01-18,6.762,6.836,6.22,6.313,582392.603002
2024-01-19,6.315,6.374,6.036,6.353,640068.469495
2024-01-20,6.351,6.625,6.289,6.486,431500.865037
2024-01-21,6.489,6.52,6.357,6.373,194791.808809
2024-01-22,6.372,6.395,5.928,6.038,589562.958019
2024-01-23,6.039,6.125,5.531,5.835,661754.54861
2024-01-24,5.837,5.907,5.723,5.866,471698.403993
2024-01-25,5.864,5.867,5.625,5.744,302442.620196
2024-01-26,5.742,5.966,5.699,5.947,337747.458322
2024-01-27,5.948,6.003,5.846,5.987,200476.744173
2024-01-28,5.983,6.076,5.881,5.945,299498.795797
2024-01-29,5.944,6.15,5.878,6.149,456812.327471
2024-01-30,6.149,6.338,6.118,6.257,495388.90882
2024-01-31,6.26,6.331,5.934,5.995,777437.022783
2024-02-01,5.999,6.088,5.88,6.046,445663.05136
2024-02-02,6.048,6.259,6.034,6.131,257652.206371
2024-02-03,6.132,6.283,6.057,6.104,191924.790684
2024-02-04,6.105,6.128,5.954,5.976,161518.082648
2024-02-05,5.975,6.09,5.912,5.999,215640.3781
2024-02-06,5.999,6.436,5.996,6.275,549651.816994
2024-02-07,6.283,6.477,6.218,6.393,395431.361898
2024-02-08,6.402,6.432,6.31,6.319,353779.324149
2024-02-09,6.319,6.698,6.309,6.653,546767.073957
2024-02-10,6.658,6.758,6.539,6.631,198395.238022
2024-02-11,6.631,6.828,6.56,6.682,366208.99323
2024-02-12,6.68,6.859,6.48,6.839,354652.513145
2024-02-13,6.842,6.881,6.557,6.681,422589.530077
2024-02-14,6.684,6.906,6.64,6.896,318932.422973
2024-02-15,6.897,7.538,6.897,7.518,1038454.302171
2024-02-16,7.518,7.727,7.306,7.447,1027582.905603
2024-02-17,7.447,7.876,7.373,7.765,862624.028465
2024-02-18,7.77,8,7.403,7.656,860693.625314
2024-02-19,7.656,7.783,7.517,7.701,737094.870027
2024-02-20,7.701,7.734,7.245,7.559,894342.657996
2024-02-21,7.559,7.559,7.079,7.392,506019.923018
2024-02-22,7.392,7.519,7.27,7.357,341021.947749
2024-02-23,7.356,12.569,7.038,11.399,8225032.572906
2024-02-24,11.392,12.864,10.921,11.257,7373474.370758
2024-02-25,11.262,11.63,10.106,11.145,3434493.7059
2024-02-26,11.142,11.556,10.364,10.621,2543576.564025
2024-02-27,10.621,11.2,10.428,10.839,1717459.303232
2024-02-28,10.837,11.283,10.139,10.937,2112898.161889
2024-02-29,10.938,11.984,10.707,11.137,3038909.228303
2024-03-01,11.137,12.068,10.825,11.575,1738452.631758
2024-03-02,11.576,13.49,11.081,12.62,2545931.57776
2024-03-03,12.616,13.334,11.485,12.648,1974174.386894
2024-03-04,12.648,13.081,12.072,12.37,1219267.829505
2024-03-05,12.381,14.097,11.25,13.2,2474228.677422
2024-03-06,13.197,17.033,12.562,15.407,3968156.584894
2024-03-07,15.408,15.572,14.551,14.905,1093094.73121
2024-03-08,14.905,15.467,14.208,14.621,1127124.404005
2024-03-09,14.609,15.048,13.859,14.198,682538.420282
2024-03-10,14.213,14.432,13.538,14.241,869913.719582
2024-03-11,14.247,14.653,13.525,14.448,710507.073587
2024-03-12,14.441,14.568,13.1,14.068,636390.831749
2024-03-13,14.068,14.745,13.758,14.235,589092.441813
2024-03-14,14.246,14.48,13.164,13.949,748461.880258
2024-03-15,13.944,14.128,12.132,13.051,765869.751286
2024-03-16,13.072,13.211,11.762,12.019,630328.870756
2024-03-17,12.034,12.658,11.363,12.413,566165.881964
2024-03-18,12.413,12.602,11.562,11.865,329823.033008
2024-03-19,11.872,12.043,10.382,10.612,808045.717149
2024-03-20,10.607,11.965,10.296,11.905,749029.557939
2024-03-21,11.902,12.24,11.543,12.185,618717.092994
2024-03-22,12.164,12.246,11.338,11.759,493353.896273
2024-03-23,11.757,12.019,11.574,11.613,288776.898327
2024-03-24,11.613,12.085,11.576,12.043,134447.163636
2024-03-25,12.048,12.746,11.917,12.436,467588.099422
2024-03-26,12.432,12.888,12.358,12.69,371421.552284
2024-03-27,12.689,12.824,12.071,12.239,595989.124723
2024-03-28,12.228,12.956,12.11,12.75,521167.311416
2024-03-29,12.749,13.16,12.448,12.649,570451.841521
2024-03-30,12.645,12.917,12.512,12.614,281420.32619
2024-03-31,12.614,13.339,12.58,12.948,444914.265595
2024-04-01,12.95,12.964,12.035,12.422,850195.842804
2024-04-02,12.418,12.43,11.167,11.306,595862.944241
2024-04-03,11.307,11.455,10.662,10.876,541918.506281
2024-04-04,10.87,11.275,10.709,10.982,711071.102092
2024-04-05,10.979,11.067,10.436,10.932,292682.827322
2024-04-06,10.931,11.343,10.895,11.244,120905.197181
2024-04-07,11.243,11.495,11.201,11.398,271352.56473
2024-04-08,11.4,11.801,11.269,11.62,366700.430618
2024-04-09,11.616,11.712,11.031,11.208,466508.729959
2024-04-10,11.205,11.311,9.803,10.045,1670046.409668
2024-04-11,10.045,10.047,8.701,9.139,2419823.126337
2024-04-12,9.147,9.208,7.352,7.925,1786269.141774
2024-04-13,7.927,8.019,5.905,6.937,2556930.149162
2024-04-14,6.923,7.593,6.651,7.537,1711113.348953
2024-04-15,7.525,7.94,7.025,7.248,1170966.509769
2024-04-16,7.243,7.334,6.769,7.185,940202.239059
2024-04-17,7.158,7.246,6.627,6.888,465527.631183
2024-04-18,6.891,7.353,6.731,7.297,427866.181915
2024-04-19,7.289,7.712,6.717,7.497,739052.566329
2024-04-20,7.493,7.922,7.4,7.875,368081.369467
2024-04-21,7.867,7.961,7.551,7.73,252103.398369
2024-04-22,7.727,8.325,7.704,8.212,739322.699242
2024-04-23,8.212,8.361,7.915,7.949,587911.895226
2024-04-24,7.943,8.212,7.586,7.714,352125.507826
2024-04-25,7.7,8.123,7.56,7.931,365854.121291
2024-04-26,7.929,7.945,7.531,7.701,356303.397765
2024-04-27,7.707,8.062,7.437,7.968,274332.945758
2024-04-28,7.97,8.226,7.793,7.826,252374.751862
2024-04-29,7.824,7.889,7.5,7.689,263190.045201
2024-04-30,7.691,7.918,6.793,7.029,598761.770762
2024-05-01,7.033,7.146,6.531,7.035,730209.704429
2024-05-02,7.039,7.213,6.842,7.107,274884.91646
2024-05-03,7.107,7.626,6.954,7.587,527275.966041
2024-05-04,7.584,7.718,7.474,7.537,182589.670297
2024-05-05,7.54,7.654,7.357,7.587,220633.644522
2024-05-06,7.591,7.946,7.44,7.473,285078.77118
2024-05-07,7.474,7.677,7.377,7.401,300712.728421
2024-05-08,7.393,7.526,7.203,7.325,376096.119849
2024-05-09,7.322,7.545,7.167,7.498,181201.79891
2024-05-10,7.498,7.565,7.021,7.111,199283.786938
2024-05-11,7.104,7.202,7.016,7.029,98108.839372
2024-05-12,7.031,7.209,6.983,7.06,106457.529159
2024-05-13,7.059,7.208,6.837,7.006,396897.753991
2024-05-14,7.004,7.021,6.759,6.781,223630.774081
2024-05-15,6.792,7.449,6.736,7.369,227004.795016
2024-05-16,7.365,7.429,7.055,7.296,159713.514277
2024-05-17,7.298,7.609,7.24,7.491,213527.404548
2024-05-18,7.493,8.234,7.45,7.86,831431.613975
2024-05-19,7.857,7.968,7.582,7.644,270726.459743
2024-05-20,7.64,9.523,7.623,9.329,1442343.495409
2024-05-21,9.332,9.673,9.084,9.655,2078602.640317
2024-05-22,9.654,9.688,9.017,9.302,1551638.14241
2024-05-23,9.308,9.863,8.657,9.083,2004153.526826
2024-05-24,9.077,10.611,8.948,10.214,2259993.051946
2024-05-25,10.212,11.473,10.151,11.33,2462426.846008
2024-05-26,11.328,11.791,11.07,11.169,1850286.954451
2024-05-27,11.17,11.367,10.897,11.047,822474.398004
2024-05-28,11.055,11.501,10.595,11.098,1111756.528561
2024-05-29,11.099,11.326,10.424,10.43,956961.456926
2024-05-30,10.428,11.206,10.352,10.76,902414.532975
2024-05-31,10.76,11.138,9.921,9.946,1103016.057198
2024-06-01,9.942,10.055,9.851,9.875,357092.829995
2024-06-02,9.874,9.945,9.358,9.418,287004.586339
2024-06-03,9.413,9.835,9.285,9.493,468509.980393
2024-06-04,9.49,11.957,9.402,11.468,3647640.12975
2024-06-05,11.468,11.591,10.876,11.164,1295236.94837
2024-06-06,11.166,11.264,10.419,10.616,656001.160431
2024-06-07,10.617,10.745,9.2,9.819,847577.93886
