date,open,high,low,close,volume
2023-08-24,81.42,82.31,80.81,80.88,4523826
2023-08-25,80.99,81.5,80.59,80.94,4252131
2023-08-28,81.27,82.14,81.27,81.7,3448782
2023-08-29,81.67,82.715,81.38,82.69,3515460
2023-08-30,82.71,83.205,82.62,82.99,3042215
2023-08-31,83,83.129,82.38,82.38,3410209
2023-09-01,82.9,83.17,82.295,82.52,3404032
2023-09-05,82.28,82.45,81.525,81.56,3578137
2023-09-06,81.45,81.72,80.78,81.39,3681410
2023-09-07,81.13,82.26,81.13,81.9,5056094
2023-09-08,81.96,82.18,81.39,81.58,3317451
2023-09-11,81.69,81.84,81.18,81.59,2813605
2023-09-12,81.42,81.72,81.01,81.55,2959217
2023-09-13,81.54,81.62,80.46,80.66,3989043
2023-09-14,81.12,82.3,81.12,82.12,3926565
2023-09-15,81.71,82.065,81.49,81.81,3784542
2023-09-18,81.81,81.81,80.8697,81.08,3117859
2023-09-19,80.94,81.31,80.48,80.71,2742695
2023-09-20,81.37,81.7775,80.765,80.78,3827992
2023-09-21,80.18,80.3,78,78.03,6202678
2023-09-22,78.06,78.485,77.38,77.44,5064169
2023-09-25,77.13,77.435,76.79,77.37,3928242
2023-09-26,76.91,77.07,75.6948,75.96,5220921
2023-09-27,76.23,76.645,75.05,75.45,6657255
2023-09-28,75,75.75,74.85,75.44,6659777
2023-09-29,76.44,76.7748,75.215,75.66,6630593
2023-10-02,75.41,75.7,73.8,74.27,7564378
2023-10-03,73.86,74.1454,72.59,72.82,7120995
2023-10-04,73.21,73.72,72.34,73.71,8748239
2023-10-05,73.55,74.21,73.24,74.12,5306904
2023-10-06,73.46,74.78,72.75,74.32,5919877
2023-10-09,73.84,75.41,73.76,75.13,3848263
2023-10-10,75.15,76.15,74.8,75.49,4585718
2023-10-11,76.1,76.845,75.95,76.8,6128769
2023-10-12,76.56,76.65,75.29,75.68,4429168
2023-10-13,76.04,76.26,75.15,75.49,5860830
2023-10-16,76.02,76.6,75.245,76.39,4381767
2023-10-17,75.68,77.28,75.68,76.28,5419338
2023-10-18,75.71,75.97,74.6,74.66,4853673
2023-10-19,74.01,74.655,72.74,72.89,8238387
2023-10-20,73,73.46,72.35,72.4,5874505
2023-10-23,71.73,72.69,71.49,71.69,6906550
2023-10-24,71.98,72.81,71.96,72.61,5755347
2023-10-25,71.87,72.14,70.95,71.05,6254528
2023-10-26,71.41,72.9,71.36,72.41,8144396
2023-10-27,72.68,72.68,71.005,71.25,12043180
2023-10-30,71.68,72.23,70.6114,71.7,7041212
2023-10-31,72.27,72.9973,71.58,72.92,5964839
2023-11-01,73.02,73.435,72.535,73.37,7021789
2023-11-02,74.6,75.99,74.43,75.78,6450311
2023-11-03,77.04,78.61,77.02,77.59,6394092
2023-11-06,77.43,77.48,76.08,76.47,4432073
2023-11-07,76.37,76.525,75.73,75.84,5235318
2023-11-08,76.06,76.38,75.76,76.09,4398361
2023-11-09,76.35,76.4,74.725,74.89,4922974
2023-11-10,75.27,75.75,74.69,75.59,3944278
2023-11-13,75.03,75.28,74.51,74.96,3791230
2023-11-14,77.4,79.81,77.25,79.12,7493833
2023-11-15,79.05,80.07,78.98,79.35,6033371
2023-11-16,79.5,79.74,78.93,79.18,4879917
2023-11-17,79.86,79.88,78.79,79.12,4379038
2023-11-20,79.03,79.7,78.3866,79.7,4226480
2023-11-21,79.36,79.435,78.94,79.14,3703673
2023-11-22,79.86,80.09,79.17,79.53,5280256
2023-11-24,79.34,79.82,78.97,79.76,1893600
2023-11-27,79.8,80.49,79.43,80.05,5790772
2023-11-28,79.84,80.65,79.43,80.58,5811382
2023-11-29,81.16,81.93,81.035,81.14,4605443
2023-11-30,81.08,81.78,80.79,81.73,4118700
2023-12-01,81.66,83.75,81.42,83.74,7182773
2023-12-04,83.38,84.37,83.19,84.35,6740583
2023-12-05,83.9,84.04,83.36,83.79,6150006
2023-12-06,84.21,84.78,83.48,83.54,4404992
2023-12-07,83.59,84.04,83.21,83.78,6631516
2023-12-08,83.49,83.845,82.785,83.64,3416903
2023-12-11,83.36,84.015,83.235,83.87,3143384
2023-12-12,83.86,84.13,83.38,83.82,3158518
2023-12-13,83.94,87.33,83.705,87.03,5649611
2023-12-14,88.65,90.09,88.6405,89.54,6918483
2023-12-15,89.33,89.38,87.64,88.28,7666639
2023-12-18,88.7,88.77,87.98,88.08,6353812
2023-12-19,88.5,88.996,88.42,88.75,5787080
2023-12-20,88.84,89.46,87.605,87.67,6072648
2023-12-21,87.35,87.585,86.425,87.37,4429976
2023-12-22,87.71,88.41,87.27,87.71,5100263
2023-12-26,87.68,88.6,87.585,88.36,4336567
2023-12-27,88.53,88.9,88.125,88.79,5383566
2023-12-28,88.68,89.42,88.56,89.42,3879220
2023-12-29,89.1,89.17,88.26,88.36,5331557
2024-01-02,88.048,89.26,87.68,89.12,6057866
2024-01-03,88.42,88.42,86.82,86.99,5159613
2024-01-04,86.82,87.42,86.45,86.83,5610027
2024-01-05,86.2,87.37,85.7,86.61,3805994
2024-01-08,86.56,87.95,86.36,87.85,5372104
2024-01-09,87,87.61,86.58,87.26,3819000
2024-01-10,87.44,87.7699,87.04,87.36,3649878
2024-01-11,87.18,87.18,86.05,86.55,5512691
2024-01-12,87.42,87.696,86.63,87.07,3070446
2024-01-16,86.58,86.97,86.15,86.43,5125925
2024-01-17,85.25,86.325,83.985,84.85,4898958
2024-01-18,84.98,85.3,83.775,84.39,4537781
2024-01-19,84.59,85.68,83.95,85.4,6188938
2024-01-22,85.7,86.74,85.52,85.91,4202985
2024-01-23,86.24,86.53,85.03,85.32,4821801
2024-01-24,86.19,86.27,84.035,84.1,3265602
2024-01-25,85.11,85.615,84.76,85.18,4394359
2024-01-26,85.35,85.59,84.75,84.94,2783226
2024-01-29,84.92,85.67,84.69,85.5,3592010
