date,open,high,low,close,volume
2023-09-11,46.36,46.5,45.235,45.42,44095000
2023-09-12,45.91,46.54,45.825,46.49,53599340
2023-09-13,46.535,46.63,45.9,46.14,36315380
2023-09-14,46.62,46.8425,46.48,46.68,37099800
2023-09-15,46.25,46.705,46.005,46.005,49612740
2023-09-18,46.14,46.275,45.7165,46.055,33746660
2023-09-19,46.4,46.465,45.355,45.625,36271800
2023-09-20,45.4,45.915,45.17,45.2,35942000
2023-09-21,45.51,45.615,44.505,44.58,43446220
2023-09-22,44.915,45.215,44.6125,44.655,42072060
2023-09-25,44.535,45.285,44.535,45.215,35073760
2023-09-26,44.825,45.225,44.755,44.955,33459960
2023-09-27,45.515,46.205,45.3125,46.075,46289420
2023-09-28,45.875,46.3925,45.77,46.125,48462740
2023-09-29,46.055,46.235,45.0225,45.195,48369140
2023-10-02,45.135,45.255,43.99,44.295,50599800
2023-10-03,44.19,44.35,43.83,44.265,41466560
2023-10-04,43.605,43.68,42.455,42.875,59572320
2023-10-05,42.26,42.985,42.26,42.61,47036920
2023-10-06,42.61,43.255,42.13,42.865,51481100
2023-10-09,44.015,44.48,43.7006,44.295,61489060
2023-10-10,44.335,44.6425,44.085,44.35,41700500
2023-10-11,43.895,43.94,43.2769,43.78,47145320
2023-10-12,44.245,44.285,43.6262,43.83,39986440
2023-10-13,44.545,45.01,44.355,44.795,48532260
2023-10-16,45.085,45.2275,44.665,45.095,38365280
2023-10-17,44.995,45.705,44.9275,45.565,40423920
2023-10-18,45.75,46.17,45.645,45.98,47616780
2023-10-19,45.82,46.28,45.385,45.9,63297060
2023-10-20,45.82,45.99,44.9725,45.13,46549560
2023-10-23,44.87,44.875,44.195,44.4,51888140
2023-10-24,44.51,44.545,43.76,43.775,44271600
2023-10-25,43.805,44.03,43.475,43.695,41412640
2023-10-26,43.295,43.555,42.9226,43.355,44770340
2023-10-27,43.31,43.4725,42.17,42.315,53809420
2023-10-30,42.465,42.77,42.045,42.455,45530680
2023-10-31,42.505,42.685,42.08,42.595,37205700
2023-11-01,42.865,43.095,42.435,42.495,46082500
2023-11-02,42.6,43.82,42.355,43.78,45322980
2023-11-03,43.7,43.8375,43.075,43.34,47235000
2023-11-06,43.685,43.685,42.725,42.85,41035400
2023-11-07,42.29,42.365,41.7125,41.9,47550300
2023-11-08,41.74,42.015,41.358,41.375,50742000
2023-11-09,41.68,41.775,41.225,41.25,38232240
2023-11-10,41.715,41.805,41.31,41.705,34583560
2023-11-13,41.77,42.09,41.64,42.005,28447360
2023-11-14,42.165,42.4975,42.095,42.38,34723980
2023-11-15,42.315,42.8332,42.24,42.3,33043520
2023-11-16,41.9,42.06,41.0525,41.475,53165920
2023-11-17,41.83,42.625,41.73,42.345,48859340
2023-11-20,42.52,42.77,42.395,42.405,29098980
2023-11-21,42.205,42.385,41.907,42.31,26973780
2023-11-22,41.465,42.325,41.23,42.29,36550240
2023-11-24,42.275,42.78,42.25,42.465,19152594
2023-11-27,42.245,42.39,41.92,42.315,24501820
2023-11-28,42.4,42.715,42.245,42.325,28921800
2023-11-29,42.59,42.6425,41.8725,42.01,45267980
2023-11-30,42.37,42.895,41.785,42.29,58364580
2023-12-01,42.24,43.0125,42.05,42.51,43047940
2023-12-04,42.2,42.58,42.005,42.315,37070280
2023-12-05,42.29,42.37,41.55,41.575,37747160
2023-12-06,41.305,41.595,40.795,40.955,62306600
2023-12-07,41.145,41.3475,40.5275,40.675,40908820
2023-12-08,40.945,41.24,40.8625,41.115,34127260
2023-12-11,41.15,41.3,40.96,41.165,29344120
2023-12-12,40.785,40.83,40.37,40.6,45386680
2023-12-13,40.625,41.1775,40.435,41.165,46445640
2023-12-14,41.58,42.43,41.58,42.375,60717380
2023-12-15,41.995,42.23,41.8,42.15,46366360
2023-12-18,42.49,42.705,42.05,42.09,42447140
2023-12-19,42.17,42.64,42.075,42.595,36862460
2023-12-20,42.745,42.995,42.15,42.2,39818180
2023-12-21,42.285,42.43,41.9675,42.365,26062880
2023-12-22,42.67,42.8575,42.4225,42.49,25038240
2023-12-26,42.85,43.0825,42.72,42.855,25983460
2023-12-27,42.855,43,42.51,42.665,20238200
2023-12-28,42.445,42.6075,42,42.015,26198100
2023-12-29,42.16,42.2,41.795,41.92,24345460
2024-01-02,42.215,42.76,42.155,42.37,39301800
2024-01-03,42.435,43.2125,42.22,43.06,37936000
2024-01-04,43.37,43.555,42.28,42.305,42049040
2024-01-05,42.71,42.73,42.1441,42.34,34029300
2024-01-08,41.62,41.9,41.0513,41.85,47218680
2024-01-09,41.905,41.95,41.0875,41.18,33750460
2024-01-10,41.26,41.2753,40.61,40.775,33159760
2024-01-11,40.995,41.1,40.715,40.88,38588580
2024-01-12,41.51,41.6725,41.09,41.34,38769200
2024-01-16,41.25,41.305,40.33,40.355,36031260
2024-01-17,39.94,40.42,39.85,40.02,39284280
2024-01-18,40.03,40.065,39.4911,39.955,35705600
2024-01-19,39.935,40.09,39.795,40.085,39940220
2024-01-22,40,40.3225,39.74,40.235,30136720
2024-01-23,40.17,40.645,40.11,40.32,24709220
