date,open,high,low,close,volume
2023-09-07,85.855,86.405,85.54,86.215,12513846
2023-09-08,86.21,86.95,86.17,86.395,8584962
2023-09-11,87.155,87.235,86.085,86.845,8272768
2023-09-12,86.12,86.425,85.115,85.27,12243414
2023-09-13,85.235,85.9425,84.995,85.485,10008760
2023-09-14,86.01,86.3175,85.47,86.105,9473262
2023-09-15,85.795,85.82,84.225,84.45,13116818
2023-09-18,84.025,84.955,84,84.675,9943806
2023-09-19,84.315,84.845,83.855,84.63,8237334
2023-09-20,84.86,84.97,83.265,83.3,10766130
2023-09-21,82.425,83.01,81.99,82.03,14742824
2023-09-22,82.39,82.96,82.02,82.205,12537866
2023-09-25,81.995,82.595,81.785,82.47,10577338
2023-09-26,81.93,81.975,80.705,80.985,14925956
2023-09-27,81.375,81.535,80.3061,81.11,11665142
2023-09-28,80.725,82.205,80.345,81.685,12829318
2023-09-29,82.49,83.255,81.685,81.965,15883816
2023-10-02,82.005,83.085,81.88,82.845,13656154
2023-10-03,82.375,82.94,81.0199,81.44,14838716
2023-10-04,81.505,82.675,81.505,82.455,15194224
2023-10-05,82.45,82.7,81.575,82.565,12022956
2023-10-06,82,84.4703,81.76,84.11,16625532
2023-10-09,83.595,84.675,83.21,84.545,13139160
2023-10-10,84.605,85.355,84.37,84.675,20403200
2023-10-11,84.935,85.5,84.665,85.46,10389272
2023-10-12,85.535,86.415,84.89,85.54,15405834
2023-10-13,85.71,85.855,84.02,84.315,15191938
2023-10-16,84.455,85.51,84.44,85.125,14544178
2023-10-17,84.055,85.1675,83.45,84.73,15318272
2023-10-18,84.135,84.82,83.515,83.86,12862902
2023-10-19,84.195,84.76,83.235,83.38,19991730
2023-10-20,83.34,83.4,81.885,81.97,15350452
2023-10-23,81.46,82.9,81.005,82.065,15158934
2023-10-24,82.39,82.755,81.74,82.63,11180350
2023-10-25,83.025,83.125,81.4125,81.655,15529614
2023-10-26,81.8,82.16,79.75,80.095,20646480
2023-10-27,80.585,81.375,80.205,80.56,16231560
2023-10-30,80.985,81.7125,80.74,81.425,14180952
2023-10-31,81.465,82.075,80.83,82.005,10893520
2023-11-01,82.15,83.7,82.15,83.59,20945760
2023-11-02,84.345,85.08,84.23,85.005,16192668
2023-11-03,84.92,86.225,84.735,85.88,15661728
2023-11-06,85.995,86.475,85.725,86.445,11099142
2023-11-07,86.675,87.645,86.545,87.39,13029784
2023-11-08,87.69,88.03,87.29,87.885,10722660
2023-11-09,88.015,88.6575,87.36,87.475,14374674
2023-11-10,88.005,89.8175,87.905,89.76,13350358
2023-11-13,89.385,89.46,88.86,89.235,11725036
2023-11-14,90.6,91.2475,90.32,91.02,16508432
2023-11-15,91.425,91.565,90.785,91.135,13147708
2023-11-16,90.955,91.69,90.79,91.59,11554076
2023-11-17,91.385,91.75,91.005,91.4,13278420
2023-11-20,91.515,92.965,91.505,92.725,11119662
2023-11-21,92.305,92.45,91.6375,91.975,13350782
2023-11-22,92.555,93.175,92.135,92.385,11213670
2023-11-24,92.23,92.31,91.855,92.205,4193852
2023-11-27,92.075,92.7325,91.91,92.2,8420186
2023-11-28,91.89,92.62,91.89,92.375,11012338
2023-11-29,93.05,93.45,92.3875,92.445,10765424
2023-11-30,92.83,92.955,91.805,92.58,13744008
2023-12-01,92.34,92.955,91.895,92.79,13992110
2023-12-04,91.865,91.865,90.66,91.66,18221854
2023-12-05,91.17,92.315,91.17,92.21,10841330
2023-12-06,92.785,92.92,91.36,91.43,14731346
2023-12-07,91.865,92.695,91.67,92.54,13928806
2023-12-08,92.34,93.405,92.225,93.33,12808850
2023-12-11,93.055,94.165,92.84,94.145,37795380
2023-12-12,93.8,94.8,93.72,94.77,15055390
2023-12-13,94.995,95.835,94.77,95.605,29395000
2023-12-14,95.68,96.04,94.665,95.37,15427442
2023-12-15,95.27,96.4,95.27,95.85,18131392
2023-12-18,95.62,96.14,95.215,95.925,10138376
2023-12-19,95.905,96.3,95.85,96.29,9003672
2023-12-20,96.18,96.52,94.82,94.835,13734894
2023-12-21,95.8,96.115,95.095,95.9,11335948
2023-12-22,96.175,96.305,95.55,96.025,10215416
2023-12-26,96.085,96.6225,96.085,96.425,6207558
2023-12-27,96.475,96.62,96.01,96.42,11764568
2023-12-28,96.76,96.86,96.4875,96.535,9615352
2023-12-29,96.585,96.7799,95.76,96.24,12190650
2024-01-02,94.93,95.08,93.125,93.72,23545460
2024-01-03,92.865,93.375,92.6,92.765,18190046
2024-01-04,92.195,92.8325,91.995,92.085,12127296
2024-01-05,92.19,92.855,91.71,92.06,16350522
2024-01-08,92.525,94.435,92.43,94.37,16434662
2024-01-09,93.645,94.79,93.445,94.52,10633898
2024-01-10,94.565,95.53,94.365,95.325,9785434
2024-01-11,95.795,96.275,94.465,95.81,13297020
2024-01-12,95.965,96.34,95.64,96.12,8834636
2024-01-16,96,96.7625,95.445,96.36,11775604
2024-01-17,95.645,96,94.845,95.885,14108960
2024-01-18,97.165,97.9175,96.8,97.83,18918730
2024-01-19,98.47,100.105,98.255,100.085,18333144
2024-01-22,100.575,101.14,100.145,100.525,14968922
2024-01-23,100.62,100.995,100.035,100.93,13263826
2024-01-24,101.625,102.645,101.335,101.625,17651226
2024-01-25,102.56,103.0725,101.5775,102.05,17071494
2024-01-26,101.335,101.7825,100.645,100.875,10553188
2024-01-29,101,101.82,100.8,101.8,7639594
2024-01-30,101.765,101.92,100.65,100.96,12251508
2024-01-31,100,100.41,98.79,98.84,16295208
2024-02-01,99.235,100.2225,99.17,100.085,14303488
2024-02-02,99.405,101.44,99.3725,101.12,12872552
2024-02-05,101.53,101.64,100.4,101.35,10086508
2024-02-06,101.46,101.635,100.235,100.885,12677116
2024-02-07,101.595,102.245,101.19,102.22,11365888
2024-02-08,102.395,102.815,102.27,102.54,9948188
2024-02-09,102.97,104.055,102.85,103.92,11612252
2024-02-12,103.915,104.235,102.98,103.13,10753232
2024-02-13,100.895,102.06,100.5875,101.38,19459342
2024-02-14,102.135,102.52,101.415,102.44,11791680
2024-02-15,102.575,102.675,101.655,102.225,10796390
2024-02-16,102.5,102.705,101.1475,101.285,11090418
2024-02-20,100.69,101.05,99.25,100.255,17447586
2024-02-21,99.285,99.625,98.535,99.625,15966358
2024-02-22,102.2,103.1625,101.965,102.885,18551698
2024-02-23,103.7,103.83,102.32,102.645,12323940
2024-02-26,103.095,103.35,102.64,102.745,18248884
2024-02-27,103.025,103.025,102.07,102.835,9984454
2024-02-28,102.495,102.63,101.98,102.35,8329080
2024-02-29,102.895,103.7325,102.32,103.49,11986746
2024-03-01,103.755,105.53,103.705,105.38,13136718
2024-03-04,105.23,105.9825,104.995,105.38,20443820
2024-03-05,104.34,104.39,102.125,102.79,18042886
2024-03-06,103.865,104.3842,102.91,103.605,14303188
2024-03-07,104.49,105.56,103.97,105.24,12120812
2024-03-08,105.43,106.175,103.61,103.675,14912100
2024-03-11,103.2,103.62,102.645,103.39,15648378
2024-03-12,104.385,105.52,103.395,105.51,17382880
2024-03-13,105.19,105.25,103.935,104.37,12815488
2024-03-14,104.81,105.18,103.7525,104.39,16023244
2024-03-15,102.89,103.36,102.395,102.815,19633360
2024-03-18,103.545,104.21,103.07,103.15,14176566
2024-03-19,102.645,103.7,102.13,103.685,13390280
2024-03-20,103.765,104.88,103.399,104.845,13357416
2024-03-21,105.965,105.965,104.83,104.92,12312034
2024-03-22,104.925,105.34,104.55,104.955,11506956
2024-03-25,103.96,104.7025,103.66,104.26,8777878
2024-03-26,104.635,104.805,103.745,103.83,8538360
