date,open,high,low,close,volume
2016-08-02,57.53,57.565,57.15,57.37,20476110
2016-08-03,56.89,57.19,56.85,57.17,19684420
2016-08-04,57.35,57.53,57.24,57.5,16761760
2016-08-05,57.5,57.78,57.49,57.76,15143510
2016-08-08,57.86,57.92,57.79,57.88,10326800
2016-08-09,58.14,58.52,58.11,58.34,27514400
2016-08-10,58.72,58.76,58.515,58.54,17539520
2016-08-11,58.82,59.11,58.77,58.96,19675820
2016-08-12,58.99,59.06,58.74,58.81,11331570
2016-08-15,59,59.18,58.99,59.035,9048734
2016-08-16,58.93,59.11,58.85,58.95,14286200
2016-08-17,58.79,59.085,58.535,58.93,12103620
2016-08-18,58.89,59.23,58.8,59.23,17723920
2016-08-19,58.62,58.82,58.45,58.79,12142530
2016-08-22,58.61,58.89,58.5,58.85,10095630
2016-08-23,59.24,59.35,59.08,59.1,12534120
2016-08-24,59.13,59.2,58.885,58.96,12206570
2016-08-25,58.76,58.885,58.665,58.72,10953520
2016-08-26,58.81,59.33,58.11,58.37,19518070
2016-08-29,58.24,58.58,58.22,58.55,10479720
2016-08-30,58.6,58.69,58.36,58.47,9737256
2016-08-31,58.4,58.53,58.14,58.35,20396180
2016-09-01,58.62,58.78,58.41,58.75,18389770
2016-09-02,59.3,59.5,59.11,59.43,19151560
2016-09-06,59.56,59.86,59.535,59.83,14730560
2016-09-07,59.99,60.1,59.75,59.86,17917530
2016-09-08,59.81,59.975,59.62,59.69,15184530
2016-09-09,59.25,59.25,58.51,58.53,23547040
2016-09-12,58.1,59.04,58.045,59.01,26966760
2016-09-13,58.25,58.36,57.57,57.82,24865670
2016-09-14,57.74,58.0576,57.63,57.74,16841520
2016-09-15,57.79,58.345,57.63,58.24,25111300
2016-09-16,57.61,57.64,57.33,57.49,47897880
2016-09-19,58.06,58.14,57.74,57.79,24184440
2016-09-20,58.34,58.39,58.065,58.14,23968190
2016-09-21,58.7,59.22,58.49,59.16,28804010
2016-09-22,60.03,60.16,59.69,59.76,27047530
2016-09-23,59.28,59.4499,59.24,59.26,18993130
2016-09-26,58.75,58.83,58.6225,58.71,23824930
2016-09-27,58.47,58.9999,58.405,58.99,19862150
2016-09-28,59.16,59.43,58.795,59.41,22026420
2016-09-29,59.26,59.39,58.4739,58.67,16703810
2016-09-30,58.81,59.29,58.73,59.13,28871930
2016-10-03,58.97,59.085,58.84,58.97,17903550
2016-10-04,59.24,59.35,58.7301,58.96,28707490
2016-10-05,59.18,59.29,59.04,59.2,14774310
2016-10-06,58.9,58.945,58.725,58.88,11569310
2016-10-07,58.63,58.675,58.115,58.58,16618250
2016-10-10,58.68,58.9,58.65,58.75,7860730
2016-10-11,58.48,58.505,57.75,57.92,18434590
2016-10-12,57.84,57.935,57.63,57.79,13537310
2016-10-13,57.15,57.7,56.9863,57.57,13090870
2016-10-14,57.96,58.07,57.65,57.67,19288380
2016-10-17,57.54,57.66,57.405,57.5,12640990
2016-10-18,58.19,58.235,57.98,58.07,13027970
2016-10-19,58.16,58.3658,58.115,58.23,12500140
2016-10-20,58.15,58.43,58.09,58.32,9959038
2016-10-21,57.92,58.21,57.86,58.19,12584850
2016-10-24,58.36,58.3699,58.045,58.18,12723000
2016-10-25,58.05,58.19,57.9101,58.14,12430000
2016-10-26,57.84,58.07,57.765,57.88,12169530
2016-10-27,58.01,58.04,57.75,57.81,9309344
2016-10-28,57.71,57.915,57.645,57.79,15377650
2016-10-31,57.75,57.9,57.5801,57.82,19102190
2016-11-01,57.96,57.98,57.38,57.57,19495190
2016-11-02,57.53,57.61,57.1,57.18,17538940
2016-11-03,57.38,57.42,57.035,57.12,12959140
2016-11-04,56.74,56.9074,56.545,56.57,17423770
2016-11-07,57.28,57.38,57.15,57.35,21383610
2016-11-08,57.18,57.675,57.13,57.51,17403910
2016-11-09,57.07,57.79,57.01,57.56,27175070
2016-11-10,57.53,57.67,56.93,57.4,37382770
2016-11-11,57.145,57.2,56.74,57.05,18430070
2016-11-14,56.63,56.75,56.48,56.74,20650880
2016-11-15,56.59,57.02,56.5331,56.99,15311740
2016-11-16,56.43,56.615,56.3438,56.39,22097490
2016-11-17,56.67,56.89,56.615,56.82,18459350
2016-11-18,56.31,56.38,56.1037,56.2,17047300
2016-11-21,56.42,56.71,56.41,56.68,18473280
2016-11-22,56.81,56.85,56.58,56.82,17866530
2016-11-23,56.25,56.62,56.19,56.62,13840290
2016-11-25,56.82,56.83,56.71,56.79,7842848
2016-11-28,56.63,56.69,56.46,56.49,13607990
2016-11-29,56.53,56.98,56.4735,56.85,14719760
2016-11-30,56.98,56.99,56.7,56.79,23874740
2016-12-01,56.73,56.76,56.49,56.57,22693390
2016-12-02,56.47,56.84,56.4,56.71,16077420
2016-12-05,57,57.38,56.99,57.27,19685360
2016-12-06,57.33,57.74,57.3,57.66,19214250
2016-12-07,57.88,58.62,57.86,58.52,25749320
2016-12-08,58.41,58.57,58.27,58.47,23426980
2016-12-09,58.47,58.72,58.43,58.72,20886460
2016-12-12,58.5,58.69,58.39,58.46,16390130
2016-12-13,58.98,59.25,58.95,59.09,22116710
2016-12-14,58.96,59.09,58.13,58.22,26473660
2016-12-15,58,58.19,57.9601,58.09,24742200
2016-12-16,58.05,58.29,58.02,58.13,24359090
2016-12-19,58.16,58.31,58.04,58.04,17705120
2016-12-20,58.11,58.29,58.07,58.24,17471210
2016-12-21,57.65,57.7,57.58,57.66,17793950
2016-12-22,57.62,57.69,57.51,57.53,16310190
2016-12-23,57.58,57.68,57.54,57.68,14821550
2016-12-27,57.63,57.715,57.6,57.61,13327690
2016-12-28,57.56,57.58,57.31,57.39,15924570
2016-12-29,57.5,57.66,57.48,57.53,16406130
2016-12-30,57.97,57.98,57.6,57.73,25225990
2017-01-03,57.95,58.11,57.85,58.09,28006750
2017-01-04,58.4,58.78,58.3528,58.75,25670020
2017-01-05,58.9,59.31,58.9,59.25,22063120
2017-01-06,58.97,59.11,58.91,59.05,21455430
2017-01-09,58.83,58.99,58.75,58.96,13962350
2017-01-10,58.92,59.13,58.92,58.97,16296580
2017-01-11,58.85,59.3,58.78,59.28,31352400
2017-01-12,59.36,59.375,59.11,59.37,24401020
2017-01-13,59.42,59.6,59.33,59.59,20901860
2017-01-17,59.41,59.44,59.27,59.37,22524830
2017-01-18,59.19,59.32,59.02,59.2,14580630
2017-01-19,59.1,59.1763,58.87,59.05,17540050
2017-01-20,59.26,59.41,59.18,59.39,24974050
2017-01-23,59.31,59.54,59.18,59.54,43079220
2017-01-24,59.44,59.7165,59.42,59.69,17959470
2017-01-25,60.01,60.33,59.99,60.31,27237190
2017-01-26,60.19,60.25,59.99,60.07,20913850
2017-01-27,60.02,60.05,59.86,59.97,13061020
2017-01-30,59.45,59.58,59.26,59.54,19146190
2017-01-31,59.65,59.74,59.39,59.63,29803760
2017-02-01,60,60.03,59.71,59.87,26726440
2017-02-02,59.925,59.99,59.73,59.9,14796650
2017-02-03,60.01,60.18,59.93,60.14,13963770
2017-02-06,59.52,59.71,59.48,59.71,16220210
2017-02-07,59.58,59.6763,59.53,59.65,12123010
2017-02-08,59.59,59.81,59.52,59.75,16749220
