date,open,high,low,close,volume
2016-08-23,40.024,40.05,39.7995,39.8295,18322660
2016-08-24,39.843,39.923,39.538,39.68,25676480
2016-08-25,39.6,39.736,39.3615,39.565,24038040
2016-08-26,39.6245,39.97,39.4703,39.661,24969320
2016-08-29,39.6525,39.926,39.516,39.791,15457520
2016-08-30,39.644,39.9,39.4735,39.596,23800680
2016-08-31,39.48,39.5785,39.36,39.4925,21402800
2016-09-01,39.599,39.6445,39.3165,39.57,26062360
2016-09-02,39.7635,39.855,39.663,39.8435,26982180
2016-09-06,39.9195,40.5445,39.7715,40.401,39784640
2016-09-07,40.3965,40.53,40.186,40.3995,22911040
2016-09-08,40.261,40.421,40.0505,40.142,23528620
2016-09-09,39.9385,40.0875,39.4025,39.424,37649660
2016-09-12,39.226,40.0085,39.175,39.941,37229340
2016-09-13,39.7005,39.7895,39.2165,39.436,36160300
2016-09-14,39.3765,39.8165,39.3765,39.523,26260160
2016-09-15,39.5005,40.1823,39.433,40.0615,31277980
2016-09-16,39.951,39.951,39.681,39.8985,42590560
2016-09-19,40.0555,40.1995,39.678,39.7695,22935400
2016-09-20,40,40.1375,39.913,39.989,20998240
2016-09-21,40.063,40.2955,39.8015,40.2515,26932200
2016-09-22,40.5,40.953,40.3855,40.7975,35152820
2016-09-23,40.757,40.85,40.6365,40.748,28224320
2016-09-26,40.491,40.504,40.0225,40.1325,28635580
2016-09-27,40.0915,40.6745,40.0915,40.5365,27242700
2016-09-28,40.204,40.5125,40.139,40.503,29384400
2016-09-29,40.3615,40.6955,40.0428,40.132,26964820
2016-09-30,40.18,40.4045,40.075,40.203,32577920
2016-10-03,40.1275,40.177,39.8115,40.019,29742600
2016-10-04,40.25,40.325,39.9835,40.1395,25153620
2016-10-05,40.3,40.425,40.0355,40.0615,24183660
2016-10-06,40.204,40.3473,40.0255,40.154,21963160
2016-10-07,40.2965,40.297,39.841,40.0355,23276200
2016-10-10,40.1965,40.869,40.112,40.7085,29780060
2016-10-11,40.7085,40.993,40.3685,40.4785,34396700
2016-10-12,40.598,40.725,40.4277,40.5885,18114060
2016-10-13,40.3035,40.328,39.931,40.204,27366220
2016-10-14,40.3725,40.5045,40.116,40.23,22137900
2016-10-17,40.2995,40.6745,40.1915,40.342,21116120
2016-10-18,40.7105,41.4405,40.6665,41.0745,45749700
2016-10-19,41.226,41.4905,41.1603,41.3545,29948580
2016-10-20,41.378,41.4233,41.0275,41.0815,27716220
2016-10-21,41,41.2145,40.9155,41.203,32248360
2016-10-24,41.5045,41.897,41.452,41.787,28897020
2016-10-25,41.925,41.925,41.265,41.4275,37741360
2016-10-26,41.356,41.3855,40.8175,41.105,35835120
2016-10-27,41.1505,41.329,40.7305,40.8675,58792020
2016-10-28,41.497,41.95,40.85,40.978,87054080
2016-10-31,41.1215,41.1315,40.4,40.495,44779340
2016-11-01,40.5435,40.698,39.913,40.274,47093040
2016-11-02,40.338,40.338,39.25,39.421,45697720
2016-11-03,39.225,39.5,38.9315,39.1095,43466800
2016-11-04,38.565,39.424,38.5502,39.055,39352400
2016-11-07,39.7475,40.25,39.645,40.1015,39729280
2016-11-08,40.1015,40.802,39.981,40.599,35197700
2016-11-09,40.0915,40.5855,39.6018,40.2795,61902100
2016-11-10,40.5,40.503,38.4115,39.0145,118042320
2016-11-11,38.8405,38.8645,38.277,38.5875,71757580
2016-11-14,38.588,38.589,37.1795,37.661,73629420
2016-11-15,38.2735,39.0119,38.261,38.758,58801140
2016-11-16,38.521,39.175,38.3165,38.999,35931180
2016-11-17,39.125,39.445,38.9925,39.308,30633000
2016-11-18,39.3585,39.5645,38.7675,38.7985,36002700
2016-11-21,38.905,39.3275,38.815,39.24,32570600
2016-11-22,39.4495,39.6885,39.187,39.25,27826240
2016-11-23,39.476,39.476,38.6325,38.95,26224560
2016-11-25,39.1305,39.145,38.9095,39.0115,12270980
2016-11-28,38.9175,39.987,38.905,39.2895,51386380
2016-11-29,39.419,39.822,39.267,39.472,31219260
2016-11-30,39.455,39.5755,38.6573,38.794,45455640
2016-12-01,38.9275,38.93,37.668,38.2165,57279860
2016-12-02,38.095,38.525,37.95,38.223,33929760
2016-12-05,38.5,39,38.3484,38.911,33710380
2016-12-06,39.0095,39.264,38.666,38.809,34664880
2016-12-07,38.9975,39.6,38.6765,39.5735,40528060
2016-12-08,39.6475,39.95,39.3953,39.7585,32238460
2016-12-09,39.965,40.4975,39.9025,40.4725,38000680
2016-12-12,40.241,40.5675,40.2266,40.395,32554220
2016-12-13,40.6195,41.215,40.597,40.767,42083960
2016-12-14,40.796,41.213,40.639,40.8945,35952240
2016-12-15,40.868,41.15,40.6,40.7825,35370900
2016-12-16,40.9155,40.96,40.406,40.492,51958960
2016-12-19,40.464,40.811,40.225,40.625,25268320
2016-12-20,40.6685,40.8245,40.55,40.76,25410580
2016-12-21,40.786,40.786,40.255,40.61,29149600
2016-12-22,40.455,40.5535,40.3015,40.484,22640940
2016-12-23,40.4005,40.5485,40.2555,40.39,15295340
2016-12-27,40.434,40.8,40.29,40.4965,19494760
2016-12-28,40.6665,40.6665,40.122,40.2285,24044800
2016-12-29,40.1165,40.2875,39.9072,40.144,21140080
2016-12-30,40.1605,40.1643,39.481,39.6225,34710440
2017-01-03,40.031,40.5718,39.8445,40.4005,39175660
2017-01-04,40.4945,40.6715,40.2055,40.3885,30296160
2017-01-05,40.375,40.687,40.296,40.651,26786140
2017-01-06,40.7495,41.448,40.575,41.2605,40289020
2017-01-09,41.3185,41.5215,41.081,41.359,28173960
2017-01-10,41.3535,41.4705,41.157,41.3005,23932820
2017-01-11,41.331,41.495,41.0735,41.493,26476260
2017-01-12,41.419,41.519,41.0505,41.4765,26995980
2017-01-13,41.55,41.7325,41.476,41.547,25796460
2017-01-17,41.5,41.509,41.16,41.373,28814480
2017-01-18,41.49,41.4905,41.204,41.451,20525120
2017-01-19,41.45,41.65,41.198,41.2185,21377520
2017-01-20,41.4545,41.462,41.23,41.4085,26088420
2017-01-23,41.5805,42.2771,41.435,42.2215,49139580
2017-01-24,42.349,42.576,42.114,42.4765,33727460
2017-01-25,42.6775,42.9397,42.487,42.9225,33156360
2017-01-26,42.9525,43.05,42.526,42.849,69051980
2017-01-27,42.95,43.35,42.095,42.2515,75026180
2017-01-30,41.853,41.8615,41.0515,41.1915,70298580
2017-01-31,40.975,41.1535,40.67,41.0095,40354260
2017-02-01,41.2,41.2,40.6125,40.762,44936820
2017-02-02,40.75,41.228,40.6026,40.913,33739940
2017-02-03,41.1565,41.3065,40.9675,41.0065,30554720
2017-02-06,41.046,41.1195,40.7145,41.081,27009480
2017-02-07,41.275,41.596,41.1646,41.4615,33327680
2017-02-08,41.5265,41.7125,41.2555,41.494,26019540
2017-02-09,41.5865,41.599,41.325,41.503,23876360
2017-02-10,41.6475,41.8575,41.5255,41.7425,28282100
2017-02-13,41.885,42.0868,41.8123,41.948,25902720
