date,open,high,low,close,volume
2019-06-27,2.80099,2.80099,2.05,2.3198,308183.77
2019-06-28,2.3198,3.6,2.2,3.18477,5414054.62
2019-06-29,3.18398,5.1,2.92001,3.80122,26561760.85
2019-06-30,3.84892,4.2499,3.20101,3.4195,12033409.56
2019-07-01,3.3806,3.9888,2.831,3.62996,12314761.84
2019-07-02,3.62992,3.95,3.07771,3.73703,11342995.07
2019-07-03,3.73803,3.85,3.44414,3.4906,5765830.58
2019-07-04,3.49051,3.61,3.222,3.46181,4281577.7
2019-07-05,3.46181,3.74662,3.41047,3.64999,4530449.5
2019-07-06,3.63693,3.667,3.4555,3.48569,2546458.72
2019-07-07,3.4856,3.53,3.25331,3.31098,2866735.36
2019-07-08,3.307,3.6188,3.27,3.34401,3374903.21
2019-07-09,3.35927,3.40909,2.95,3.07752,6316539.26
2019-07-10,3.08771,3.32769,2.83401,3.11687,6452929.72
2019-07-11,3.11665,3.15269,2.7,2.77789,4483964.32
2019-07-12,2.77789,3.37,2.58107,3.18405,7278976.86
2019-07-13,3.18405,3.3,3.05,3.16923,4587568.59
2019-07-14,3.15377,3.238,2.74058,2.78799,4298552.87
2019-07-15,2.78078,2.85612,2.59,2.70834,4497543.15
2019-07-16,2.70059,2.79,2.15,2.18128,5881284.42
2019-07-17,2.19177,2.605,2.053,2.41131,6487598.83
2019-07-18,2.41129,2.84,2.34733,2.67353,6801138.26
2019-07-19,2.67866,2.76,2.516,2.61545,2265888.48
2019-07-20,2.61704,2.7375,2.5912,2.64817,2295540.32
2019-07-21,2.64817,2.67431,2.4635,2.53736,1339613.24
2019-07-22,2.53344,2.58759,2.358,2.4009,1514934.28
2019-07-23,2.40403,2.53628,2.25,2.35031,2564541.15
2019-07-24,2.34929,2.51,2.275,2.40575,3094628.92
2019-07-25,2.40216,2.52259,2.36101,2.36101,1719586.17
2019-07-26,2.36617,2.42942,2.328,2.40999,823233.1
2019-07-27,2.40998,2.46412,2.19819,2.2429,2319970.59
2019-07-28,2.24292,2.27879,2.10849,2.2139,1416797.4
2019-07-29,2.21722,2.257,2.11011,2.13195,1556059.47
2019-07-30,2.12987,2.19,2,2.07301,2643612.54
2019-07-31,2.073,2.2441,2.0701,2.214,1955182.66
2019-08-01,2.214,2.23555,2.11501,2.16548,1458818.21
2019-08-02,2.1658,2.489,2.13321,2.42132,3619993.44
2019-08-03,2.42132,2.76493,2.36,2.42309,5618150.53
2019-08-04,2.42132,2.6,2.385,2.51992,2654050.59
2019-08-05,2.52067,2.66,2.4468,2.46271,2624935.1
2019-08-06,2.45103,2.51,2.301,2.465,3119693.39
2019-08-07,2.46999,2.49,2.33546,2.38206,1749603.82
2019-08-08,2.3826,2.39889,2.26,2.27264,2294921.83
2019-08-09,2.27265,2.295,2.14634,2.1692,2268534.09
2019-08-10,2.16833,2.45,2.13683,2.32251,2863973.63
2019-08-11,2.32911,2.479,2.28509,2.40904,2002811.13
2019-08-12,2.41625,2.46999,2.33627,2.38515,1304614.32
2019-08-13,2.3875,2.45,2.307,2.41396,1552118.06
