date,open,high,low,close,volume
2016-09-07,3.95,4.03,3.91,3.97,502.700852
2016-09-08,3.97,4.03,3.95,4.01,81.04091099
2016-09-09,3.97,4.02,3.94,3.96,395.95176374
2016-09-10,3.96,4,3.95,3.97,19.294452
2016-09-11,4,4.04,3.86,3.93,1165.51276772
2016-09-12,3.93,3.96,3.77,3.88,836.43497355
2016-09-13,3.88,3.88,3.8,3.81,335.83716651
2016-09-14,3.85,3.85,3.8,3.83,62.00213935
2016-09-15,3.83,3.95,3.81,3.85,596.04151613
2016-09-16,3.83,3.89,3.8,3.81,326.54079783
2016-09-17,3.88,3.88,3.81,3.82,213.26072059
2016-09-18,3.82,3.87,3.81,3.87,1268.13234853
2016-09-19,3.87,3.93,3.76,3.8,1152.56735647
2016-09-20,3.85,4,3.8,3.86,1888.36796598
2016-09-21,3.81,6.72,3.61,3.82,2314.96967963
2016-09-22,3.76,5.05,3.76,3.79,2472.2912189
2016-09-23,3.79,4.2,3.77,3.83,768.69918769
2016-09-24,4.06,4.06,3.83,3.87,231.39109866
2016-09-25,3.86,3.86,3.8,3.8,243.9143566
2016-09-26,3.84,4,3.79,3.89,822.08343536
2016-09-27,3.88,3.88,3.79,3.85,979.69308301
2016-09-28,3.85,3.9,3.79,3.83,323.28097636
2016-09-29,3.81,3.88,3.81,3.86,109.71488795
2016-09-30,3.87,3.87,3.8,3.81,1089.14031204
2016-10-01,3.81,3.86,3.81,3.85,382.93188769
2016-10-02,3.85,3.86,3.82,3.83,95.21214912
2016-10-03,3.83,3.94,3.83,3.83,787.89818079
2016-10-04,3.83,3.9,3.81,3.85,2314.12268166
2016-10-05,3.81,3.91,3.79,3.88,1121.28225146
2016-10-06,3.84,3.86,3.78,3.82,2211.69074185
2016-10-07,3.82,3.87,3.8,3.86,210.94599755
2016-10-08,3.86,3.88,3.8,3.86,449.02677586
2016-10-09,3.86,3.86,3.8,3.8,61.87969416
2016-10-10,3.84,3.84,3.79,3.79,507.310121
2016-10-11,3.79,3.84,3.75,3.83,939.69373486
2016-10-12,3.83,3.83,3.79,3.8,361.49166126
2016-10-13,3.8,3.93,3.8,3.83,2328.76886447
2016-10-14,3.83,3.92,3.82,3.82,41.21454918
2016-10-15,3.89,3.94,3.83,3.93,95.75428029
2016-10-16,3.94,3.94,3.86,3.88,15.093514
2016-10-17,3.86,3.94,3.82,3.9,282.14886005
2016-10-18,3.84,3.91,3.8,3.9,699.20552319
2016-10-19,3.84,3.87,3.79,3.79,1136.55844688
2016-10-20,3.79,3.81,3.78,3.8,260.07165588
2016-10-21,3.8,3.81,3.75,3.8,604.70930336
2016-10-22,3.79,3.88,3.75,3.84,1059.47526492
2016-10-23,3.84,3.89,3.7,3.88,1305.17997943
2016-10-24,3.88,3.89,3.82,3.88,472.6811135
2016-10-25,3.87,3.88,3.8,3.85,1203.96112325
2016-10-26,3.87,3.96,3.76,3.96,2443.31631463
2016-10-27,3.96,4.14,3.9,4.02,1390.5479022
2016-10-28,4.02,4.02,3.88,4.01,625.66502035
