date,open,high,low,close,volume
2016-08-23,1.576,1.583,1.5682,1.5728,339426760
2016-08-24,1.5783,1.579,1.5413,1.5485,298275200
2016-08-25,1.549,1.5498,1.519,1.5383,405703600
2016-08-26,1.5423,1.5595,1.53,1.5508,299846480
2016-08-29,1.557,1.5633,1.5471,1.5498,274446240
2016-08-30,1.5478,1.5561,1.5365,1.5408,285426800
2016-08-31,1.5438,1.548,1.529,1.5335,388270440
2016-09-01,1.5348,1.5845,1.5335,1.5788,428318400
2016-09-02,1.582,1.5838,1.5455,1.5633,323088200
2016-09-06,1.5688,1.578,1.5607,1.578,305878440
2016-09-07,1.573,1.5807,1.5458,1.5548,397687120
2016-09-08,1.5533,1.5685,1.5355,1.566,314982120
2016-09-09,1.5488,1.5575,1.475,1.488,697500000
2016-09-12,1.4683,1.5216,1.4329,1.5188,597549600
2016-09-13,1.515,1.5325,1.4883,1.4968,470934400
2016-09-14,1.5003,1.515,1.4878,1.51,319212480
2016-09-15,1.5125,1.569,1.509,1.5673,515260800
2016-09-16,1.5728,1.5813,1.553,1.571,902392400
2016-09-19,1.5875,1.6315,1.5803,1.5918,416356000
2016-09-20,1.61,1.61,1.5685,1.5773,330649200
2016-09-21,1.582,1.6245,1.5818,1.6215,336104120
2016-09-22,1.631,1.636,1.6163,1.6255,308002560
2016-09-23,1.6275,1.6323,1.6165,1.6238,276122440
2016-09-26,1.6052,1.615,1.5883,1.6085,229837400
2016-09-27,1.6023,1.666,1.6015,1.6635,402508800
2016-09-28,1.666,1.6708,1.6483,1.6695,319770240
2016-09-29,1.6668,1.6903,1.6513,1.685,336448000
2016-09-30,1.6943,1.7298,1.6843,1.713,429813200
2016-10-03,1.713,1.7378,1.7083,1.7113,242498640
2016-10-04,1.7138,1.7425,1.6948,1.7075,281487200
2016-10-05,1.722,1.7395,1.7005,1.7058,301787600
2016-10-06,1.6852,1.6958,1.6565,1.6835,359658920
2016-10-07,1.6948,1.6993,1.6665,1.6712,286129320
2016-10-10,1.68,1.689,1.6618,1.6775,287355400
2016-10-11,1.672,1.6745,1.6405,1.6532,388124520
2016-10-12,1.6465,1.6695,1.6328,1.6608,419636400
2016-10-13,1.6413,1.645,1.5925,1.6338,390021400
2016-10-14,1.6538,1.665,1.64,1.6498,330593480
2016-10-17,1.6495,1.665,1.638,1.6403,195062440
2016-10-18,1.663,1.6748,1.6563,1.6653,268906160
2016-10-19,1.654,1.6695,1.6455,1.6618,198538080
2016-10-20,1.6813,1.6988,1.6575,1.6933,311884640
2016-10-21,1.6872,1.6915,1.6725,1.6885,279477280
