date,open,high,low,close,volume
2016-08-16,15.0327,15.146,14.894,14.9073,33766708
2016-08-17,14.9553,14.9887,14.8533,14.8827,26796107
2016-08-18,14.9213,15.044,14.8193,14.9007,25489487
2016-08-19,14.9027,15.0113,14.8353,15,24879228
2016-08-22,14.9447,15.0073,14.8453,14.862,30925365
2016-08-23,14.9547,15.2327,14.8533,14.9893,71216139
2016-08-24,15.1367,15.1433,14.8147,14.8413,38504186
2016-08-25,14.874,14.92,14.718,14.7307,26403167
2016-08-26,14.8093,14.857,14.588,14.666,33571288
2016-08-29,14.6767,14.6933,14.3333,14.3467,48920691
2016-08-30,14.4073,14.4073,14.0347,14.0893,47463306
2016-08-31,14.0287,14.1733,13.91,14.134,49122785
2016-09-01,13.934,14.0733,13.3667,13.3847,118986601
2016-09-02,13.4887,13.5467,13.08,13.1853,89552265
2016-09-06,13.268,13.55,13.2667,13.522,65792862
2016-09-07,13.7,13.7665,13.3807,13.4473,54568743
2016-09-08,13.3033,13.326,13.0907,13.1573,50584370
2016-09-09,13.2727,13.328,12.9133,12.9647,56305982
2016-09-12,13,13.4246,12.94,13.22,55710707
2016-09-13,13.1373,13.2327,12.8967,13.07,53747073
2016-09-14,13.05,13.195,12.9904,13.094,33842128
2016-09-15,13.0993,13.5013,13.0933,13.3613,46244107
2016-09-16,13.3613,13.7133,13.2667,13.6933,46563967
2016-09-19,13.8,13.962,13.6667,13.756,34474753
2016-09-20,13.79,13.85,13.594,13.6427,36128322
2016-09-21,13.758,13.8,13.4373,13.6813,39469255
2016-09-22,13.76,13.8187,13.5333,13.762,35723982
2016-09-23,13.7327,14.012,13.7113,13.83,43561853
2016-09-26,13.7667,14.0667,13.7667,13.9327,35900577
2016-09-27,13.9767,13.9988,13.6406,13.7207,50518580
2016-09-28,13.834,13.8833,13.684,13.7513,31189844
2016-09-29,13.7067,13.822,13.372,13.38,40710580
2016-09-30,13.4807,13.6653,13.3033,13.602,38725931
2016-10-03,14.1533,14.3779,13.8833,14.2467,89840085
2016-10-04,14.2067,14.2213,13.9213,14.094,53069268
2016-10-05,14.1493,14.21,13.8747,13.8973,28086826
