date,open,high,low,close,volume
2016-08-23,142.73,142.87,141.75,142.01,2295478
2016-08-24,142,142.08,139.515,139.87,2529814
2016-08-25,139.75,139.75,137.03,137.3,3886728
2016-08-26,137.67,138.3,135.99,136.62,3082188
2016-08-29,137.2,138.04,136.48,137.27,2312552
2016-08-30,137.01,137.69,136.24,136.87,2026599
2016-08-31,136.55,136.82,135.55,136.05,2837053
2016-09-01,136.82,136.98,135.35,135.74,2765361
2016-09-02,136.5,136.78,135.76,136.61,2388030
2016-09-06,136.62,136.85,135.63,135.97,2242382
2016-09-07,135,135.96,134.2,134.99,2816745
2016-09-08,134.47,135.62,134.41,135.44,2823703
2016-09-09,134.71,135.15,133.62,133.62,3322113
2016-09-12,132.71,135.72,132.39,135.53,3457351
2016-09-13,134.24,135.15,133.37,133.95,3329168
2016-09-14,133.87,134.69,132.98,133.69,4592412
2016-09-15,133.03,136.09,132.88,135.61,3332592
2016-09-16,135.61,138.55,135.53,138.47,7421705
2016-09-19,138.68,139.39,137.52,137.68,3239411
2016-09-20,138.13,138.53,137.055,137.47,2425739
2016-09-21,138.2,139.96,137.99,139.91,3506621
2016-09-22,140.49,141.41,140.326,141.04,3018272
2016-09-23,141.02,141.78,140.36,140.51,2801957
2016-09-26,139.95,140.17,138.9,139.72,2636458
2016-09-27,139.99,140.84,138.69,140.79,3048640
2016-09-28,141.13,141.71,139.66,140.41,1990377
2016-09-29,140.18,140.28,137.84,138.32,2198063
2016-09-30,139.18,140.48,138.42,140,4163758
2016-10-03,139.35,139.72,138.025,138.49,2724399
2016-10-04,138.69,139.3599,137.16,138.16,2452575
2016-10-05,138.21,138.93,136.6,137.6,4625386
2016-10-06,137.31,137.49,135.66,136.47,4024827
2016-10-07,137.21,137.55,135.981,136.66,2568165
2016-10-10,136.97,138.35,136.97,138.08,2547186
2016-10-11,137.32,137.69,134.37,134.75,3353588
2016-10-12,134.98,135.72,133.64,135.1,4287859
2016-10-13,134.65,134.65,133.61,134.19,3425670
2016-10-14,134.78,135.51,133.89,133.92,3452916
2016-10-17,134.06,134.43,133.03,134.13,3601584
2016-10-18,139.2,143.95,137.87,143.39,10138080
2016-10-19,143.82,146.36,142.8201,144.37,5792611
2016-10-20,144.49,145.88,143.98,145.07,5203669
2016-10-21,144.26,145.44,143.76,145.37,3323636
2016-10-24,146,146.22,144.02,144.69,2929259
2016-10-25,144.88,145.38,143.6,143.78,3095334
2016-10-26,143.75,143.78,141.885,142.23,3267632
2016-10-27,142.72,143.25,141.58,141.94,3356466
2016-10-28,141.66,142.35,139.44,140.35,4033636
2016-10-31,140.8,141.54,139.97,141.33,3758789
2016-11-01,141.51,141.51,138.82,139.43,3388302
2016-11-02,139.02,141.23,138.93,138.98,3146805
2016-11-03,139.18,140.34,137.65,137.83,2989587
2016-11-04,138.45,138.89,137.69,137.71,3520737
2016-11-07,139.6,142.44,139.55,141.93,3896553
2016-11-08,141.35,143.61,141,142.9,4386537
2016-11-09,139.54,144.19,136.22,141.9,8036602
2016-11-10,142.34,146.57,142,146.13,6075529
