date,open,high,low,close,volume
2016-08-16,34.565,34.79,34.355,34.68,20482260
2016-08-17,34.51,34.805,34.475,34.785,29421420
2016-08-18,34.905,35.5,34.87,35.5,48258280
2016-08-19,35.385,35.385,35.075,35.205,21575200
2016-08-22,34.9,34.965,34.64,34.8,28240320
2016-08-23,34.8,35.135,34.8,35.0446,24910200
2016-08-24,34.85,35.08,34.8125,34.905,32888700
2016-08-25,34.85,34.955,34.695,34.81,23722000
2016-08-26,34.87,35.14,34.525,34.69,29149940
2016-08-29,34.59,34.955,34.55,34.925,14786766
2016-08-30,35.005,35.14,34.6725,34.805,14241178
2016-08-31,34.61,34.66,34.065,34.255,26448120
2016-09-01,34.11,34.2375,33.885,34.155,33316900
2016-09-02,34.49,34.625,34.325,34.54,21588780
2016-09-06,34.63,35.0887,34.6,35.06,25556480
2016-09-07,35.22,35.335,35.065,35.26,30163920
2016-09-08,35.485,35.97,35.315,35.92,35941600
2016-09-09,35.585,35.695,34.85,34.85,43180460
2016-09-12,34.605,35.375,34.54,35.195,43888300
2016-09-13,34.81,34.825,34.09,34.19,49085980
2016-09-14,34.15,34.56,33.6985,33.785,52913660
2016-09-15,33.92,34.4525,33.865,34.205,34295200
2016-09-16,33.505,33.85,33.505,33.725,34186500
2016-09-19,34,34.0925,33.7,33.705,23563640
2016-09-20,33.665,33.895,33.435,33.46,28241560
2016-09-21,33.75,34.25,33.71,34.235,40475540
2016-09-22,34.605,34.73,34.2455,34.275,26606640
2016-09-23,34.11,34.42,33.625,33.82,46124640
2016-09-26,33.935,34.115,33.605,33.67,26477480
2016-09-27,33.335,33.535,33.07,33.445,38768740
2016-09-28,33.64,34.94,33.355,34.89,82155020
2016-09-29,34.865,35.225,34.515,34.83,53903500
2016-09-30,35.075,35.49,34.85,35.305,28671540
2016-10-03,35.365,35.42,34.985,35.28,26270880
2016-10-04,35.31,35.395,34.7775,34.92,23660460
2016-10-05,35.275,35.6175,35.24,35.455,25807220
