date,open,high,low,close,volume
2016-07-12,19.0223,19.1452,18.9977,19.1206,44702000
2016-07-13,19.1042,19.1616,19.0141,19.1206,46316360
2016-07-14,19.4975,19.4975,19.2517,19.3008,54442580
2016-07-15,19.3746,19.391,19.1452,19.2681,50924170
2016-07-18,19.2763,19.3582,19.2599,19.3336,31639250
2016-07-19,19.2435,19.35,19.2189,19.3418,24997870
2016-07-20,19.4155,19.4155,19.2927,19.3746,25846900
2016-07-21,19.35,19.3828,19.2517,19.2763,29670640
2016-07-22,19.3008,19.4073,19.2681,19.3992,19077830
2016-07-25,19.3664,19.4073,19.3008,19.3582,30135100
2016-07-26,19.309,19.3992,19.2957,19.3746,27999830
2016-07-27,19.3418,19.4237,19.3008,19.3664,41180930
2016-07-28,19.3172,19.4483,19.2517,19.4073,26805190
2016-07-29,19.3336,19.4647,19.3336,19.3746,44204870
2016-08-01,19.391,19.4729,19.2845,19.3254,32014440
2016-08-02,19.2681,19.3418,19.1124,19.1616,32239420
2016-08-03,19.1616,19.3664,19.1616,19.3582,27222860
2016-08-04,19.3418,19.3746,19.2681,19.309,25473760
2016-08-05,19.5138,19.6777,19.4565,19.6777,41775830
2016-08-08,19.735,19.7596,19.6449,19.7023,36564470
2016-08-09,19.6941,19.7514,19.6695,19.7186,26190110
2016-08-10,19.7023,19.735,19.5302,19.563,27249640
2016-08-11,19.604,19.6531,19.5302,19.604,20422060
2016-08-12,19.4729,19.5794,19.4647,19.5466,23445360
2016-08-15,19.6203,19.6941,19.604,19.6777,21345130
2016-08-16,19.6449,19.6736,19.5794,19.6285,22436920
2016-08-17,19.6285,19.7023,19.5794,19.6941,20842230
2016-08-18,19.6613,19.7186,19.6203,19.6777,21591590
2016-08-19,19.6203,19.6859,19.5466,19.6695,24485870
2016-08-22,19.6367,19.6859,19.5876,19.6695,26401830
2016-08-23,19.7432,19.7924,19.6941,19.6941,24249030
2016-08-24,19.7023,19.7514,19.6367,19.6859,19722280
2016-08-25,19.6613,19.7596,19.6367,19.7268,21986340
2016-08-26,19.7842,19.8948,19.6285,19.7514,52741330
2016-08-29,19.8006,19.9972,19.776,19.9235,32853230
2016-08-30,19.9562,20.1037,19.9316,20.1037,31856850
2016-08-31,20.1119,20.1333,19.9562,20.1201,45788150
2016-09-01,20.1692,20.1856,19.8825,20.0381,51111850
2016-09-02,20.0627,20.1856,20.0381,20.1283,54320040
2016-09-06,20.1201,20.1487,19.9398,20.0955,48960260
2016-09-07,20.0218,20.1119,19.9808,20.0873,31383830
2016-09-08,20.0873,20.1446,20.03,20.0709,58537290
2016-09-09,19.9562,20.0259,19.6941,19.6941,53314590
2016-09-12,19.604,19.9889,19.5138,19.9153,70761410
2016-09-13,19.6859,19.735,19.4893,19.563,67606010
2016-09-14,19.563,19.6941,19.4565,19.5138,67300080
2016-09-15,19.4729,19.6859,19.4319,19.6285,61921700
2016-09-16,19.4565,19.4647,19.2927,19.35,60814100
2016-09-19,19.35,19.4499,19.23,19.31,50316760
2016-09-20,19.45,19.48,19.29,19.32,39845880
2016-09-21,19.41,19.46,19.25,19.44,64025060
2016-09-22,19.54,19.56,19.44,19.48,38240130
2016-09-23,19.41,19.51,19.35,19.38,59008770
2016-09-26,19.26,19.27,19.02,19.07,54110900
2016-09-27,19,19.24,18.94,19.22,47613610
2016-09-28,19.3,19.34,19.12,19.31,42876400
2016-09-29,19.3,19.4,18.94,19.04,62509950
2016-09-30,19.14,19.4,19.11,19.3,47279590
2016-10-03,19.24,19.31,19.16,19.21,33113300
2016-10-04,19.26,19.43,19.19,19.29,68471620
2016-10-05,19.37,19.64,19.34,19.6,58256090
2016-10-06,19.65,19.66,19.46,19.63,53319960
2016-10-07,19.55,19.66,19.49,19.62,55508700
2016-10-10,19.72,19.81,19.7,19.72,37958960
2016-10-11,19.66,19.72,19.411,19.54,78575060
2016-10-12,19.52,19.65,19.49,19.52,51351370
2016-10-13,19.36,19.37,19.11,19.33,73143010
2016-10-14,19.56,19.62,19.36,19.42,76174810
2016-10-17,19.43,19.47,19.28,19.33,41214560
2016-10-18,19.53,19.55,19.41,19.49,45957490
2016-10-19,19.55,19.71,19.5301,19.66,49780600
2016-10-20,19.64,19.78,19.58,19.66,56210540
2016-10-21,19.5,19.67,19.47,19.65,38544350
2016-10-24,19.74,19.81,19.7,19.71,33808560
2016-10-25,19.75,19.76,19.635,19.69,36174840
2016-10-26,19.6,19.84,19.58,19.81,40416660
2016-10-27,19.92,19.95,19.77,19.86,45545680
2016-10-28,19.9,19.92,19.62,19.77,55749880
2016-10-31,19.87,19.87,19.74,19.74,38550680
