date,open,high,low,close,volume
2016-08-09,23.52,23.63,23.52,23.57,29836960
2016-08-10,23.58,23.59,23.465,23.495,7112398
2016-08-11,23.57,23.645,23.545,23.58,10518650
2016-08-12,23.575,23.575,23.505,23.555,6922698
2016-08-15,23.585,23.715,23.5675,23.67,16561484
2016-08-16,23.63,23.63,23.495,23.495,9064508
2016-08-17,23.505,23.515,23.35,23.485,10575092
2016-08-18,23.48,23.52,23.4075,23.495,7086418
2016-08-19,23.43,23.5299,23.375,23.51,9576618
2016-08-22,23.445,23.5349,23.405,23.51,9256930
2016-08-23,23.58,23.65,23.575,23.595,16604310
2016-08-24,23.585,23.595,23.41,23.465,13613420
2016-08-25,23.425,23.545,23.385,23.515,11825304
2016-08-26,23.5,23.695,23.3975,23.525,24227140
2016-08-29,23.515,23.65,23.515,23.615,13965014
2016-08-30,23.57,23.62,23.455,23.535,11436310
2016-08-31,23.505,23.53,23.42,23.495,22322320
2016-09-01,23.49,23.59,23.385,23.57,18463452
2016-09-02,23.685,23.74,23.57,23.675,13799644
2016-09-06,23.69,23.795,23.66,23.795,30214760
2016-09-07,23.795,23.86,23.73,23.855,23169960
2016-09-08,23.77,23.775,23.5975,23.66,16576600
2016-09-09,23.445,23.5275,23.08,23.08,33595520
2016-09-12,22.965,23.515,22.93,23.465,38020760
2016-09-13,23.375,23.4582,23.2,23.295,34717520
2016-09-14,23.3,23.55,23.295,23.405,34214400
2016-09-15,23.455,23.835,23.405,23.79,32638100
2016-09-16,23.7,23.7,23.5,23.605,31766120
2016-09-19,23.665,23.78,23.495,23.56,14242630
2016-09-20,23.64,23.685,23.5133,23.545,10001792
2016-09-21,23.635,23.825,23.545,23.81,24095760
2016-09-22,23.95,23.9825,23.895,23.955,20997080
2016-09-23,23.95,23.95,23.705,23.745,23973080
2016-09-26,23.645,23.686,23.56,23.605,19226664
2016-09-27,23.635,23.875,23.575,23.865,17550480
2016-09-28,23.885,23.92,23.76,23.91,18097440
2016-09-29,23.88,23.9385,23.695,23.765,22813800
2016-09-30,23.82,23.9625,23.8,23.89,18432872
2016-10-03,23.825,23.88,23.7631,23.82,12462884
2016-10-04,23.9,23.9375,23.6517,23.735,17804428
2016-10-05,23.8,23.875,23.775,23.82,18015692
2016-10-06,23.84,23.8975,23.735,23.875,10011548
2016-10-07,23.895,23.925,23.695,23.81,12147880
2016-10-10,23.935,24.03,23.92,23.975,13315800
2016-10-11,23.975,24.005,23.6,23.705,17436586
2016-10-12,23.725,23.81,23.6025,23.745,11028014
2016-10-13,23.59,23.67,23.395,23.595,19320572
2016-10-14,23.69,23.845,23.665,23.685,18896562
2016-10-17,23.685,23.7325,23.62,23.635,10148152
2016-10-18,23.81,23.87,23.735,23.765,10117874
2016-10-19,23.75,23.835,23.705,23.81,10069754
2016-10-20,23.75,23.76,23.585,23.7,12292006
2016-10-21,23.735,23.78,23.67,23.765,16153890
2016-10-24,23.89,24.01,23.87,23.995,10700080
2016-10-25,24.03,24.03,23.865,23.91,8724328
2016-10-26,23.71,23.9025,23.7,23.775,12559110
2016-10-27,23.88,23.885,23.715,23.745,17642134
2016-10-28,23.81,23.965,23.66,23.72,20835760
2016-10-31,23.78,23.815,23.71,23.71,11759920
2016-11-01,23.76,23.785,23.3428,23.505,18130380
2016-11-02,23.505,23.575,23.2978,23.355,16309876
2016-11-03,23.29,23.34,23.12,23.13,20233420
2016-11-04,23.11,23.275,23.0317,23.09,16302334
2016-11-07,23.43,23.6,23.375,23.59,26449000
2016-11-08,23.545,23.8025,23.52,23.705,19528062
2016-11-09,23.345,23.715,23.22,23.675,54255320
