date,open,high,low,close,volume
2019-03-14,0.122699,0.122699,0.106,0.1062,2327610
2019-03-15,0.106453,0.10723,0.102878,0.105989,4207842
2019-03-16,0.105968,0.109249,0.10575,0.1081,4492969
2019-03-17,0.108,0.108586,0.10625,0.108545,1421125
2019-03-18,0.108545,0.12,0.1057,0.115505,19930302
2019-03-19,0.115505,0.118775,0.109623,0.111822,23309633
2019-03-20,0.111822,0.112969,0.106831,0.108801,14627323
2019-03-21,0.108989,0.109726,0.10014,0.105622,14609359
2019-03-22,0.105617,0.11,0.10395,0.108345,11790983
2019-03-23,0.108286,0.109984,0.105542,0.106601,12660438
2019-03-24,0.106601,0.10813,0.103,0.104027,9152075
2019-03-25,0.103771,0.104399,0.098247,0.099667,12564055
2019-03-26,0.099699,0.105499,0.096,0.102149,12065388
2019-03-27,0.102149,0.108,0.101521,0.107447,14733946
2019-03-28,0.107446,0.1079,0.103,0.106298,10364384
2019-03-29,0.106052,0.1086,0.105217,0.107355,11820348
2019-03-30,0.107355,0.1075,0.1042,0.106863,6436140
2019-03-31,0.106863,0.108474,0.106,0.108371,5014271
2019-04-01,0.107992,0.1145,0.107203,0.110335,11864962
2019-04-02,0.110335,0.1241,0.11,0.122508,31943211
2019-04-03,0.122878,0.13899,0.11,0.121,45090799
2019-04-04,0.121,0.125763,0.113845,0.117699,17625048
2019-04-05,0.1177,0.131031,0.1177,0.127893,22363968
2019-04-06,0.127893,0.13,0.121655,0.125201,13269359
2019-04-07,0.124813,0.13572,0.123513,0.133466,20090314
2019-04-08,0.13294,0.136945,0.125393,0.131338,17520654
2019-04-09,0.131228,0.132127,0.124801,0.125078,10647635
2019-04-10,0.125096,0.13,0.12425,0.126564,10398298
2019-04-11,0.126302,0.12685,0.111111,0.115517,14721892
2019-04-12,0.115439,0.118982,0.110182,0.114,13724620
2019-04-13,0.114,0.11795,0.113176,0.11594,6781468
2019-04-14,0.11594,0.119097,0.11371,0.118175,6440430
2019-04-15,0.118175,0.120269,0.11,0.112492,12145708
2019-04-16,0.11269,0.116864,0.111,0.115368,7957069
2019-04-17,0.115366,0.117432,0.114259,0.117432,8430004
2019-04-18,0.11735,0.120326,0.116338,0.117718,13083605
2019-04-19,0.117671,0.117926,0.114,0.115855,8272418
2019-04-20,0.115645,0.119255,0.11395,0.115736,10331005
2019-04-21,0.115737,0.116179,0.108679,0.111877,10531352
2019-04-22,0.111825,0.115423,0.109293,0.11301,8393855
2019-04-23,0.11301,0.113977,0.109312,0.10957,10086171
2019-04-24,0.10957,0.109987,0.099002,0.103249,19488493
2019-04-25,0.1031,0.106,0.0936,0.096924,14802680
2019-04-26,0.097177,0.099994,0.094647,0.097319,16012833
2019-04-27,0.096991,0.100355,0.096364,0.09808,9731176
2019-04-28,0.09808,0.099605,0.095045,0.095898,5261651
2019-04-29,0.095978,0.097513,0.093001,0.09405,8689108
2019-04-30,0.094068,0.100194,0.093513,0.099704,12950914
2019-05-01,0.099997,0.102918,0.09873,0.099802,10027566
2019-05-02,0.099802,0.100604,0.097219,0.097796,6685188
2019-05-03,0.097713,0.10223,0.096771,0.100222,11494991
2019-05-04,0.100222,0.103,0.09521,0.097615,8269838
2019-05-05,0.097549,0.099248,0.0955,0.096,6676329
2019-05-06,0.096,0.09816,0.092556,0.096061,8958654
2019-05-07,0.096167,0.098922,0.092001,0.092369,10877971
2019-05-08,0.092001,0.092924,0.09077,0.0917,11031792
2019-05-09,0.091742,0.093299,0.086255,0.08889,17794296
2019-05-10,0.088882,0.093301,0.0869,0.092891,15514482
2019-05-11,0.092298,0.11,0.092001,0.104705,34063257
2019-05-12,0.105354,0.106499,0.095034,0.099018,20944476
2019-05-13,0.099001,0.1042,0.098316,0.100011,20601038
2019-05-14,0.100224,0.117479,0.098517,0.114922,58922993
2019-05-15,0.113923,0.1468,0.113603,0.144999,65792404
2019-05-16,0.144999,0.1699,0.130348,0.138693,129366290
2019-05-17,0.138362,0.141,0.114832,0.132844,71449552
2019-05-18,0.132849,0.142,0.12848,0.131519,42747365
2019-05-19,0.13116,0.145799,0.12957,0.143,38988790
2019-05-20,0.142805,0.143485,0.128944,0.135999,24912047
2019-05-21,0.135797,0.137,0.132002,0.134878,17120443
2019-05-22,0.134802,0.138922,0.12,0.122022,30626581
2019-05-23,0.12202,0.12692,0.117606,0.125551,19884300
2019-05-24,0.125651,0.12999,0.121363,0.125584,20855512
2019-05-25,0.125624,0.128769,0.124121,0.125646,11145666
2019-05-26,0.125524,0.134998,0.12152,0.134052,22594461
2019-05-27,0.134052,0.1449,0.13209,0.138466,35005518
2019-05-28,0.137957,0.142233,0.131857,0.139454,29111305
2019-05-29,0.139103,0.139998,0.130632,0.135532,26193809
2019-05-30,0.135622,0.14415,0.122561,0.129198,47709899
2019-05-31,0.1292,0.134999,0.124,0.133472,20259153
2019-06-01,0.133471,0.134949,0.128906,0.1325,12051978
2019-06-02,0.1325,0.138789,0.1321,0.136886,15436568
2019-06-03,0.136701,0.14,0.127101,0.127534,19463982
2019-06-04,0.1275,0.1275,0.1168,0.120849,30256335
2019-06-05,0.12084,0.125575,0.118712,0.121399,14026355
2019-06-06,0.121387,0.126099,0.118,0.124948,16044503
2019-06-07,0.125298,0.130511,0.123987,0.127777,16809417
2019-06-08,0.127228,0.12869,0.122801,0.124308,7395320
2019-06-09,0.124308,0.125197,0.1168,0.11909,10378373
2019-06-10,0.118998,0.124463,0.117273,0.123412,11112601
2019-06-11,0.123413,0.123853,0.118853,0.123056,12362931
2019-06-12,0.123056,0.127997,0.120909,0.127504,16572512
2019-06-13,0.127506,0.128499,0.124244,0.124663,12407578
2019-06-14,0.124663,0.125985,0.120703,0.125678,14873123
2019-06-15,0.125678,0.128897,0.124408,0.127399,15258383
